# Area: Central African Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.61   Longitude 20.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 602.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.5,6.96,163.37,76.46,210.66,301.61,345.36,201.25,414.27,231.8,71.8,0.0,2024.04
PRECTOTCORR_SUM,1982,24.54,26.87,43.87,170.72,347.28,423.65,451.22,240.11,303.64,231.76,26.49,0.13,2290.28
PRECTOTCORR_SUM,1983,1.29,16.62,41.49,54.88,123.17,177.26,123.77,279.29,146.57,193.78,74.84,35.77,1268.73
PRECTOTCORR_SUM,1984,0.34,6.9,97.79,226.08,138.28,169.91,204.08,222.6,192.82,146.14,34.19,0.0,1439.13
PRECTOTCORR_SUM,1985,24.08,0.0,70.36,132.41,138.08,159.55,147.37,161.2,286.89,179.14,87.94,24.36,1411.38
PRECTOTCORR_SUM,1986,3.34,29.13,76.88,72.99,178.72,146.95,204.13,282.93,271.48,361.39,108.9,3.39,1740.23
PRECTOTCORR_SUM,1987,0.12,46.33,63.48,121.15,191.69,284.2,187.8,225.44,222.83,152.51,58.89,14.78,1569.22
PRECTOTCORR_SUM,1988,12.77,15.7,72.51,187.81,172.87,182.5,222.8,218.42,227.07,304.86,23.34,13.47,1654.12
PRECTOTCORR_SUM,1989,4.84,0.07,66.22,158.96,234.61,172.16,222.09,273.1,210.59,250.53,38.76,7.98,1639.91
PRECTOTCORR_SUM,1990,47.13,6.53,28.38,124.46,180.84,132.22,175.57,250.65,233.45,251.7,98.3,38.88,1568.11
PRECTOTCORR_SUM,1991,3.33,19.26,72.08,143.58,167.87,131.35,182.74,196.22,249.34,212.69,57.02,1.93,1437.41
PRECTOTCORR_SUM,1992,5.62,0.5,131.35,88.73,189.37,209.9,177.77,288.28,192.41,236.71,38.08,1.44,1560.16
PRECTOTCORR_SUM,1993,8.89,8.64,27.27,148.07,140.35,165.42,139.16,151.48,181.9,187.43,32.26,8.7,1199.57
PRECTOTCORR_SUM,1994,19.96,0.37,3.13,154.61,212.82,161.24,185.19,223.98,234.03,246.62,71.39,0.98,1514.32
PRECTOTCORR_SUM,1995,1.78,2.92,124.8,137.57,196.84,196.54,154.64,243.36,223.59,271.66,15.15,12.73,1581.58
PRECTOTCORR_SUM,1996,16.85,17.67,124.79,162.77,213.04,208.56,174.39,291.23,166.1,242.93,23.98,4.27,1646.58
PRECTOTCORR_SUM,1997,0.0,0.0,44.28,99.11,137.32,288.18,248.1,192.19,162.69,78.33,12.35,30.54,1293.09
PRECTOTCORR_SUM,1998,3.86,9.22,20.77,89.26,123.29,163.91,229.34,260.94,281.37,358.25,48.4,2.26,1590.87
PRECTOTCORR_SUM,1999,66.41,101.88,14.43,40.63,240.27,148.66,152.79,343.91,260.55,141.79,14.42,0.8,1526.54
PRECTOTCORR_SUM,2000,0.01,2.91,15.35,65.52,115.84,175.26,147.73,177.35,206.53,130.43,21.89,0.0,1058.82
PRECTOTCORR_SUM,2001,0.16,4.76,50.26,128.61,79.04,98.15,76.03,166.59,191.74,78.84,55.7,0.5,930.38
