# Area: Congo
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -4.26   Longitude 15.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 437.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,173.06,171.47,268.28,255.41,75.21,10.33,1.52,0.43,20.12,311.03,375.97,206.09,1868.92
PRECTOTCORR_SUM,1982,536.51,374.68,305.42,209.25,318.3,23.01,0.41,0.4,11.97,152.66,314.36,237.56,2484.53
PRECTOTCORR_SUM,1983,240.12,212.39,229.3,196.83,132.88,14.13,0.8,0.02,12.54,47.67,526.13,227.76,1840.57
PRECTOTCORR_SUM,1984,216.02,103.59,103.43,117.01,224.13,123.38,34.78,8.72,89.61,184.59,409.19,164.87,1779.32
PRECTOTCORR_SUM,1985,314.37,83.38,158.41,309.71,234.08,7.5,10.62,10.24,87.37,185.04,288.94,151.49,1841.15
PRECTOTCORR_SUM,1986,150.6,130.14,226.69,202.64,215.28,34.86,1.26,13.15,39.42,86.57,319.58,172.24,1592.43
PRECTOTCORR_SUM,1987,84.25,220.13,308.02,298.55,159.06,1.4,1.2,3.77,46.01,135.99,190.27,182.88,1631.53
PRECTOTCORR_SUM,1988,238.38,208.36,125.42,128.18,117.47,135.15,9.23,8.48,35.7,236.11,301.89,211.73,1756.1
PRECTOTCORR_SUM,1989,146.85,182.85,159.39,167.76,150.0,25.82,0.27,5.16,69.53,223.28,198.55,169.4,1498.86
PRECTOTCORR_SUM,1990,183.93,243.82,175.7,178.1,441.86,29.29,0.24,4.08,79.69,255.83,280.21,188.9,2061.65
PRECTOTCORR_SUM,1991,210.47,93.5,86.08,227.95,168.16,16.57,3.38,7.3,20.99,112.71,148.69,126.29,1222.09
PRECTOTCORR_SUM,1992,97.0,109.17,366.52,143.12,176.14,3.96,0.08,1.45,31.67,126.09,236.91,208.41,1500.52
PRECTOTCORR_SUM,1993,105.66,119.34,241.7,165.73,96.68,16.07,1.5,12.69,65.67,164.36,202.8,205.66,1397.86
PRECTOTCORR_SUM,1994,66.47,94.83,148.09,203.41,193.39,0.36,0.39,41.13,70.82,234.68,574.18,208.0,1835.75
