# Area: Côte d'Ivoire
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.54   Longitude -5.55 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.82,56.17,153.68,191.02,218.92,231.6,185.35,206.67,231.96,152.72,51.59,15.96,1696.46
PRECTOTCORR_SUM,1982,1.22,130.75,161.29,193.84,191.83,254.52,135.22,202.05,118.01,208.21,53.05,8.75,1658.74
PRECTOTCORR_SUM,1983,0.0,52.31,61.69,92.06,248.8,252.31,80.41,80.9,170.7,40.58,81.57,56.96,1218.29
PRECTOTCORR_SUM,1984,7.04,20.22,115.88,158.09,191.82,203.31,234.12,284.29,185.93,149.98,43.44,15.19,1609.31
PRECTOTCORR_SUM,1985,37.31,31.0,95.5,101.68,194.91,204.8,189.51,368.21,281.7,111.54,59.57,10.78,1686.51
PRECTOTCORR_SUM,1986,2.26,51.63,80.33,108.58,154.45,153.33,132.46,195.35,244.3,131.3,32.63,69.71,1356.33
PRECTOTCORR_SUM,1987,34.44,38.33,70.43,85.32,133.21,197.25,153.66,339.23,323.51,192.88,9.55,16.6,1594.41
PRECTOTCORR_SUM,1988,2.14,21.48,144.9,203.64,130.51,227.88,182.77,207.82,357.11,101.58,78.69,14.15,1672.67
PRECTOTCORR_SUM,1989,1.37,16.13,73.32,71.71,110.54,232.75,203.75,242.86,241.15,144.75,26.25,39.55,1404.13
PRECTOTCORR_SUM,1990,13.93,30.21,6.78,150.67,145.73,158.06,172.41,154.9,234.93,127.46,77.3,44.25,1316.63
PRECTOTCORR_SUM,1991,7.66,28.3,84.81,165.92,288.79,207.05,213.58,199.57,139.25,116.78,37.62,12.56,1501.89
PRECTOTCORR_SUM,1992,1.42,23.93,73.12,155.04,219.6,114.63,115.64,80.33,160.71,155.23,23.75,17.71,1141.11
PRECTOTCORR_SUM,1993,3.75,57.01,111.45,107.97,134.35,180.51,125.99,107.51,221.44,145.72,49.87,10.73,1256.3
PRECTOTCORR_SUM,1994,5.24,17.19,67.04,88.83,147.95,134.08,87.08,98.02,185.07,240.37,32.24,0.2,1103.31
PRECTOTCORR_SUM,1995,0.86,14.28,67.38,163.01,143.32,144.62,202.67,212.33,192.97,171.58,36.31,52.99,1402.32
PRECTOTCORR_SUM,1996,6.14,59.43,33.33,151.03,119.21,179.41,176.01,199.12,86.85,141.02,20.29,44.56,1216.4
PRECTOTCORR_SUM,1997,24.93,4.62,125.59,155.38,168.37,292.78,105.97,137.23,162.34,224.79,53.35,13.36,1468.71
PRECTOTCORR_SUM,1998,7.77,79.06,36.61,204.65,162.57,203.4,163.57,164.41,216.32,187.83,85.93,27.21,1539.33
PRECTOTCORR_SUM,1999,22.04,54.99,264.57,116.71,146.26,276.71,210.98,177.76,134.39,169.71,59.34,1.16,1634.62
PRECTOTCORR_SUM,2000,47.2,7.76,80.65,103.03,150.73,189.4,147.14,163.12,207.23,136.46,74.91,11.61,1319.24
PRECTOTCORR_SUM,2001,0.86,8.93,85.61,140.59,109.86,169.99,155.06,182.86,165.44,63.37,48.83,7.28,1138.68
PRECTOTCORR_SUM,2002,31.95,16.9,72.78,117.2,116.46,164.61,177.84,156.3,90.3,36.71,10.51,8.83,1000.39
PRECTOTCORR_SUM,2003,10.3,47.45,59.73,115.78,104.18,228.33,108.03,135.98,210.93,132.55,57.36,16.37,1226.99
PRECTOTCORR_SUM,2004,37.46,50.15,58.78,109.73,152.21,103.51,131.52,155.08,159.27,131.53,75.32,13.54,1178.1
PRECTOTCORR_SUM,2005,22.99,32.21,66.43,158.57,182.53,186.64,91.9,76.44,175.27,125.39,27.34,30.84,1176.55
PRECTOTCORR_SUM,2006,30.56,29.99,81.36,115.18,183.42,181.19,112.98,72.11,202.53,127.84,18.29,6.27,1161.72
PRECTOTCORR_SUM,2007,2.09,19.44,49.11,107.27,129.51,152.65,224.71,109.26,143.85,82.88,49.54,12.82,1083.13
PRECTOTCORR_SUM,2008,18.62,23.39,93.16,91.93,84.1,156.01,259.44,165.21,171.0,131.85,51.63,12.56,1258.9
PRECTOTCORR_SUM,2009,9.04,90.37,125.52,171.03,145.03,226.77,125.44,124.39,125.91,119.94,94.36,16.91,1374.71
PRECTOTCORR_SUM,2010,17.86,70.4,108.15,126.79,162.06,207.6,211.7,218.18,183.57,193.59,45.84,41.08,1586.82
PRECTOTCORR_SUM,2011,11.35,85.9,130.51,93.36,120.27,160.14,104.7,105.52,190.56,178.98,48.12,54.21,1283.62
PRECTOTCORR_SUM,2012,1.35,43.91,85.63,128.99,174.54,210.8,116.3,123.08,190.87,182.32,77.26,33.59,1368.64
PRECTOTCORR_SUM,2013,4.75,48.82,146.09,97.15,234.4,108.42,89.6,78.17,195.28,146.43,86.71,43.43,1279.25
PRECTOTCORR_SUM,2014,28.11,49.45,115.26,229.07,192.23,315.58,158.78,171.66,225.59,127.98,111.6,27.82,1753.13
PRECTOTCORR_SUM,2015,4.8,109.52,91.38,116.05,146.67,144.04,118.2,119.64,175.62,219.52,75.44,10.43,1331.31
PRECTOTCORR_SUM,2016,0.95,8.81,105.05,97.22,153.28,212.14,177.64,241.43,241.61,209.13,59.75,26.97,1533.98
PRECTOTCORR_SUM,2017,14.99,59.48,105.69,117.14,148.93,245.75,138.57,162.94,209.35,96.09,46.14,2.59,1347.66
PRECTOTCORR_SUM,2018,1.39,115.22,134.08,150.81,154.35,270.77,143.92,173.09,183.42,146.22,44.84,19.68,1537.79
PRECTOTCORR_SUM,2019,15.5,66.12,64.67,176.94,115.39,190.61,186.88,274.64,326.99,213.26,52.54,12.39,1695.93
PRECTOTCORR_SUM,2020,1.12,36.94,160.54,139.33,172.98,226.7,153.54,122.17,238.2,185.41,21.13,67.87,1525.93
PRECTOTCORR_SUM,2021,30.21,58.99,85.28,213.77,101.05,320.35,199.23,231.26,257.73,167.37,63.13,3.54,1731.91
PRECTOTCORR_SUM,2022,18.23,21.08,112.42,139.38,177.53,197.47,121.15,197.9,481.45,161.18,39.33,8.2,1675.32
PRECTOTCORR_SUM,2023,5.11,24.28,224.44,81.75,193.52,262.7,149.72,134.55,107.52,154.04,101.27,18.65,1457.55
