# Area: Dominican Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.74   Longitude -70.16 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 126.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,81.8,46.59,72.57,91.03,278.13,140.97,185.18,153.23,131.38,165.71,89.55,73.59,1509.73
PRECTOTCORR_SUM,1982,115.07,35.35,38.45,33.08,204.53,99.89,62.97,74.86,93.35,90.11,60.33,31.52,939.51
PRECTOTCORR_SUM,1983,19.63,9.11,51.37,64.62,172.38,104.0,110.85,72.08,68.78,62.42,128.54,32.91,896.69
PRECTOTCORR_SUM,1984,50.23,62.19,14.52,37.9,92.55,100.3,134.39,102.98,201.21,140.48,57.42,46.84,1041.01
PRECTOTCORR_SUM,1985,23.83,36.77,59.19,70.15,94.62,18.49,122.11,124.68,223.08,255.59,119.37,31.1,1178.98
PRECTOTCORR_SUM,1986,89.19,14.64,48.97,94.43,242.26,311.81,37.54,145.78,88.15,92.86,116.96,15.9,1298.49
PRECTOTCORR_SUM,1987,19.89,77.65,22.65,100.52,129.5,93.56,71.08,55.12,138.16,118.4,83.73,111.94,1022.2
PRECTOTCORR_SUM,1988,48.98,45.83,74.26,94.25,78.37,62.34,14.56,90.27,104.25,85.13,103.74,54.54,856.52
PRECTOTCORR_SUM,1989,61.39,64.58,132.13,24.22,65.59,19.35,47.67,50.24,66.62,71.64,35.2,10.22,648.85
PRECTOTCORR_SUM,1990,64.91,33.72,25.88,24.24,28.46,116.54,26.35,49.78,18.19,141.92,76.08,41.48,647.55
PRECTOTCORR_SUM,1991,20.56,14.86,21.21,30.66,93.25,28.83,4.69,8.36,12.79,13.88,26.4,4.28,279.77
PRECTOTCORR_SUM,1992,19.73,28.52,18.08,16.76,7.35,6.34,20.46,54.91,55.93,0.99,8.96,60.23,298.26
PRECTOTCORR_SUM,1993,38.83,1.34,30.66,42.39,31.49,5.01,8.24,51.55,13.82,16.65,23.49,5.56,269.03
PRECTOTCORR_SUM,1994,16.65,20.3,14.49,8.14,8.75,24.42,36.92,22.21,37.29,31.68,87.57,15.67,324.09
PRECTOTCORR_SUM,1995,9.2,10.16,15.88,15.47,18.7,18.92,17.38,34.26,10.35,43.63,15.64,16.16,225.75
PRECTOTCORR_SUM,1996,27.41,9.31,36.07,43.27,116.51,36.13,97.25,111.95,133.79,103.22,69.05,41.07,825.03
PRECTOTCORR_SUM,1997,24.91,44.43,13.3,16.97,21.32,47.42,117.63,41.97,29.77,56.08,33.21,11.48,458.49
PRECTOTCORR_SUM,1998,26.93,9.24,21.75,22.11,53.25,35.77,62.63,80.64,110.89,94.09,85.98,86.55,689.83
PRECTOTCORR_SUM,1999,44.97,53.53,36.49,9.24,17.32,51.11,32.22,23.91,64.21,58.65,79.45,42.59,513.69
PRECTOTCORR_SUM,2000,27.04,9.1,0.95,10.5,27.97,20.56,7.62,38.51,55.3,39.57,22.07,8.55,267.74
PRECTOTCORR_SUM,2001,12.24,3.07,15.43,25.81,93.54,3.17,66.35,16.5,20.24,21.0,8.54,51.47,337.36
PRECTOTCORR_SUM,2002,8.68,3.5,10.94,35.24,50.41,13.92,31.91,12.98,54.34,30.58,23.56,13.58,289.64
PRECTOTCORR_SUM,2003,17.84,10.65,11.62,90.47,26.47,26.27,37.23,78.71,54.91,60.25,60.87,76.54,551.83
PRECTOTCORR_SUM,2004,14.98,55.97,17.38,62.93,110.72,29.33,46.75,39.76,93.31,15.78,39.84,14.43,541.18
PRECTOTCORR_SUM,2005,19.31,0.85,0.68,46.53,91.26,82.1,62.45,33.66,29.21,143.03,14.16,5.42,528.66
PRECTOTCORR_SUM,2006,10.35,29.19,17.06,50.08,40.97,46.37,39.03,80.81,24.11,27.54,57.56,12.45,435.52
PRECTOTCORR_SUM,2007,14.79,11.16,39.85,24.34,45.47,14.25,18.08,57.99,27.38,176.01,36.42,63.79,529.53
PRECTOTCORR_SUM,2008,38.31,8.39,3.85,30.14,21.02,18.13,12.38,89.57,179.53,39.44,21.48,11.37,473.61
PRECTOTCORR_SUM,2009,22.81,30.95,33.32,21.63,93.53,41.05,37.16,56.44,18.44,34.1,17.19,62.68,469.3
PRECTOTCORR_SUM,2010,30.6,14.09,10.34,43.07,78.07,237.95,102.65,42.83,75.09,42.34,74.18,5.64,756.85
PRECTOTCORR_SUM,2011,9.54,16.36,12.89,16.36,104.59,111.82,137.24,93.93,53.38,54.58,56.84,20.28,687.81
PRECTOTCORR_SUM,2012,15.25,10.79,35.55,65.58,91.87,32.96,43.5,117.12,44.79,59.09,23.9,11.76,552.16
PRECTOTCORR_SUM,2013,12.32,4.53,8.45,10.22,46.17,46.19,98.65,44.7,24.19,26.14,10.84,15.87,348.27
PRECTOTCORR_SUM,2014,6.59,4.63,3.68,4.45,12.05,31.59,14.54,121.61,87.54,22.42,60.25,14.55,383.9
PRECTOTCORR_SUM,2015,36.42,70.95,17.23,17.01,34.1,34.45,19.37,47.78,38.63,35.12,87.03,38.19,476.28
PRECTOTCORR_SUM,2016,14.27,36.04,20.95,84.64,151.68,62.05,81.63,102.11,56.12,196.65,157.9,42.72,1006.76
PRECTOTCORR_SUM,2017,22.29,17.52,58.5,108.54,98.2,36.33,56.31,71.08,116.91,95.22,77.45,25.56,783.91
PRECTOTCORR_SUM,2018,112.36,52.38,25.47,13.76,80.59,44.68,36.93,57.04,92.96,82.44,49.45,12.95,661.01
PRECTOTCORR_SUM,2019,32.15,15.39,31.24,29.86,62.43,16.15,46.6,27.69,76.78,56.5,27.44,80.17,502.4
PRECTOTCORR_SUM,2020,31.68,31.02,62.95,16.1,31.29,26.67,109.56,174.18,40.92,57.28,462.91,259.54,1304.1
PRECTOTCORR_SUM,2021,9.19,150.66,42.73,37.05,23.17,128.82,144.03,177.88,441.73,75.57,286.53,23.31,1540.67
PRECTOTCORR_SUM,2022,31.97,91.26,47.92,89.02,38.69,40.12,158.33,69.67,118.83,58.76,90.38,7.91,842.86
PRECTOTCORR_SUM,2023,37.89,9.21,51.55,157.5,49.4,64.42,60.31,159.68,85.28,83.99,117.16,170.57,1046.96
