# Area: India
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  20.59   Longitude 78.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 274.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,32.93,5.53,40.22,1.96,41.04,231.58,414.6,326.87,374.47,34.08,4.28,25.18,1532.74
PRECTOTCORR_SUM,1982,97.48,22.49,9.36,26.88,19.12,134.06,386.94,128.49,159.55,29.42,13.0,0.0,1026.79
PRECTOTCORR_SUM,1983,4.19,19.59,3.69,3.79,6.2,132.64,331.65,190.54,235.19,55.64,0.2,2.1,985.42
PRECTOTCORR_SUM,1984,27.83,26.95,0.13,0.35,1.95,89.9,200.56,150.39,53.26,73.93,0.09,0.0,625.34
PRECTOTCORR_SUM,1985,17.05,2.46,0.99,12.77,10.24,162.29,171.03,200.92,52.78,173.97,0.0,3.66,808.16
PRECTOTCORR_SUM,1986,21.56,31.37,0.63,0.4,18.14,182.3,220.12,218.44,90.1,8.29,9.0,20.33,820.68
PRECTOTCORR_SUM,1987,38.4,4.41,13.17,0.15,17.81,128.68,212.52,274.72,35.04,65.38,65.12,7.78,863.18
PRECTOTCORR_SUM,1988,0.15,1.46,4.03,16.57,10.84,168.01,277.66,256.37,249.27,66.06,11.74,1.91,1064.07
PRECTOTCORR_SUM,1989,0.0,0.0,56.08,0.52,2.55,171.74,187.61,192.34,72.4,13.76,0.19,58.98,756.17
PRECTOTCORR_SUM,1990,5.18,2.2,9.77,0.08,86.28,272.65,260.66,258.52,85.15,132.03,0.18,0.02,1112.72
PRECTOTCORR_SUM,1991,0.0,0.0,0.02,0.06,0.01,178.67,270.11,193.98,15.01,11.85,12.79,2.06,684.56
PRECTOTCORR_SUM,1992,0.02,0.0,0.09,4.74,7.11,98.5,173.12,335.16,121.79,53.84,32.61,0.0,826.98
