# Area: Kenya
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.02   Longitude 37.91 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 716.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,7.36,12.46,172.28,221.77,98.8,15.15,11.86,12.46,13.2,97.0,121.44,64.12,847.9
PRECTOTCORR_SUM,1982,57.16,5.76,38.53,207.22,125.13,7.54,5.63,5.79,19.72,203.03,140.6,77.97,894.08
PRECTOTCORR_SUM,1983,6.3,30.09,8.78,99.95,65.23,13.67,14.64,12.91,7.21,32.67,95.43,97.53,484.41
PRECTOTCORR_SUM,1984,9.56,4.13,14.41,79.41,13.76,2.05,10.55,4.98,12.56,153.3,244.22,77.57,626.5
PRECTOTCORR_SUM,1985,15.69,20.27,100.77,91.3,88.93,6.67,11.54,3.96,4.95,68.48,126.07,57.64,596.27
PRECTOTCORR_SUM,1986,5.19,6.33,67.44,184.91,59.87,18.45,4.09,3.87,3.72,39.07,131.33,98.21,622.48
PRECTOTCORR_SUM,1987,26.51,5.64,55.25,147.61,74.39,31.64,6.25,11.36,2.16,6.04,92.1,24.35,483.3
PRECTOTCORR_SUM,1988,29.95,12.35,51.75,173.84,23.91,14.06,7.14,13.91,18.4,41.77,186.63,146.52,720.23
PRECTOTCORR_SUM,1989,52.57,32.52,44.61,152.52,32.85,2.95,11.0,6.32,14.12,104.3,214.77,110.19,778.72
PRECTOTCORR_SUM,1990,45.11,40.49,141.06,171.49,18.86,2.4,5.85,5.81,6.03,74.8,119.85,126.59,758.34
PRECTOTCORR_SUM,1991,47.01,3.02,49.3,64.85,54.85,5.31,24.35,12.68,2.05,32.41,102.34,94.66,492.83
PRECTOTCORR_SUM,1992,12.94,16.69,9.56,108.22,47.33,4.14,9.84,6.98,12.19,58.29,96.55,125.08,507.81
PRECTOTCORR_SUM,1993,116.62,30.36,27.91,78.39,77.63,7.74,3.98,6.4,2.09,47.62,153.5,67.51,619.75
PRECTOTCORR_SUM,1994,11.34,29.13,43.17,67.31,40.89,9.71,10.48,10.91,16.31,93.0,235.31,161.25,728.81
PRECTOTCORR_SUM,1995,17.82,39.08,103.1,121.21,57.32,7.74,7.38,14.53,9.5,123.69,114.16,99.14,714.67
PRECTOTCORR_SUM,1996,25.25,20.54,109.92,46.53,33.49,44.16,15.98,12.99,11.18,12.62,213.21,27.27,573.14
PRECTOTCORR_SUM,1997,6.56,0.92,46.8,154.01,38.44,8.17,6.75,3.79,2.61,222.61,329.13,184.77,1004.56
PRECTOTCORR_SUM,1998,256.77,52.28,50.46,71.91,98.9,33.46,11.83,9.37,5.13,9.31,115.65,20.36,735.43
PRECTOTCORR_SUM,1999,5.99,5.6,122.41,62.06,15.84,2.54,7.14,6.5,4.08,22.72,204.19,84.14,543.21
