# Area: Lesotho
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -29.61   Longitude 28.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2313.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,195.93,140.75,109.56,41.01,12.52,17.14,0.7,59.44,5.45,24.12,130.0,97.27,833.89
PRECTOTCORR_SUM,1982,117.51,89.37,92.25,90.04,2.85,13.24,19.11,2.74,25.52,173.25,112.92,37.9,776.7
PRECTOTCORR_SUM,1983,66.33,49.52,57.42,37.69,36.33,36.44,43.2,2.75,16.03,76.32,113.2,85.78,621.01
PRECTOTCORR_SUM,1984,98.27,107.13,100.57,30.88,48.17,10.09,10.11,79.01,5.75,77.29,82.55,76.46,726.28
PRECTOTCORR_SUM,1985,80.41,104.63,61.51,36.64,1.94,9.15,1.15,0.68,10.18,129.4,110.91,183.87,730.47
PRECTOTCORR_SUM,1986,126.33,86.16,97.52,98.26,0.03,53.33,10.59,142.88,131.17,204.14,152.41,189.84,1292.66
PRECTOTCORR_SUM,1987,105.87,187.94,110.14,78.27,11.76,5.3,23.53,97.75,193.97,68.18,136.58,115.26,1134.55
PRECTOTCORR_SUM,1988,90.34,182.41,256.03,127.52,53.56,25.97,24.89,7.15,72.44,128.4,117.89,139.11,1225.71
PRECTOTCORR_SUM,1989,104.68,238.42,66.57,56.15,34.5,31.34,7.79,7.41,6.39,61.88,158.85,85.4,859.38
PRECTOTCORR_SUM,1990,101.45,60.33,115.4,118.56,7.21,25.8,50.0,34.85,3.76,44.17,22.91,111.24,695.68
PRECTOTCORR_SUM,1991,219.18,115.24,95.3,6.49,4.39,22.99,2.23,1.76,54.28,179.28,67.77,138.27,907.18
PRECTOTCORR_SUM,1992,51.99,64.39,48.04,23.94,0.27,0.38,1.65,47.71,7.52,90.73,174.28,52.32,563.22
PRECTOTCORR_SUM,1993,88.78,152.26,63.07,70.94,29.15,4.67,0.18,26.19,7.28,173.04,75.85,154.95,846.36
PRECTOTCORR_SUM,1994,176.52,156.28,59.24,52.99,12.8,1.3,19.13,10.26,1.24,20.62,33.24,95.8,639.42
PRECTOTCORR_SUM,1995,99.66,59.31,109.47,29.08,25.04,6.21,1.06,17.03,18.74,89.26,157.98,161.35,774.19
PRECTOTCORR_SUM,1996,150.18,109.26,102.41,78.71,21.96,1.67,42.31,13.9,26.25,132.28,108.96,118.64,906.53
PRECTOTCORR_SUM,1997,143.19,38.01,162.57,87.63,73.03,28.06,24.87,29.19,29.31,48.43,79.51,71.74,815.54
PRECTOTCORR_SUM,1998,111.59,99.69,77.57,13.4,22.34,0.36,4.01,7.67,32.92,94.04,168.89,79.01,711.49
