# Area: Namibia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -22.96   Longitude 18.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1379.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,63.86,57.18,65.15,11.38,0.45,0.05,0.0,1.52,0.11,6.68,7.81,9.36,223.55
PRECTOTCORR_SUM,1982,16.38,132.3,68.62,18.85,2.14,0.02,1.83,0.0,4.84,32.22,28.85,93.12,399.17
PRECTOTCORR_SUM,1983,64.8,19.42,35.42,35.64,2.83,13.99,0.0,0.0,0.0,10.3,64.15,74.72,321.27
PRECTOTCORR_SUM,1984,9.55,63.05,43.41,61.15,9.94,0.0,0.0,0.13,0.14,30.98,42.73,4.21,265.29
PRECTOTCORR_SUM,1985,52.05,53.62,101.38,26.65,1.55,0.0,0.0,0.0,2.04,30.33,29.26,49.71,346.59
PRECTOTCORR_SUM,1986,52.19,28.74,48.93,32.97,0.0,0.16,0.28,0.04,7.52,36.78,5.73,32.57,245.91
PRECTOTCORR_SUM,1987,8.85,108.16,14.12,24.01,2.57,0.0,1.38,0.0,0.72,17.46,27.6,19.45,224.32
PRECTOTCORR_SUM,1988,115.45,59.9,86.96,104.4,6.26,0.0,0.0,0.0,0.2,5.68,11.09,80.6,470.54
PRECTOTCORR_SUM,1989,97.02,134.88,7.57,35.58,6.07,0.03,0.0,0.0,0.0,0.48,13.9,8.85,304.38
PRECTOTCORR_SUM,1990,84.82,32.96,70.86,56.53,0.39,0.22,0.0,1.27,0.0,12.29,11.89,47.25,318.48
PRECTOTCORR_SUM,1991,101.48,120.59,29.51,0.44,0.0,0.0,0.0,0.0,12.87,11.7,44.56,80.51,401.66
PRECTOTCORR_SUM,1992,24.92,42.0,46.59,10.44,0.0,0.0,0.0,0.99,6.02,3.94,2.77,23.73,161.4
