# Area: North Macedonia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.61   Longitude 21.75 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 616.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,50.15,49.51,65.22,51.42,39.19,40.88,42.07,55.0,56.41,107.45,83.08,80.19,720.57
PRECTOTCORR_SUM,1982,61.66,39.24,60.95,87.92,46.35,20.17,32.14,41.84,39.69,55.88,63.12,51.12,600.08
PRECTOTCORR_SUM,1983,27.46,37.46,26.15,31.32,60.71,116.6,85.16,35.21,79.07,36.12,67.83,101.96,705.05
PRECTOTCORR_SUM,1984,62.24,81.57,56.13,46.15,27.79,25.8,15.27,67.13,32.98,8.47,46.22,35.01,504.76
PRECTOTCORR_SUM,1985,52.96,41.07,47.25,44.48,65.23,27.0,11.84,12.29,14.56,22.18,183.13,19.68,541.67
PRECTOTCORR_SUM,1986,70.11,124.09,41.51,33.59,87.13,101.46,80.48,13.77,7.01,34.88,31.57,31.1,656.7
PRECTOTCORR_SUM,1987,75.7,42.32,92.22,50.0,43.65,27.47,23.98,18.74,30.05,49.55,66.95,36.53,557.16
PRECTOTCORR_SUM,1988,24.97,42.32,49.75,26.1,29.48,61.83,11.6,5.61,23.98,38.31,85.21,49.35,448.51
PRECTOTCORR_SUM,1989,2.06,34.37,27.73,32.24,77.18,66.81,79.47,25.66,20.99,42.09,34.01,35.72,478.33
PRECTOTCORR_SUM,1990,2.27,18.89,10.96,45.78,46.53,13.56,21.87,30.0,29.13,25.4,54.17,117.78,416.34
PRECTOTCORR_SUM,1991,21.61,70.79,32.04,83.83,66.42,23.78,66.59,39.34,41.68,54.13,84.83,15.13,600.17
PRECTOTCORR_SUM,1992,7.44,13.45,27.1,115.54,44.74,84.64,45.25,8.71,12.59,60.37,50.85,59.56,530.24
PRECTOTCORR_SUM,1993,32.3,19.3,53.57,23.17,41.59,32.82,10.21,11.38,18.07,25.79,69.18,51.38,388.76
PRECTOTCORR_SUM,1994,68.17,48.84,13.12,83.97,21.21,37.64,58.29,25.85,17.87,65.47,34.84,60.6,535.87
PRECTOTCORR_SUM,1995,63.23,18.35,55.52,40.36,71.31,32.33,77.57,62.63,54.96,1.59,53.9,110.2,641.95
PRECTOTCORR_SUM,1996,41.25,59.66,50.2,33.16,42.77,17.67,37.65,44.4,111.04,28.39,58.51,75.05,599.75
PRECTOTCORR_SUM,1997,21.79,28.82,35.91,47.07,19.45,22.05,28.69,22.0,6.21,111.75,45.92,62.69,452.35
PRECTOTCORR_SUM,1998,15.63,53.24,22.37,38.72,86.46,37.66,29.54,29.61,71.79,76.57,132.86,47.99,642.44
PRECTOTCORR_SUM,1999,41.24,50.42,65.29,54.7,34.27,86.67,65.06,34.19,41.48,47.63,117.78,81.56,720.29
PRECTOTCORR_SUM,2000,15.44,46.01,55.02,43.43,67.62,43.72,21.73,8.69,30.02,62.83,53.51,22.58,470.6
PRECTOTCORR_SUM,2001,44.82,21.76,18.55,138.69,59.16,31.75,30.25,50.32,37.48,4.9,40.97,61.93,540.58
PRECTOTCORR_SUM,2002,21.47,15.89,74.15,78.32,99.57,26.97,84.54,78.87,136.42,88.59,27.0,135.52,867.31
PRECTOTCORR_SUM,2003,107.62,35.8,10.49,58.32,68.26,77.44,27.78,34.39,32.49,135.04,54.46,55.34,697.43
PRECTOTCORR_SUM,2004,75.25,42.25,48.75,54.97,85.14,110.06,55.16,33.89,65.21,48.9,84.07,62.3,765.95
PRECTOTCORR_SUM,2005,53.2,65.85,55.51,22.51,54.39,44.9,36.47,71.08,42.41,38.47,53.3,98.99,637.08
PRECTOTCORR_SUM,2006,57.88,56.1,58.84,49.44,36.4,73.92,81.23,45.74,44.11,69.25,33.71,24.76,631.38
PRECTOTCORR_SUM,2007,36.89,32.63,44.26,18.73,88.15,71.46,3.92,63.6,32.92,109.42,94.25,44.41,640.64
PRECTOTCORR_SUM,2008,22.0,17.7,43.68,69.3,47.52,55.67,48.7,22.5,84.02,35.02,37.75,87.74,571.6
PRECTOTCORR_SUM,2009,94.07,27.68,86.31,48.63,72.64,87.72,31.64,72.84,26.67,86.1,69.09,107.29,810.68
PRECTOTCORR_SUM,2010,52.47,102.4,62.38,62.02,53.83,75.61,46.78,15.83,47.86,146.19,74.96,83.05,823.38
PRECTOTCORR_SUM,2011,33.82,26.28,39.11,21.04,78.01,47.37,19.36,33.71,49.39,37.7,4.86,45.15,435.8
PRECTOTCORR_SUM,2012,34.67,73.07,27.82,58.13,117.01,26.25,26.24,29.62,40.61,62.61,53.32,65.05,614.4
PRECTOTCORR_SUM,2013,57.97,109.03,59.89,65.59,49.81,71.24,28.16,21.69,44.29,20.39,60.39,19.06,607.51
PRECTOTCORR_SUM,2014,35.37,23.38,39.34,133.92,71.14,65.92,84.29,44.46,146.45,63.88,77.74,91.91,877.8
PRECTOTCORR_SUM,2015,87.18,64.17,83.03,38.39,39.38,58.08,16.1,35.43,89.72,121.25,48.92,0.32,681.97
PRECTOTCORR_SUM,2016,63.48,36.66,87.6,32.65,81.23,37.01,33.97,47.18,77.6,57.69,57.86,3.79,616.72
PRECTOTCORR_SUM,2017,43.59,16.53,21.11,39.3,79.66,45.39,26.22,15.33,30.09,35.95,104.89,75.69,533.75
PRECTOTCORR_SUM,2018,30.09,116.47,86.31,17.19,64.84,92.9,43.79,41.55,1.47,9.86,50.46,27.21,582.14
PRECTOTCORR_SUM,2019,91.06,8.17,5.65,61.81,70.71,53.07,42.87,5.27,28.84,9.27,89.62,51.79,518.13
PRECTOTCORR_SUM,2020,15.53,36.07,97.31,79.61,24.48,35.4,41.61,126.65,21.62,36.09,23.01,55.15,592.53
PRECTOTCORR_SUM,2021,202.42,33.32,42.89,109.73,22.04,30.09,13.01,17.8,29.61,124.79,50.27,75.22,751.19
PRECTOTCORR_SUM,2022,26.49,64.75,28.7,33.84,38.06,118.15,37.84,58.74,47.23,33.51,57.66,43.41,588.38
PRECTOTCORR_SUM,2023,71.39,12.39,61.51,78.51,211.85,144.91,37.09,27.02,16.12,26.59,103.03,46.54,836.95
