# Area: Peru
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.19   Longitude -75.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 257.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,200.01,202.57,111.68,107.33,74.52,99.03,22.69,42.83,49.51,172.41,147.39,289.27,1519.24
PRECTOTCORR_SUM,1982,253.85,235.6,370.04,86.74,80.45,104.45,18.7,33.66,143.06,133.19,34.96,75.25,1569.95
PRECTOTCORR_SUM,1983,29.05,37.51,40.67,81.45,13.05,3.68,2.99,5.77,7.77,13.61,175.98,227.18,638.71
PRECTOTCORR_SUM,1984,234.49,198.75,176.56,134.47,58.58,105.31,48.37,62.02,50.51,93.74,208.23,104.19,1475.22
PRECTOTCORR_SUM,1985,169.12,151.23,177.95,128.88,19.38,17.28,79.15,53.68,55.81,108.26,131.46,120.46,1212.66
PRECTOTCORR_SUM,1986,115.47,216.01,248.77,121.0,125.63,6.51,19.37,55.54,45.57,87.58,133.3,133.96,1308.71
PRECTOTCORR_SUM,1987,200.99,102.66,103.34,161.88,85.1,68.54,57.95,25.57,46.94,170.91,201.57,96.7,1322.15
PRECTOTCORR_SUM,1988,97.17,154.68,193.11,91.86,80.08,38.5,14.19,14.87,50.06,88.0,167.82,169.83,1160.17
PRECTOTCORR_SUM,1989,144.48,195.98,122.99,89.37,114.72,52.48,17.5,36.6,39.36,56.7,58.45,72.3,1000.93
PRECTOTCORR_SUM,1990,219.22,132.09,199.32,102.31,56.74,57.9,22.02,34.51,39.58,100.7,211.18,327.2,1502.77
PRECTOTCORR_SUM,1991,65.75,146.73,213.95,89.71,95.63,32.46,24.21,15.15,73.88,82.95,194.25,68.74,1103.41
PRECTOTCORR_SUM,1992,99.99,150.74,151.73,65.98,105.59,54.7,34.79,88.56,144.25,101.59,130.66,119.87,1248.45
PRECTOTCORR_SUM,1993,175.58,139.85,190.03,173.0,59.28,31.3,62.73,106.57,100.85,125.33,205.73,154.83,1525.08
PRECTOTCORR_SUM,1994,191.03,111.72,109.3,106.68,35.74,40.32,15.14,5.52,63.27,149.0,132.72,220.95,1181.39
PRECTOTCORR_SUM,1995,132.61,289.09,252.01,135.47,61.14,55.98,56.24,41.0,82.04,155.7,139.8,116.17,1517.25
PRECTOTCORR_SUM,1996,233.13,278.77,156.15,155.95,73.34,45.95,16.51,54.57,102.15,154.61,161.69,135.49,1568.31
PRECTOTCORR_SUM,1997,189.84,156.44,245.37,114.47,89.14,58.99,21.36,34.06,60.88,71.17,128.65,140.93,1311.3
PRECTOTCORR_SUM,1998,71.89,172.36,210.69,184.92,149.44,41.19,8.38,35.47,152.63,207.64,220.93,153.56,1609.1
PRECTOTCORR_SUM,1999,341.47,221.44,263.16,118.85,147.26,86.02,30.37,28.31,113.76,58.17,156.53,146.0,1711.34
PRECTOTCORR_SUM,2000,163.18,204.03,217.96,142.62,66.52,90.07,63.01,36.11,47.33,115.64,131.92,159.57,1437.96
PRECTOTCORR_SUM,2001,191.09,139.66,179.07,147.39,82.04,91.76,153.68,73.66,73.16,101.44,188.24,154.48,1575.67
PRECTOTCORR_SUM,2002,190.86,175.92,113.18,209.56,123.42,45.76,125.76,63.57,56.72,120.99,130.64,200.86,1557.24
PRECTOTCORR_SUM,2003,63.89,149.79,111.55,166.0,161.64,142.5,77.55,92.5,138.59,43.35,102.38,270.01,1519.75
PRECTOTCORR_SUM,2004,129.84,110.57,222.58,158.98,64.32,28.05,96.62,33.57,70.41,164.32,221.78,275.56,1576.6
PRECTOTCORR_SUM,2005,119.14,193.07,199.51,112.17,31.26,73.17,5.96,51.69,84.56,109.48,107.92,300.33,1388.26
PRECTOTCORR_SUM,2006,141.05,351.65,164.42,137.76,10.18,88.22,19.88,46.49,52.54,157.01,232.01,182.95,1584.16
