# Area: Republic of Korea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.91   Longitude 127.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 336.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,26.66,28.52,26.71,56.12,36.43,131.27,274.11,263.11,174.4,53.06,27.63,12.95,1110.97
PRECTOTCORR_SUM,1982,37.89,25.67,68.02,55.13,115.67,9.68,157.75,234.78,23.44,38.77,116.94,45.46,929.2
PRECTOTCORR_SUM,1983,18.28,47.9,75.14,104.42,57.37,128.74,266.38,177.94,185.25,45.75,34.29,8.12,1149.58
PRECTOTCORR_SUM,1984,9.19,13.14,20.7,142.06,52.66,147.33,307.99,216.68,178.66,37.49,49.78,20.87,1196.55
PRECTOTCORR_SUM,1985,13.73,41.11,79.05,72.41,159.92,158.99,293.57,249.79,285.61,138.26,94.58,43.95,1630.97
PRECTOTCORR_SUM,1986,17.37,17.9,51.37,40.91,128.71,234.45,187.67,236.77,76.44,86.61,26.98,59.39,1164.57
PRECTOTCORR_SUM,1987,65.61,51.36,46.58,57.92,80.62,135.05,417.51,436.13,29.97,74.75,70.54,3.33,1469.37
PRECTOTCORR_SUM,1988,19.47,4.9,50.51,61.32,76.39,66.87,300.6,96.95,38.95,3.27,24.39,25.89,769.51
PRECTOTCORR_SUM,1989,103.24,70.64,66.38,38.26,44.76,184.14,393.37,178.12,233.82,29.43,72.71,16.32,1431.19
PRECTOTCORR_SUM,1990,51.29,101.84,73.49,90.31,101.45,299.11,261.95,181.02,177.63,9.23,59.87,23.02,1430.21
PRECTOTCORR_SUM,1991,27.58,54.92,87.71,88.62,57.9,147.25,346.11,181.67,183.12,16.42,25.21,52.84,1269.35
PRECTOTCORR_SUM,1992,14.11,40.04,60.74,125.33,76.08,33.58,160.49,260.09,194.88,31.15,48.53,56.01,1101.03
PRECTOTCORR_SUM,1993,21.91,69.36,46.8,44.25,131.96,221.14,320.43,339.46,89.85,50.97,89.51,42.1,1467.74
PRECTOTCORR_SUM,1994,48.95,27.27,59.9,49.76,122.55,102.17,99.4,201.85,33.55,126.74,27.49,21.65,921.28
