# Area: Saint Lucia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.91   Longitude -60.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,118.89,180.88,41.38,319.43,201.49,197.31,285.52,162.6,142.77,213.36,179.36,202.66,2245.65
PRECTOTCORR_SUM,1982,100.66,169.83,38.22,29.07,85.94,75.5,170.03,207.6,187.97,219.38,213.71,122.31,1620.22
PRECTOTCORR_SUM,1983,121.51,23.74,46.19,31.05,285.17,164.12,234.65,176.49,150.64,150.22,105.63,199.48,1688.89
PRECTOTCORR_SUM,1984,108.11,35.74,71.73,30.9,64.75,57.59,210.8,144.78,163.18,195.47,195.97,62.25,1341.27
PRECTOTCORR_SUM,1985,110.85,78.65,65.0,49.83,50.68,37.47,209.38,182.05,138.88,298.5,211.81,75.12,1508.22
PRECTOTCORR_SUM,1986,81.95,26.65,60.89,47.47,139.52,107.18,114.7,261.83,198.82,131.07,338.75,103.64,1612.47
PRECTOTCORR_SUM,1987,42.08,17.89,14.18,9.34,207.82,158.9,185.98,137.34,144.8,145.59,260.9,67.04,1391.86
PRECTOTCORR_SUM,1988,85.48,70.4,24.11,10.42,30.99,99.77,203.25,194.03,191.94,278.72,121.33,79.26,1389.7
PRECTOTCORR_SUM,1989,83.48,92.67,83.54,54.23,8.27,75.53,151.76,203.32,295.88,183.17,170.06,132.74,1534.65
PRECTOTCORR_SUM,1990,179.62,92.4,88.66,78.73,110.42,156.67,168.48,218.84,221.68,289.28,96.56,138.42,1839.76
PRECTOTCORR_SUM,1991,101.37,37.36,77.35,68.54,73.36,86.2,110.55,139.86,174.9,81.09,486.13,146.17,1582.88
PRECTOTCORR_SUM,1992,83.31,54.69,31.34,66.93,112.25,266.64,177.41,224.16,278.05,85.57,406.47,193.98,1980.8
