# Area: South Africa
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -30.56   Longitude 22.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1125.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,11.4,56.52,45.62,2.81,11.2,0.53,0.9,43.2,1.14,41.35,13.63,9.38,237.68
PRECTOTCORR_SUM,1982,3.52,32.36,9.19,71.51,0.15,6.28,23.85,0.1,8.95,23.62,16.06,8.47,204.06
PRECTOTCORR_SUM,1983,1.14,0.12,32.34,10.48,15.9,7.99,5.25,0.01,15.23,6.87,28.3,14.49,138.12
PRECTOTCORR_SUM,1984,0.91,0.76,19.94,16.1,9.67,1.06,0.49,8.18,0.48,28.28,3.81,0.66,90.34
PRECTOTCORR_SUM,1985,22.44,37.08,23.71,5.93,2.82,4.8,1.06,0.01,1.49,41.03,27.78,94.06,262.21
PRECTOTCORR_SUM,1986,41.48,17.95,20.84,9.47,0.0,13.73,0.88,7.32,5.8,57.45,11.49,2.88,189.29
PRECTOTCORR_SUM,1987,1.1,26.87,14.79,40.75,9.57,7.9,5.75,0.34,38.88,4.29,49.08,11.9,211.22
PRECTOTCORR_SUM,1988,2.32,101.97,63.22,58.85,5.79,6.41,1.74,1.55,41.72,11.76,21.67,88.26,405.26
PRECTOTCORR_SUM,1989,46.76,120.03,37.78,42.97,9.61,6.7,0.49,12.82,2.86,7.21,42.48,8.66,338.37
PRECTOTCORR_SUM,1990,11.57,46.28,22.17,30.65,0.8,21.61,2.57,2.14,2.09,1.0,0.69,28.67,170.24
PRECTOTCORR_SUM,1991,82.27,41.01,85.79,0.97,0.34,34.49,0.76,0.37,34.58,110.05,4.45,12.19,407.27
PRECTOTCORR_SUM,1992,2.75,16.52,43.68,1.85,0.46,7.51,4.98,30.84,0.88,15.59,9.89,0.0,134.95
PRECTOTCORR_SUM,1993,2.12,49.59,15.13,14.06,9.36,7.66,3.09,3.03,0.24,22.45,24.36,25.5,176.59
PRECTOTCORR_SUM,1994,49.09,53.48,52.44,4.59,0.41,2.73,0.91,3.34,0.75,1.56,5.03,7.79,182.12
PRECTOTCORR_SUM,1995,24.93,4.5,38.92,4.1,22.51,0.72,0.4,14.3,13.93,7.85,30.96,52.87,215.99
PRECTOTCORR_SUM,1996,23.36,31.06,10.1,27.51,7.24,0.43,39.89,9.77,4.9,12.03,112.0,27.68,305.97
PRECTOTCORR_SUM,1997,12.23,9.06,70.83,12.05,23.72,12.58,3.13,0.34,0.28,4.5,1.65,27.22,177.59
PRECTOTCORR_SUM,1998,22.81,24.29,29.48,9.78,9.54,0.48,3.46,14.43,24.88,13.87,26.27,21.05,200.34
PRECTOTCORR_SUM,1999,28.17,0.6,10.45,7.98,57.09,2.07,5.75,1.46,4.5,45.49,6.9,58.92,229.38
PRECTOTCORR_SUM,2000,37.28,37.06,67.15,34.31,0.64,2.61,4.15,1.49,23.75,5.51,13.3,5.1,232.35
PRECTOTCORR_SUM,2001,4.73,12.12,44.19,70.54,9.53,4.02,17.91,2.8,47.15,16.33,68.06,27.29,324.67
PRECTOTCORR_SUM,2002,40.6,10.27,25.24,25.18,30.91,11.24,4.09,16.76,12.11,3.91,11.43,38.18,229.92
PRECTOTCORR_SUM,2003,8.7,16.11,34.37,16.56,4.37,0.52,1.01,8.26,7.46,10.43,23.07,29.5,160.36
PRECTOTCORR_SUM,2004,93.24,37.06,96.37,99.98,0.55,13.59,3.01,2.66,27.31,8.73,3.28,11.1,396.88
PRECTOTCORR_SUM,2005,31.1,31.14,20.0,30.74,13.73,8.04,0.68,3.72,0.08,7.14,15.51,9.0,170.88
PRECTOTCORR_SUM,2006,68.26,64.5,24.69,42.5,41.72,2.58,3.92,42.19,2.07,16.09,12.63,8.27,329.42
PRECTOTCORR_SUM,2007,11.91,3.54,11.62,17.66,3.2,9.53,3.24,0.22,5.46,39.21,17.41,58.36,181.36
PRECTOTCORR_SUM,2008,46.28,46.26,44.29,9.81,47.94,45.82,2.14,4.65,0.21,5.71,19.56,1.35,274.02
PRECTOTCORR_SUM,2009,6.25,90.29,13.35,31.02,4.45,26.45,1.76,0.32,0.06,18.05,10.88,8.54,211.42
PRECTOTCORR_SUM,2010,60.34,30.24,29.56,6.67,0.99,1.94,0.42,0.0,3.32,2.61,16.53,37.38,190.0
PRECTOTCORR_SUM,2011,46.81,57.48,57.58,22.86,18.14,7.78,2.25,1.72,4.66,4.17,3.96,22.55,249.96
PRECTOTCORR_SUM,2012,17.9,27.89,26.5,21.84,3.69,22.59,11.46,4.24,0.6,23.0,10.22,86.65,256.58
PRECTOTCORR_SUM,2013,8.31,3.01,41.52,5.3,1.31,1.05,11.77,1.45,1.1,14.04,22.93,34.33,146.12
PRECTOTCORR_SUM,2014,12.07,43.65,17.8,8.93,33.63,1.01,0.14,26.82,7.17,3.81,39.83,10.19,205.05
PRECTOTCORR_SUM,2015,11.66,3.71,57.97,9.67,0.07,24.07,16.38,5.37,7.42,1.48,0.38,1.38,139.56
PRECTOTCORR_SUM,2016,37.07,18.63,20.89,22.03,58.71,1.05,5.84,7.97,0.31,0.8,0.81,6.41,180.52
PRECTOTCORR_SUM,2017,21.85,48.11,2.61,27.71,2.74,4.43,1.23,0.17,0.18,20.09,13.01,17.33,159.46
PRECTOTCORR_SUM,2018,27.78,13.56,5.15,49.83,25.31,0.3,1.62,0.58,11.05,21.28,0.12,0.28,156.86
PRECTOTCORR_SUM,2019,5.78,30.14,2.83,33.79,21.91,0.15,2.46,0.12,0.64,0.6,0.24,12.2,110.86
PRECTOTCORR_SUM,2020,42.85,50.53,43.28,9.08,0.02,0.43,2.6,0.16,24.6,7.73,16.09,32.58,229.95
PRECTOTCORR_SUM,2021,43.69,15.44,27.32,5.73,2.61,1.49,2.11,4.5,0.23,32.72,13.17,57.07,206.08
PRECTOTCORR_SUM,2022,60.49,65.38,68.69,14.2,30.24,20.42,3.04,1.87,20.85,10.43,65.97,36.11,397.69
PRECTOTCORR_SUM,2023,12.79,11.83,16.32,2.43,44.85,16.78,6.77,1.69,24.29,9.5,6.13,49.88,203.26
