# Area: South Sudan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.86   Longitude 31.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 496.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,4.06,124.64,103.17,172.95,125.57,176.74,232.92,262.72,98.89,74.48,11.04,1387.18
PRECTOTCORR_SUM,1982,9.92,8.27,16.23,94.53,257.79,262.36,175.66,229.76,93.75,156.32,69.18,26.37,1400.14
PRECTOTCORR_SUM,1983,4.52,8.66,21.81,50.69,158.46,221.3,138.16,304.49,120.25,253.62,65.14,10.1,1357.2
PRECTOTCORR_SUM,1984,1.04,4.38,14.11,124.08,157.21,96.61,160.67,199.6,94.73,39.06,18.97,7.31,917.77
PRECTOTCORR_SUM,1985,4.59,7.26,86.56,97.36,197.23,193.32,224.41,234.62,150.31,61.47,51.97,4.19,1313.29
PRECTOTCORR_SUM,1986,1.27,15.88,42.06,135.72,111.18,234.36,217.52,172.28,170.9,152.82,49.3,30.2,1333.49
PRECTOTCORR_SUM,1987,1.21,31.16,43.56,97.77,319.36,293.73,186.73,242.4,163.79,108.95,70.16,16.87,1575.69
PRECTOTCORR_SUM,1988,20.63,21.51,32.03,174.53,176.0,105.77,330.97,213.84,171.55,133.99,22.1,14.18,1417.1
PRECTOTCORR_SUM,1989,8.33,12.64,68.21,59.8,175.79,82.01,239.23,143.76,108.6,107.0,36.2,24.93,1066.5
PRECTOTCORR_SUM,1990,9.31,42.28,57.97,76.02,162.01,98.04,188.31,223.22,117.48,79.97,37.01,17.11,1108.73
PRECTOTCORR_SUM,1991,26.28,8.67,17.54,101.02,260.44,146.67,170.01,158.3,98.75,134.87,8.9,2.27,1133.72
PRECTOTCORR_SUM,1992,1.16,8.38,13.23,54.03,116.27,239.22,108.47,185.54,147.68,184.27,18.07,16.58,1092.9
PRECTOTCORR_SUM,1993,13.02,7.53,19.02,27.6,208.11,146.99,189.27,136.01,45.94,44.19,64.72,4.45,906.85
PRECTOTCORR_SUM,1994,1.93,27.07,8.7,42.4,149.6,249.91,237.71,221.9,87.72,49.45,19.78,1.41,1097.58
PRECTOTCORR_SUM,1995,0.59,34.04,11.45,28.24,95.07,164.4,215.52,173.91,127.84,90.47,50.93,18.24,1010.7
PRECTOTCORR_SUM,1996,17.05,14.28,99.66,113.37,204.52,195.9,119.7,186.46,179.57,64.66,45.32,2.73,1243.22
PRECTOTCORR_SUM,1997,1.31,3.24,33.09,158.13,119.93,84.22,192.66,145.6,17.37,124.56,44.45,24.82,949.38
PRECTOTCORR_SUM,1998,17.17,14.92,8.56,23.12,137.31,140.42,260.19,44.4,61.26,140.21,28.96,0.94,877.46
PRECTOTCORR_SUM,1999,4.12,3.67,4.73,42.57,81.55,113.92,258.27,138.94,32.05,62.43,13.3,12.14,767.69
PRECTOTCORR_SUM,2000,1.5,0.31,1.52,7.6,94.21,40.89,79.28,125.0,98.53,80.09,25.19,15.4,569.52
PRECTOTCORR_SUM,2001,0.5,10.49,14.58,31.32,56.64,140.64,119.73,154.87,96.08,152.73,103.64,27.08,908.3
PRECTOTCORR_SUM,2002,10.57,4.88,49.82,25.15,35.35,75.4,54.1,200.69,51.28,114.85,38.42,15.85,676.36
PRECTOTCORR_SUM,2003,20.98,1.2,21.46,39.4,79.05,99.78,50.15,114.94,28.77,42.47,42.41,39.86,580.47
PRECTOTCORR_SUM,2004,2.91,2.51,7.55,56.58,77.51,48.31,58.11,154.34,99.51,27.22,46.79,5.5,586.84
PRECTOTCORR_SUM,2005,2.46,3.08,2.08,7.87,177.09,74.79,137.26,101.74,97.23,56.17,57.1,0.29,717.16
PRECTOTCORR_SUM,2006,1.12,16.72,40.49,46.74,80.8,33.03,93.17,118.45,130.58,48.61,51.08,12.98,673.77
PRECTOTCORR_SUM,2007,4.4,4.23,8.55,17.6,217.1,122.22,132.06,139.62,159.18,80.84,19.75,44.11,949.66
PRECTOTCORR_SUM,2008,6.61,2.16,22.89,37.02,77.16,81.16,111.79,85.26,182.09,119.83,23.42,0.25,749.64
PRECTOTCORR_SUM,2009,18.11,8.2,13.37,75.55,48.19,65.55,103.41,99.72,121.89,56.24,39.95,12.0,662.18
PRECTOTCORR_SUM,2010,6.87,28.08,21.47,36.89,176.7,109.04,110.89,108.05,107.16,79.15,35.74,4.76,824.8
PRECTOTCORR_SUM,2011,1.8,0.9,31.48,9.51,119.76,102.95,63.59,214.38,115.26,111.52,63.24,12.27,846.66
PRECTOTCORR_SUM,2012,0.0,0.14,2.88,64.95,125.48,69.89,188.41,193.91,241.02,131.57,57.11,44.62,1119.98
PRECTOTCORR_SUM,2013,7.57,1.78,25.51,63.51,158.76,134.95,145.51,179.55,171.27,127.89,38.27,4.77,1059.34
PRECTOTCORR_SUM,2014,1.56,2.23,27.17,47.0,191.53,174.86,167.94,228.02,198.95,215.62,16.75,31.24,1302.87
PRECTOTCORR_SUM,2015,0.0,6.04,33.76,34.79,163.43,181.76,154.06,107.78,70.92,134.58,141.27,34.38,1062.77
PRECTOTCORR_SUM,2016,0.35,0.07,21.13,150.31,226.23,147.98,139.84,122.79,162.53,113.84,16.62,1.27,1102.96
PRECTOTCORR_SUM,2017,10.07,12.66,32.79,82.94,160.38,142.38,181.96,151.58,116.53,125.0,97.22,2.04,1115.55
PRECTOTCORR_SUM,2018,0.0,71.18,62.48,134.14,168.65,75.51,68.57,78.92,104.23,182.4,32.42,28.61,1007.11
PRECTOTCORR_SUM,2019,0.24,5.64,15.53,63.9,72.73,319.57,170.19,143.21,141.57,175.84,31.95,47.94,1188.31
PRECTOTCORR_SUM,2020,3.66,4.72,88.91,133.54,204.24,109.29,221.2,172.87,241.51,127.55,74.13,211.12,1592.74
PRECTOTCORR_SUM,2021,82.55,0.62,9.72,32.71,208.7,91.85,148.57,80.43,181.32,182.92,102.93,54.51,1176.83
PRECTOTCORR_SUM,2022,5.68,3.47,42.37,44.91,100.06,67.79,206.1,157.18,163.99,95.06,22.39,43.32,952.32
PRECTOTCORR_SUM,2023,5.72,1.59,37.67,41.22,81.77,253.32,141.48,73.49,127.35,171.46,151.77,2.47,1089.31
