# Area: Suriname
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.92   Longitude -56.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,242.78,101.44,42.67,194.42,302.04,264.8,173.96,149.42,62.14,45.74,45.93,116.28,1741.62
PRECTOTCORR_SUM,1982,130.9,144.03,261.89,283.27,307.11,173.6,121.9,80.32,60.7,13.71,44.54,112.51,1734.48
PRECTOTCORR_SUM,1983,66.68,68.68,220.74,364.79,242.24,178.53,115.74,90.14,46.16,17.08,37.36,182.79,1630.93
PRECTOTCORR_SUM,1984,229.02,152.5,122.54,144.73,446.99,438.99,281.64,187.39,181.55,166.51,169.27,237.79,2758.92
PRECTOTCORR_SUM,1985,128.34,84.51,140.75,106.47,473.95,428.45,374.58,188.99,109.74,50.14,85.32,121.33,2292.57
PRECTOTCORR_SUM,1986,220.77,254.19,113.33,99.66,260.98,513.74,246.44,70.27,41.22,76.74,117.81,114.56,2129.71
PRECTOTCORR_SUM,1987,108.93,131.22,61.93,278.66,253.6,292.24,251.99,91.18,87.71,95.46,73.33,133.14,1859.39
PRECTOTCORR_SUM,1988,217.26,84.72,59.51,95.34,297.2,348.49,397.41,195.36,119.2,51.91,146.24,191.26,2203.9
PRECTOTCORR_SUM,1989,315.78,210.04,316.97,173.4,280.32,252.88,250.51,173.18,65.05,102.84,205.28,196.28,2542.53
PRECTOTCORR_SUM,1990,298.61,121.71,267.36,374.3,381.32,314.69,195.28,190.11,49.16,64.83,157.11,162.49,2576.97
PRECTOTCORR_SUM,1991,137.07,92.74,144.97,233.89,295.96,333.28,243.7,223.07,118.05,54.35,60.36,80.26,2017.7
PRECTOTCORR_SUM,1992,86.02,221.5,214.1,237.55,158.06,162.97,147.06,76.54,17.57,13.66,133.33,103.63,1571.99
PRECTOTCORR_SUM,1993,147.54,95.26,232.3,231.29,306.36,293.3,129.5,108.46,46.48,64.69,135.36,137.48,1928.02
PRECTOTCORR_SUM,1994,104.51,123.72,173.58,242.76,329.83,282.96,271.96,155.5,90.29,107.7,107.09,81.8,2071.7
PRECTOTCORR_SUM,1995,87.61,56.25,150.75,118.77,401.06,379.75,170.17,148.13,52.18,44.88,106.49,71.09,1787.13
PRECTOTCORR_SUM,1996,254.62,194.71,199.84,73.57,429.75,398.23,323.44,99.29,66.08,9.71,104.63,68.7,2222.57
PRECTOTCORR_SUM,1997,158.47,245.23,84.23,164.67,323.78,173.86,140.33,88.5,34.16,41.06,40.95,100.12,1595.36
PRECTOTCORR_SUM,1998,220.71,110.62,74.97,259.02,328.43,141.8,116.06,106.62,65.15,95.07,75.45,183.73,1777.63
PRECTOTCORR_SUM,1999,141.4,113.42,166.7,212.21,257.36,297.94,200.95,227.48,138.8,107.46,28.08,117.76,2009.56
PRECTOTCORR_SUM,2000,214.77,144.21,170.49,361.92,487.6,212.04,273.84,69.14,111.18,32.08,49.12,97.51,2223.9
PRECTOTCORR_SUM,2001,155.02,104.67,134.02,138.39,344.99,311.49,161.14,89.56,78.74,67.89,36.73,91.32,1713.96
PRECTOTCORR_SUM,2002,116.18,121.51,245.74,346.11,264.76,243.44,153.23,137.26,40.83,31.76,74.93,117.55,1893.3
PRECTOTCORR_SUM,2003,57.42,104.43,68.05,305.62,401.97,259.6,205.52,135.71,53.29,35.0,79.62,66.18,1772.41
PRECTOTCORR_SUM,2004,82.73,139.53,189.74,310.51,323.17,218.32,191.46,141.78,65.03,36.32,28.23,111.0,1837.82
PRECTOTCORR_SUM,2005,263.48,198.96,239.04,357.6,319.4,207.93,334.36,75.08,49.02,42.25,62.33,193.49,2342.94
PRECTOTCORR_SUM,2006,204.78,77.5,110.04,148.15,176.81,201.95,121.32,114.58,43.07,29.04,61.44,98.42,1387.1
PRECTOTCORR_SUM,2007,121.62,42.17,146.04,141.05,341.59,261.81,213.03,172.65,60.0,137.29,90.07,267.83,1995.15
PRECTOTCORR_SUM,2008,158.12,291.06,132.18,215.91,350.76,290.74,217.02,117.23,93.1,60.89,23.77,211.27,2162.05
PRECTOTCORR_SUM,2009,216.34,199.3,204.14,140.72,90.92,212.22,159.08,57.26,30.33,65.28,42.74,155.92,1574.25
PRECTOTCORR_SUM,2010,123.77,89.03,141.49,279.33,415.21,250.24,256.29,199.13,83.38,89.78,92.46,117.28,2137.39
PRECTOTCORR_SUM,2011,142.03,218.39,343.79,118.62,449.13,290.11,175.58,103.53,71.52,156.21,91.9,125.17,2285.98
PRECTOTCORR_SUM,2012,184.41,232.61,118.2,297.45,302.15,150.74,187.72,162.37,15.41,20.75,101.95,84.64,1858.4
PRECTOTCORR_SUM,2013,119.09,258.77,158.21,267.33,429.46,221.36,192.47,199.43,77.41,137.57,127.6,256.98,2445.68
PRECTOTCORR_SUM,2014,155.56,142.22,98.8,123.52,209.71,244.37,283.14,188.23,28.46,26.7,148.8,170.71,1820.22
PRECTOTCORR_SUM,2015,273.25,136.6,172.17,193.63,321.87,290.61,241.72,160.78,58.6,22.04,76.56,173.95,2121.78
PRECTOTCORR_SUM,2016,28.02,188.93,96.55,306.35,312.81,279.12,178.96,153.86,98.27,48.08,72.64,221.51,1985.1
PRECTOTCORR_SUM,2017,213.54,150.96,243.22,164.94,348.99,278.68,223.07,87.9,97.89,86.65,84.27,236.16,2216.27
PRECTOTCORR_SUM,2018,95.33,104.36,79.45,314.59,304.72,295.33,261.36,90.01,92.3,28.06,100.05,143.31,1908.87
PRECTOTCORR_SUM,2019,130.21,61.23,21.74,145.11,295.5,301.68,185.39,172.68,40.47,44.19,88.2,156.96,1643.36
PRECTOTCORR_SUM,2020,68.2,42.02,53.84,79.28,92.43,263.79,276.25,156.96,68.6,71.61,136.92,248.02,1557.92
PRECTOTCORR_SUM,2021,234.37,86.31,194.44,331.6,385.99,250.01,348.07,225.73,79.64,91.56,201.33,190.15,2619.2
PRECTOTCORR_SUM,2022,113.63,142.5,227.66,305.92,344.02,367.13,361.98,151.52,45.09,67.14,179.4,204.84,2510.83
PRECTOTCORR_SUM,2023,204.93,179.36,94.37,228.03,319.04,200.48,189.4,98.65,14.48,40.68,69.13,122.44,1760.99
