# Area: Switzerland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  46.82   Longitude 8.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 938.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,164.19,40.2,126.28,38.18,154.92,85.23,197.5,73.33,180.9,193.57,74.01,224.21,1552.52
PRECTOTCORR_SUM,1982,160.18,24.63,92.25,39.09,65.08,126.05,134.24,151.3,82.85,115.12,65.98,113.8,1170.57
PRECTOTCORR_SUM,1983,112.22,72.36,63.84,104.69,215.02,95.75,44.62,127.08,112.89,53.62,113.05,70.91,1186.05
PRECTOTCORR_SUM,1984,121.6,110.97,41.76,56.83,131.74,89.78,83.88,123.8,222.77,65.78,65.46,60.03,1174.4
PRECTOTCORR_SUM,1985,88.81,73.54,59.36,117.42,182.23,144.75,87.67,140.29,48.37,14.05,99.76,45.39,1101.64
PRECTOTCORR_SUM,1986,181.55,43.11,78.23,186.43,161.25,125.08,108.72,149.84,40.57,82.46,48.22,116.88,1322.34
PRECTOTCORR_SUM,1987,76.01,75.36,80.72,90.48,156.75,210.25,192.73,112.33,115.26,73.61,89.06,52.88,1325.44
PRECTOTCORR_SUM,1988,81.24,93.46,230.02,65.52,109.13,123.84,131.5,130.74,75.89,132.82,55.55,142.64,1372.35
PRECTOTCORR_SUM,1989,12.69,64.64,70.77,160.48,54.66,69.2,146.08,116.38,69.07,83.16,39.37,56.86,943.36
PRECTOTCORR_SUM,1990,24.91,188.19,66.77,82.65,106.83,177.63,101.77,70.58,90.94,120.95,140.78,71.72,1243.72
PRECTOTCORR_SUM,1991,61.78,35.01,73.73,75.55,123.14,165.88,98.22,22.02,110.83,67.16,86.83,146.23,1066.38
PRECTOTCORR_SUM,1992,20.19,93.28,114.78,98.64,44.72,131.79,129.93,105.04,98.68,143.93,181.1,90.43,1252.51
PRECTOTCORR_SUM,1993,47.18,37.03,41.66,98.73,95.91,149.68,205.95,104.73,129.12,126.56,44.36,137.67,1218.58
PRECTOTCORR_SUM,1994,133.6,40.75,66.59,112.29,203.31,107.01,87.38,137.76,178.05,77.44,52.85,122.15,1319.18
PRECTOTCORR_SUM,1995,196.84,123.57,130.33,103.71,183.91,152.49,102.31,181.48,138.87,9.99,84.12,114.62,1522.24
PRECTOTCORR_SUM,1996,17.97,62.92,45.59,53.57,175.39,97.79,144.58,156.62,69.06,129.41,168.45,56.2,1177.55
PRECTOTCORR_SUM,1997,22.98,84.23,52.45,96.62,70.01,166.67,193.27,98.15,51.73,71.28,42.8,146.48,1096.67
PRECTOTCORR_SUM,1998,84.33,28.74,74.04,112.84,54.36,144.05,98.89,92.71,177.07,139.71,116.4,50.5,1173.64
PRECTOTCORR_SUM,1999,103.21,239.23,81.48,151.24,215.52,186.58,100.31,148.69,114.3,67.88,116.74,174.26,1699.44
PRECTOTCORR_SUM,2000,63.99,112.21,98.89,78.06,104.59,94.69,184.13,130.55,103.53,103.18,116.18,47.18,1237.18
PRECTOTCORR_SUM,2001,103.94,78.73,229.13,189.75,78.66,230.47,141.03,130.0,158.32,73.75,102.49,67.45,1583.72
PRECTOTCORR_SUM,2002,26.45,130.89,96.07,73.37,197.88,127.91,170.29,173.41,166.93,115.45,252.25,101.54,1632.44
PRECTOTCORR_SUM,2003,104.28,51.96,44.37,79.07,110.02,93.41,109.86,82.5,64.95,162.69,80.16,61.56,1044.83
PRECTOTCORR_SUM,2004,187.39,52.32,79.01,94.36,136.86,154.76,136.14,159.67,70.54,110.52,42.85,76.5,1300.92
PRECTOTCORR_SUM,2005,95.74,87.23,52.16,102.81,144.09,90.26,135.52,255.3,73.26,71.72,38.73,93.52,1240.34
PRECTOTCORR_SUM,2006,45.55,65.08,176.53,164.43,175.07,81.47,89.85,225.42,134.24,71.54,57.68,74.84,1361.7
PRECTOTCORR_SUM,2007,87.19,89.06,133.86,25.24,224.74,186.91,222.38,239.37,88.26,34.45,94.24,123.53,1549.23
PRECTOTCORR_SUM,2008,79.45,38.99,126.06,182.18,69.26,117.49,175.7,162.42,141.82,119.75,78.78,89.86,1381.76
PRECTOTCORR_SUM,2009,44.69,87.85,135.86,56.38,107.08,149.87,171.7,104.16,44.7,77.47,126.54,124.76,1231.06
PRECTOTCORR_SUM,2010,50.13,55.21,62.57,42.89,207.83,135.88,169.22,200.55,98.6,76.32,98.93,107.25,1305.38
PRECTOTCORR_SUM,2011,47.35,40.36,40.64,34.74,106.99,159.34,192.91,96.12,98.65,93.49,9.44,220.6,1140.63
PRECTOTCORR_SUM,2012,151.25,30.58,44.87,119.13,120.86,169.71,147.54,152.98,133.67,130.86,122.96,173.2,1497.61
PRECTOTCORR_SUM,2013,64.72,101.63,65.72,114.31,199.53,130.28,114.34,82.79,107.19,104.78,124.6,57.28,1267.17
PRECTOTCORR_SUM,2014,63.1,79.46,45.03,110.81,126.86,107.07,289.48,171.15,75.16,109.54,130.39,78.38,1386.43
PRECTOTCORR_SUM,2015,124.62,53.1,102.61,109.89,208.6,140.33,83.55,134.46,102.51,80.06,87.26,18.5,1245.49
PRECTOTCORR_SUM,2016,148.81,129.68,65.17,142.67,224.08,232.04,182.13,117.42,82.91,71.67,100.44,3.35,1500.37
PRECTOTCORR_SUM,2017,88.18,78.6,115.79,128.28,138.83,179.63,165.14,160.31,120.94,73.41,127.75,140.23,1517.09
PRECTOTCORR_SUM,2018,197.01,64.86,111.14,45.01,133.26,118.23,85.59,132.98,85.62,89.21,36.09,177.47,1276.47
PRECTOTCORR_SUM,2019,115.24,52.67,99.07,102.02,179.23,119.21,144.58,151.33,94.63,161.74,116.18,116.97,1452.87
PRECTOTCORR_SUM,2020,46.68,127.94,80.97,52.45,118.61,193.9,107.51,224.95,85.09,164.8,25.93,96.67,1325.5
PRECTOTCORR_SUM,2021,163.78,48.02,66.21,50.0,164.74,205.36,287.42,114.24,80.68,52.06,71.92,129.88,1434.31
PRECTOTCORR_SUM,2022,51.93,104.61,19.84,99.01,98.38,141.38,81.22,123.28,167.44,85.33,88.94,102.15,1163.51
PRECTOTCORR_SUM,2023,54.54,30.65,129.92,132.12,165.26,61.06,158.11,173.0,70.07,121.12,221.62,180.53,1498.0
