# Area: Uzbekistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.38   Longitude 64.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 381.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,12.82,17.57,60.61,41.84,38.01,14.92,20.27,5.34,12.42,7.0,27.18,17.16,275.14
PRECTOTCORR_SUM,1982,81.0,25.38,13.2,3.6,7.07,1.95,9.0,0.0,1.09,6.65,6.35,1.41,156.7
PRECTOTCORR_SUM,1983,6.33,1.9,10.59,9.34,0.55,0.85,0.02,0.0,0.11,0.0,10.82,2.23,42.74
PRECTOTCORR_SUM,1984,1.95,1.38,22.63,10.57,4.4,0.0,0.0,0.0,0.0,7.95,7.76,2.77,59.41
PRECTOTCORR_SUM,1985,19.01,24.24,2.37,0.24,0.47,8.54,0.0,0.27,0.0,0.05,1.06,4.15,60.4
PRECTOTCORR_SUM,1986,3.72,0.66,3.31,1.62,7.41,0.0,1.05,0.08,0.0,2.1,5.28,19.45,44.68
PRECTOTCORR_SUM,1987,0.36,5.31,22.95,10.39,0.65,1.34,2.03,0.0,0.3,0.58,2.16,9.24,55.31
PRECTOTCORR_SUM,1988,4.66,10.55,17.5,4.6,5.47,3.22,0.0,0.17,0.34,0.39,1.77,15.68,64.35
PRECTOTCORR_SUM,1989,5.83,7.44,12.74,2.36,2.64,0.04,0.06,0.73,1.03,0.42,3.54,17.99,54.82
PRECTOTCORR_SUM,1990,5.57,7.4,1.82,31.89,6.35,0.0,3.21,0.0,0.2,9.29,7.78,9.93,83.44
PRECTOTCORR_SUM,1991,6.87,8.44,7.8,17.71,63.0,5.22,0.68,0.75,0.52,0.22,15.6,27.9,154.71
PRECTOTCORR_SUM,1992,16.01,19.36,17.39,18.57,12.82,2.29,0.0,0.29,1.15,1.57,1.68,10.99,102.12
PRECTOTCORR_SUM,1993,5.28,18.08,32.96,7.89,6.08,25.85,0.01,14.5,0.2,0.27,26.8,3.81,141.73
PRECTOTCORR_SUM,1994,15.56,15.23,21.36,2.23,3.19,0.99,0.0,0.0,0.01,0.37,25.69,13.4,98.03
PRECTOTCORR_SUM,1995,25.03,17.33,18.63,2.42,3.22,9.44,0.2,0.01,6.77,4.64,0.49,0.6,88.78
PRECTOTCORR_SUM,1996,5.94,6.67,14.11,14.36,2.23,0.01,2.72,0.07,0.26,11.53,2.59,0.19,60.68
PRECTOTCORR_SUM,1997,10.68,14.46,19.51,49.36,30.21,16.3,0.46,0.0,0.0,0.06,5.17,13.23,159.44
PRECTOTCORR_SUM,1998,24.14,13.03,11.56,5.25,35.79,43.19,7.24,14.07,0.06,5.78,4.16,2.95,167.22
PRECTOTCORR_SUM,1999,13.07,9.14,6.85,3.74,1.73,0.09,15.43,0.28,1.07,1.61,23.46,0.31,76.78
PRECTOTCORR_SUM,2000,15.53,7.16,5.59,7.17,0.05,0.27,0.53,0.0,1.08,3.62,2.8,11.2,55.0
