# Area: Afghanistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  34.53   Longitude 69.17 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2088.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,10.86,12.61,17.09,22.65,25.13,27.44,26.94,26.19,21.42,17.65,12.48,10.13,19.23
ALLSKY_SFC_SW_DWN,1985,10.52,14.42,17.81,19.89,23.11,27.22,27.1,23.94,21.47,17.26,13.0,9.16,18.76
ALLSKY_SFC_SW_DWN,1986,10.95,11.9,15.52,21.39,24.7,25.76,25.27,22.91,22.43,17.81,11.94,9.03,18.33
ALLSKY_SFC_SW_DWN,1987,12.18,12.87,14.95,22.75,23.14,27.07,28.06,26.31,21.99,16.77,14.09,10.81,19.28
ALLSKY_SFC_SW_DWN,1988,9.76,13.52,15.79,21.87,26.13,27.05,26.67,25.62,22.53,18.28,14.0,9.1,19.2
ALLSKY_SFC_SW_DWN,1989,10.82,11.78,14.56,23.37,24.8,27.96,26.77,25.44,21.83,17.64,12.79,8.68,18.9
ALLSKY_SFC_SW_DWN,1990,9.03,10.6,17.31,20.64,25.22,27.59,27.43,24.83,22.12,17.36,13.81,8.23,18.72
ALLSKY_SFC_SW_DWN,1991,8.8,12.17,14.56,20.74,22.44,26.82,27.05,27.68,21.51,18.17,13.19,8.8,18.53
ALLSKY_SFC_SW_DWN,1992,8.29,12.77,17.16,20.89,23.44,27.68,28.13,24.98,21.7,17.39,13.32,9.01,18.74
ALLSKY_SFC_SW_DWN,1993,10.67,12.9,15.96,22.84,24.95,27.83,27.9,26.78,22.77,18.4,12.32,10.11,19.48
ALLSKY_SFC_SW_DWN,1994,9.85,11.87,17.39,22.42,24.55,27.81,27.6,26.87,22.76,17.29,13.65,10.33,19.4
ALLSKY_SFC_SW_DWN,1995,10.88,13.11,15.79,19.8,25.66,27.23,28.26,27.55,21.99,17.29,13.79,9.68,19.29
ALLSKY_SFC_SW_DWN,1996,10.53,12.18,14.97,21.69,24.3,26.83,27.57,25.92,23.3,17.18,13.67,11.23,19.13
ALLSKY_SFC_SW_DWN,1997,10.93,14.65,14.71,20.53,23.9,27.45,27.97,26.19,22.56,15.07,12.57,9.1,18.82
ALLSKY_SFC_SW_DWN,1998,9.57,11.28,16.72,20.89,24.33,26.66,29.12,27.94,23.02,18.35,13.94,11.83,19.52
ALLSKY_SFC_SW_DWN,1999,9.96,11.73,17.77,22.75,27.96,30.91,28.6,27.11,22.45,18.92,11.5,12.15,20.2
ALLSKY_SFC_SW_DWN,2000,9.69,14.88,19.89,25.61,28.67,29.09,29.28,27.21,22.68,18.42,12.12,9.64,20.61
ALLSKY_SFC_SW_DWN,2001,11.56,15.05,18.48,23.53,28.84,30.39,28.79,26.07,22.4,18.36,13.76,10.7,20.69
ALLSKY_SFC_SW_DWN,2002,12.0,11.65,20.38,22.8,26.91,29.16,29.04,26.08,23.58,18.52,12.56,9.64,20.24
ALLSKY_SFC_SW_DWN,2003,10.68,11.47,18.18,23.21,26.47,30.45,28.63,25.98,22.39,18.91,12.65,10.13,19.97
ALLSKY_SFC_SW_DWN,2004,9.64,13.92,20.71,21.32,27.76,29.82,28.75,27.83,22.78,17.22,13.13,8.51,20.13
ALLSKY_SFC_SW_DWN,2005,9.4,11.26,15.19,22.05,23.35,28.68,29.85,27.39,23.13,19.0,12.85,11.7,19.53
ALLSKY_SFC_SW_DWN,2006,9.25,12.91,17.1,24.19,28.13,30.03,29.44,25.3,22.86,18.24,11.43,8.23,19.79
ALLSKY_SFC_SW_DWN,2007,10.26,10.13,16.14,23.96,26.09,27.66,29.4,26.13,23.62,19.4,14.03,9.06,19.71
ALLSKY_SFC_SW_DWN,2008,10.28,14.24,19.35,19.71,26.46,30.58,29.19,25.59,22.79,18.13,12.93,10.0,19.95
ALLSKY_SFC_SW_DWN,2009,8.16,12.55,17.89,19.92,26.81,26.71,28.78,27.63,22.92,17.85,12.4,9.4,19.29
ALLSKY_SFC_SW_DWN,2010,11.1,12.0,19.16,21.33,25.5,28.08,27.08,22.02,21.73,18.76,14.26,11.68,19.43
ALLSKY_SFC_SW_DWN,2011,11.74,10.62,18.89,22.75,28.53,29.78,28.27,25.1,21.48,16.57,11.68,12.03,19.85
ALLSKY_SFC_SW_DWN,2012,10.18,12.69,18.27,20.8,26.61,28.51,29.08,25.8,20.39,18.09,12.82,9.9,19.45
ALLSKY_SFC_SW_DWN,2013,11.81,12.1,16.15,20.06,27.31,28.89,28.97,25.06,23.01,17.74,12.33,10.31,19.52
ALLSKY_SFC_SW_DWN,2014,10.62,13.49,14.42,21.7,23.35,30.11,28.72,26.61,23.55,16.98,12.72,11.49,19.5
ALLSKY_SFC_SW_DWN,2015,10.2,11.85,14.99,23.26,26.49,29.58,26.72,25.7,22.23,17.43,10.86,10.33,19.17
ALLSKY_SFC_SW_DWN,2016,10.67,17.12,14.56,21.12,26.74,28.56,28.87,25.21,23.37,18.58,13.29,11.5,19.96
ALLSKY_SFC_SW_DWN,2017,8.78,12.44,16.83,24.58,26.86,30.61,28.51,26.42,23.67,19.01,12.49,10.58,20.1
ALLSKY_SFC_SW_DWN,2018,11.93,12.91,18.23,22.04,24.72,29.86,29.28,27.56,22.94,17.75,12.74,11.69,20.18
ALLSKY_SFC_SW_DWN,2019,10.03,13.23,16.1,19.89,26.29,29.55,29.6,26.61,23.64,16.31,11.0,11.4,19.5
ALLSKY_SFC_SW_DWN,2020,10.05,13.18,14.27,20.04,25.86,29.6,27.9,24.86,23.27,19.62,11.51,9.8,19.17
ALLSKY_SFC_SW_DWN,2021,12.69,15.72,17.03,23.28,26.22,31.58,27.52,26.47,23.34,18.79,14.41,11.1,20.69
ALLSKY_SFC_SW_DWN,2022,9.23,14.51,19.14,23.66,26.45,28.83,25.59,20.62,23.1,18.99,12.67,10.55,19.46
ALLSKY_SFC_SW_DWN,2023,9.72,14.92,16.72,22.49,25.28,28.68,27.4,27.5,23.25,17.57,13.11,11.31,19.85
