# Area: Algeria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  28.03   Longitude 1.66 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 549.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,14.41,17.97,20.76,23.98,24.08,25.14,25.99,24.33,21.06,18.27,16.0,14.63,20.56
ALLSKY_SFC_SW_DWN,1985,14.99,16.86,20.25,23.46,25.94,26.45,26.69,26.26,22.88,17.29,15.44,12.77,20.79
ALLSKY_SFC_SW_DWN,1986,15.96,17.67,20.56,22.8,25.36,26.02,25.96,25.81,22.31,15.65,15.6,13.65,20.63
ALLSKY_SFC_SW_DWN,1987,14.67,17.34,19.94,24.13,23.36,23.0,24.79,24.38,21.64,17.42,14.38,12.55,19.81
ALLSKY_SFC_SW_DWN,1988,14.01,16.21,19.81,23.68,25.11,24.85,25.56,24.54,20.64,17.89,14.22,14.42,20.09
ALLSKY_SFC_SW_DWN,1989,16.32,18.12,22.23,25.21,24.6,22.8,26.98,24.2,22.78,17.98,16.45,13.71,20.96
ALLSKY_SFC_SW_DWN,1990,13.51,18.85,21.61,22.32,25.96,25.55,26.04,24.86,22.16,18.78,15.27,14.56,20.8
ALLSKY_SFC_SW_DWN,1991,14.79,19.63,21.58,25.38,24.85,24.88,25.86,26.57,23.1,17.97,16.69,14.7,21.34
ALLSKY_SFC_SW_DWN,1992,16.14,16.7,21.56,25.5,26.09,25.95,27.68,26.26,22.51,18.16,16.97,14.54,21.52
ALLSKY_SFC_SW_DWN,1993,15.68,17.93,22.46,25.37,24.73,26.63,27.61,25.24,22.42,19.31,14.4,14.19,21.35
ALLSKY_SFC_SW_DWN,1994,15.69,19.48,21.73,25.51,26.89,28.25,28.38,25.7,21.17,18.65,16.05,15.0,21.89
ALLSKY_SFC_SW_DWN,1995,16.65,19.57,21.71,24.04,24.47,25.57,26.3,24.49,20.88,19.67,16.18,13.83,21.12
ALLSKY_SFC_SW_DWN,1996,14.97,18.0,21.11,26.55,24.55,27.35,24.99,24.15,21.91,19.84,15.72,14.54,21.14
ALLSKY_SFC_SW_DWN,1997,15.66,19.16,23.4,25.95,26.42,26.42,28.12,24.46,21.92,18.45,16.92,14.66,21.81
ALLSKY_SFC_SW_DWN,1998,14.98,18.48,21.69,24.43,25.33,28.39,29.27,27.12,21.98,20.09,16.92,13.72,21.88
ALLSKY_SFC_SW_DWN,1999,14.57,20.13,23.02,23.79,28.36,27.84,27.2,25.36,21.78,19.98,14.04,14.51,21.73
ALLSKY_SFC_SW_DWN,2000,15.65,20.59,22.16,25.46,24.15,28.38,26.78,26.19,22.43,18.37,16.08,15.36,21.79
ALLSKY_SFC_SW_DWN,2001,16.68,19.73,23.71,25.1,27.91,25.9,27.69,25.75,22.5,19.05,15.71,14.06,22.0
ALLSKY_SFC_SW_DWN,2002,15.54,19.83,22.96,24.88,25.65,27.95,25.93,24.3,22.04,19.78,16.7,15.05,21.72
ALLSKY_SFC_SW_DWN,2003,16.1,18.76,22.03,26.52,27.66,29.23,27.33,25.75,23.12,19.04,16.38,14.98,22.25
ALLSKY_SFC_SW_DWN,2004,15.63,17.67,21.71,24.37,27.35,28.31,27.83,25.7,23.77,18.97,15.53,13.64,21.72
ALLSKY_SFC_SW_DWN,2005,15.56,17.94,21.76,25.62,26.3,28.19,27.68,26.66,21.86,18.93,14.78,14.05,21.63
ALLSKY_SFC_SW_DWN,2006,15.53,18.04,24.21,24.55,25.75,26.23,27.15,24.62,22.24,19.19,15.64,13.61,21.42
ALLSKY_SFC_SW_DWN,2007,15.32,18.67,22.37,25.44,26.52,29.77,27.61,25.61,22.56,19.63,16.96,14.24,22.07
ALLSKY_SFC_SW_DWN,2008,15.48,17.58,22.75,24.63,27.01,28.51,27.29,26.14,21.01,16.07,16.37,13.6,21.38
ALLSKY_SFC_SW_DWN,2009,15.24,17.95,20.89,26.96,26.12,26.39,27.23,26.49,20.27,19.94,15.97,14.1,21.48
ALLSKY_SFC_SW_DWN,2010,16.05,17.14,20.46,23.5,24.45,26.63,27.45,24.98,22.42,18.08,16.42,13.98,20.98
ALLSKY_SFC_SW_DWN,2011,14.56,19.35,21.25,24.4,25.79,28.3,28.19,26.11,22.1,18.9,16.53,13.83,21.61
ALLSKY_SFC_SW_DWN,2012,14.43,19.04,20.33,24.43,27.6,28.57,27.34,26.43,22.6,18.88,15.97,14.73,21.7
ALLSKY_SFC_SW_DWN,2013,16.39,20.57,22.77,23.61,26.88,27.71,27.2,26.6,22.9,19.78,16.85,12.89,22.02
ALLSKY_SFC_SW_DWN,2014,14.81,19.26,23.52,26.19,26.28,28.09,26.53,25.15,22.3,19.38,15.0,14.76,21.78
ALLSKY_SFC_SW_DWN,2015,15.3,18.91,23.27,24.86,27.41,27.85,28.36,24.71,20.44,18.4,16.18,13.74,21.63
ALLSKY_SFC_SW_DWN,2016,15.51,18.72,23.77,25.56,23.59,27.61,28.09,26.4,21.41,19.11,15.5,13.3,21.55
ALLSKY_SFC_SW_DWN,2017,16.25,18.18,22.24,24.92,24.98,26.65,27.04,26.65,22.54,19.8,16.6,13.9,21.66
ALLSKY_SFC_SW_DWN,2018,15.39,17.75,22.95,24.18,26.53,27.43,26.52,24.88,21.0,19.17,16.28,14.78,21.43
ALLSKY_SFC_SW_DWN,2019,16.82,18.73,22.13,26.06,26.45,28.7,28.32,25.69,22.31,19.55,17.11,14.16,22.18
ALLSKY_SFC_SW_DWN,2020,14.74,17.99,22.69,23.93,25.07,26.57,28.28,25.85,22.81,19.84,15.84,14.58,21.53
ALLSKY_SFC_SW_DWN,2021,15.8,16.79,21.68,25.33,25.3,26.23,28.43,26.47,22.82,19.48,16.08,14.07,21.57
ALLSKY_SFC_SW_DWN,2022,15.0,16.86,21.24,25.59,27.98,28.42,28.7,25.51,22.38,18.61,16.4,14.09,21.76
ALLSKY_SFC_SW_DWN,2023,15.69,16.82,22.3,26.38,26.82,28.22,27.45,25.24,22.26,19.4,16.86,14.33,21.84
