# Area: Ethiopia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.15   Longitude 40.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1540.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.9,23.74,26.35,22.56,22.82,23.71,23.14,21.87,21.64,22.58,22.13,20.03,22.62
ALLSKY_SFC_SW_DWN,1985,22.33,23.44,25.14,22.18,23.7,24.56,23.55,21.39,21.59,22.33,23.26,21.65,22.92
ALLSKY_SFC_SW_DWN,1986,22.75,21.82,24.29,21.94,23.4,21.52,22.65,19.64,21.25,21.81,23.1,20.32,22.04
ALLSKY_SFC_SW_DWN,1987,22.1,22.51,22.94,22.07,21.95,23.64,24.14,20.0,22.75,21.49,22.77,21.92,22.35
ALLSKY_SFC_SW_DWN,1988,19.95,21.58,26.24,20.59,23.46,24.14,19.1,20.44,21.0,21.83,23.44,20.76,21.87
ALLSKY_SFC_SW_DWN,1989,20.6,21.18,21.63,20.91,23.22,22.37,21.82,23.58,20.45,22.52,23.1,18.42,21.65
ALLSKY_SFC_SW_DWN,1990,20.98,18.16,23.61,22.32,22.92,23.97,23.19,22.89,21.96,23.07,23.02,22.74,22.43
ALLSKY_SFC_SW_DWN,1991,21.01,21.43,23.01,22.84,22.98,23.84,22.55,22.85,22.19,23.34,23.59,20.76,22.54
ALLSKY_SFC_SW_DWN,1992,18.7,18.63,24.86,22.47,22.58,22.4,22.24,19.98,21.09,21.96,21.54,19.31,21.32
ALLSKY_SFC_SW_DWN,1993,18.42,19.44,26.39,21.51,21.92,23.64,22.44,21.35,22.1,21.42,23.19,22.53,22.04
ALLSKY_SFC_SW_DWN,1994,23.51,22.96,25.07,23.48,23.6,23.7,22.27,21.81,21.62,23.3,21.37,21.52,22.85
ALLSKY_SFC_SW_DWN,1995,23.35,22.69,22.17,22.72,23.49,23.42,21.38,21.21,22.64,22.43,23.78,20.87,22.5
ALLSKY_SFC_SW_DWN,1996,20.5,25.19,22.74,21.87,23.64,22.52,21.42,21.98,22.37,23.61,21.62,22.18,22.46
ALLSKY_SFC_SW_DWN,1997,20.04,25.31,24.59,21.98,23.48,22.42,23.59,22.32,21.85,19.55,19.96,21.54,22.2
ALLSKY_SFC_SW_DWN,1998,17.33,20.64,23.89,21.8,24.76,23.8,21.08,20.76,22.09,22.15,23.44,22.68,22.04
ALLSKY_SFC_SW_DWN,1999,22.56,25.93,22.62,25.98,24.43,23.92,21.77,23.53,22.71,21.03,22.72,22.28,23.26
ALLSKY_SFC_SW_DWN,2000,23.47,26.1,26.79,24.68,24.31,24.26,23.02,20.87,22.43,21.83,21.55,21.03,23.35
ALLSKY_SFC_SW_DWN,2001,21.09,24.33,21.39,25.26,24.71,23.72,22.65,19.99,23.42,22.58,23.18,21.82,22.82
ALLSKY_SFC_SW_DWN,2002,19.34,25.1,23.33,24.63,25.08,24.09,23.9,23.03,22.94,23.28,23.21,17.53,22.93
ALLSKY_SFC_SW_DWN,2003,21.4,24.34,24.9,23.58,25.59,23.79,21.59,21.88,22.41,24.38,22.73,21.47,23.16
ALLSKY_SFC_SW_DWN,2004,20.06,23.5,24.35,23.31,25.81,23.66,21.76,23.29,22.74,22.76,22.39,19.98,22.8
ALLSKY_SFC_SW_DWN,2005,20.46,25.26,23.54,23.99,23.07,23.37,20.8,23.1,22.82,23.3,22.85,22.85,22.93
ALLSKY_SFC_SW_DWN,2006,22.11,22.95,23.58,23.11,24.2,23.46,21.88,20.91,22.94,21.34,22.86,19.4,22.38
ALLSKY_SFC_SW_DWN,2007,20.38,23.1,25.05,24.19,24.5,22.45,21.5,21.24,22.08,24.03,22.52,22.62,22.8
ALLSKY_SFC_SW_DWN,2008,22.0,24.75,27.89,23.88,23.75,23.48,21.88,22.59,22.26,22.46,21.79,22.43,23.26
ALLSKY_SFC_SW_DWN,2009,20.81,24.56,25.23,23.91,25.24,24.37,21.39,23.01,22.77,22.08,23.07,18.24,22.87
ALLSKY_SFC_SW_DWN,2010,21.87,19.88,22.26,23.72,23.16,23.32,21.05,21.25,22.43,23.61,22.15,21.37,22.18
ALLSKY_SFC_SW_DWN,2011,22.29,24.49,25.32,25.12,23.53,23.05,20.78,21.03,22.51,24.35,20.16,22.14,22.89
ALLSKY_SFC_SW_DWN,2012,22.31,25.35,26.21,23.42,24.79,22.84,21.32,21.83,23.16,24.13,22.74,21.78,23.32
ALLSKY_SFC_SW_DWN,2013,21.79,24.94,23.87,24.39,23.65,23.01,19.44,21.51,22.76,22.41,21.24,22.47,22.6
ALLSKY_SFC_SW_DWN,2014,22.46,21.94,23.48,23.43,23.63,24.45,22.31,22.3,21.45,22.86,22.17,22.28,22.73
ALLSKY_SFC_SW_DWN,2015,22.35,25.28,25.61,25.91,23.33,22.48,23.84,23.5,22.63,23.33,21.74,20.06,23.32
ALLSKY_SFC_SW_DWN,2016,18.82,24.45,25.53,20.65,24.41,23.4,21.72,23.26,22.78,23.92,21.69,22.24,22.74
ALLSKY_SFC_SW_DWN,2017,24.37,21.93,25.75,25.23,23.07,24.27,21.94,20.88,21.91,22.73,22.81,23.03,23.17
ALLSKY_SFC_SW_DWN,2018,22.55,23.68,23.09,22.59,23.67,22.13,22.07,21.76,24.08,22.64,21.15,21.89,22.6
ALLSKY_SFC_SW_DWN,2019,23.91,24.09,25.63,23.61,24.24,23.22,21.62,21.18,21.71,21.83,20.56,20.55,22.67
ALLSKY_SFC_SW_DWN,2020,19.18,22.92,23.89,22.26,25.01,23.58,20.56,21.88,21.9,24.1,22.48,21.91,22.47
ALLSKY_SFC_SW_DWN,2021,23.42,22.64,26.94,24.16,24.31,24.02,18.18,22.78,22.24,22.56,22.88,22.17,23.02
ALLSKY_SFC_SW_DWN,2022,21.26,24.23,25.5,24.49,25.92,22.97,19.87,21.22,22.4,22.45,22.34,20.86,22.78
ALLSKY_SFC_SW_DWN,2023,22.91,25.23,20.47,23.12,23.72,23.96,23.05,23.67,21.9,22.06,21.24,21.9,22.75
