# Area: Italy
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.87   Longitude 12.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 198.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,6.08,8.43,12.3,17.21,21.48,24.1,24.85,20.52,15.3,10.45,7.25,5.66,14.49
ALLSKY_SFC_SW_DWN,1985,5.84,8.74,12.09,18.37,20.61,26.06,25.73,23.66,18.6,11.82,6.87,5.68,15.37
ALLSKY_SFC_SW_DWN,1986,5.94,8.08,12.63,17.95,24.62,24.87,25.07,24.52,17.51,13.47,7.9,6.3,15.79
ALLSKY_SFC_SW_DWN,1987,5.63,7.79,15.2,20.17,22.23,26.0,25.28,23.46,18.5,11.16,7.57,5.5,15.75
ALLSKY_SFC_SW_DWN,1988,6.42,11.03,15.04,19.82,22.15,26.58,27.26,24.27,17.8,12.12,7.28,6.7,16.39
ALLSKY_SFC_SW_DWN,1989,7.22,9.33,14.63,15.99,21.36,24.74,23.88,22.35,15.39,12.25,7.59,6.43,15.13
ALLSKY_SFC_SW_DWN,1990,7.26,10.91,13.84,17.52,22.13,24.74,25.2,22.25,16.96,9.64,7.36,5.08,15.26
ALLSKY_SFC_SW_DWN,1991,7.06,8.46,13.11,18.5,21.58,25.73,25.82,23.04,16.52,10.58,7.14,7.06,15.42
ALLSKY_SFC_SW_DWN,1992,7.13,11.07,12.65,17.55,23.63,21.8,24.83,23.24,19.24,9.16,7.7,5.92,15.34
ALLSKY_SFC_SW_DWN,1993,6.8,11.72,15.29,17.86,23.4,26.54,26.26,24.19,15.98,10.78,6.57,5.49,15.93
ALLSKY_SFC_SW_DWN,1994,6.95,10.17,16.08,17.53,23.78,25.81,26.13,24.07,16.73,12.07,7.99,5.53,16.11
ALLSKY_SFC_SW_DWN,1995,6.82,9.6,13.75,16.85,20.95,25.13,26.24,20.9,16.26,13.6,7.97,4.56,15.25
ALLSKY_SFC_SW_DWN,1996,6.71,10.21,12.71,17.34,22.03,24.51,25.71,22.74,16.11,10.76,6.37,5.39,15.06
ALLSKY_SFC_SW_DWN,1997,6.91,10.22,16.29,18.75,26.35,25.04,26.49,22.89,17.96,11.25,5.86,5.83,16.19
ALLSKY_SFC_SW_DWN,1998,6.87,11.08,16.42,19.43,24.98,25.63,27.9,23.16,16.85,10.98,7.16,6.06,16.41
ALLSKY_SFC_SW_DWN,1999,7.74,10.37,14.77,17.77,23.32,25.54,25.36,22.83,16.91,11.89,7.47,5.34,15.81
ALLSKY_SFC_SW_DWN,2000,7.25,10.96,14.38,16.74,22.65,26.73,26.92,23.53,16.59,10.17,6.3,5.5,15.66
ALLSKY_SFC_SW_DWN,2001,5.61,9.37,13.7,19.99,21.46,26.91,26.56,23.92,17.26,13.17,7.32,5.92,15.96
ALLSKY_SFC_SW_DWN,2002,7.34,9.71,15.48,18.79,23.35,26.34,24.13,21.28,16.78,12.03,6.38,4.72,15.56
ALLSKY_SFC_SW_DWN,2003,6.33,10.63,16.61,20.08,23.51,27.8,27.41,22.63,17.86,10.69,7.28,5.53,16.39
ALLSKY_SFC_SW_DWN,2004,6.22,8.32,13.11,16.75,24.94,26.81,27.54,24.13,17.6,11.42,6.64,5.21,15.75
ALLSKY_SFC_SW_DWN,2005,7.04,9.08,15.78,18.97,24.56,27.02,27.85,21.58,16.8,11.19,7.26,5.28,16.08
ALLSKY_SFC_SW_DWN,2006,6.53,9.61,13.06,19.34,25.94,24.64,26.71,22.84,17.59,12.75,8.88,6.0,16.19
ALLSKY_SFC_SW_DWN,2007,6.74,9.12,13.73,20.59,24.05,26.12,28.16,23.16,18.2,11.65,7.46,6.02,16.29
ALLSKY_SFC_SW_DWN,2008,6.2,10.7,13.72,19.67,22.98,26.03,27.8,25.03,17.31,12.29,7.5,5.65,16.26
ALLSKY_SFC_SW_DWN,2009,5.57,10.24,14.88,18.02,25.88,26.34,28.47,24.55,16.79,12.4,7.49,5.47,16.38
ALLSKY_SFC_SW_DWN,2010,5.78,8.84,14.28,19.22,21.15,26.23,28.14,24.4,17.51,10.98,6.62,5.25,15.74
ALLSKY_SFC_SW_DWN,2011,6.56,11.07,13.65,19.62,25.77,27.39,26.69,25.66,18.58,13.1,8.67,6.35,16.96
ALLSKY_SFC_SW_DWN,2012,7.29,10.16,17.22,18.88,24.49,28.31,27.66,24.94,15.31,12.22,7.27,6.26,16.7
ALLSKY_SFC_SW_DWN,2013,6.56,10.44,11.92,20.27,22.03,28.23,26.79,23.36,18.44,11.78,6.79,6.08,16.08
ALLSKY_SFC_SW_DWN,2014,5.35,9.87,15.0,20.11,24.2,27.52,25.65,24.24,17.52,12.58,7.44,6.05,16.33
ALLSKY_SFC_SW_DWN,2015,6.58,10.06,13.86,20.64,25.18,26.7,27.78,23.43,16.78,10.17,8.17,6.84,16.38
ALLSKY_SFC_SW_DWN,2016,6.57,9.83,14.97,19.6,24.74,25.91,27.43,24.24,17.4,11.26,7.64,7.08,16.41
ALLSKY_SFC_SW_DWN,2017,7.07,10.25,16.84,21.56,26.89,28.2,28.6,25.17,17.21,13.63,7.51,5.89,17.45
ALLSKY_SFC_SW_DWN,2018,7.19,8.55,12.43,20.25,21.3,27.14,27.31,22.82,18.12,11.57,7.14,6.32,15.88
ALLSKY_SFC_SW_DWN,2019,6.75,11.61,15.88,19.56,21.16,28.05,26.97,24.25,18.23,13.07,6.22,6.39,16.53
ALLSKY_SFC_SW_DWN,2020,7.8,11.82,15.38,21.0,24.33,27.56,28.51,23.55,17.12,12.24,8.21,5.68,16.94
ALLSKY_SFC_SW_DWN,2021,5.84,10.8,15.84,18.81,24.24,25.5,25.61,23.0,17.66,11.52,6.36,5.63,15.93
ALLSKY_SFC_SW_DWN,2022,7.53,11.36,15.69,20.92,24.21,26.6,28.04,22.82,17.24,13.54,7.61,5.83,16.81
ALLSKY_SFC_SW_DWN,2023,6.45,10.59,15.03,20.59,20.34,26.31,27.31,24.04,18.23,12.48,7.68,6.08,16.29
