# Area: Kazakhstan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  48.02   Longitude 66.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 477.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,5.83,10.12,13.81,20.12,23.86,27.71,26.35,23.59,16.18,9.22,6.42,4.23,15.63
ALLSKY_SFC_SW_DWN,1985,5.22,7.8,14.32,18.8,23.29,26.85,22.71,20.5,18.15,8.26,5.83,3.55,14.63
ALLSKY_SFC_SW_DWN,1986,5.05,8.58,14.41,19.44,22.95,25.75,24.74,21.68,16.89,8.81,6.25,3.44,14.86
ALLSKY_SFC_SW_DWN,1987,3.97,7.64,13.95,17.8,22.43,27.14,24.17,22.77,15.89,10.82,5.87,3.76,14.72
ALLSKY_SFC_SW_DWN,1988,4.67,9.43,14.21,20.84,23.56,27.15,23.92,21.53,16.23,12.0,4.97,3.68,15.19
ALLSKY_SFC_SW_DWN,1989,5.26,7.3,14.4,19.12,24.19,27.38,25.72,22.84,17.09,10.7,6.19,3.29,15.33
ALLSKY_SFC_SW_DWN,1990,4.76,8.04,12.14,19.04,25.36,26.35,22.64,22.01,17.24,9.06,5.63,3.38,14.67
ALLSKY_SFC_SW_DWN,1991,4.69,7.68,12.14,19.38,25.91,24.79,24.09,22.34,16.75,11.8,5.99,3.76,14.98
ALLSKY_SFC_SW_DWN,1992,5.02,7.01,14.78,18.28,23.65,26.25,27.58,19.04,17.81,10.63,6.45,4.16,15.08
ALLSKY_SFC_SW_DWN,1993,4.6,8.26,12.21,18.44,23.59,27.05,24.75,22.09,17.9,11.21,7.18,4.12,15.15
ALLSKY_SFC_SW_DWN,1994,4.99,6.67,12.74,21.62,24.74,28.04,25.06,22.68,17.47,12.62,6.3,3.96,15.62
ALLSKY_SFC_SW_DWN,1995,4.82,8.67,12.48,22.06,24.01,26.48,23.53,22.14,16.44,9.52,6.1,3.5,15.0
ALLSKY_SFC_SW_DWN,1996,5.59,8.21,16.02,18.49,23.79,27.23,24.71,22.02,15.47,10.04,6.63,3.84,15.19
ALLSKY_SFC_SW_DWN,1997,4.27,7.43,13.73,20.8,22.02,27.75,25.22,22.24,16.95,11.34,5.39,3.62,15.1
ALLSKY_SFC_SW_DWN,1998,4.61,6.46,13.71,17.8,25.49,25.94,23.59,21.29,17.04,10.52,5.5,4.03,14.71
ALLSKY_SFC_SW_DWN,1999,5.74,9.62,16.54,18.35,22.45,22.97,22.97,23.11,16.34,9.94,4.93,3.61,14.75
ALLSKY_SFC_SW_DWN,2000,6.09,10.92,15.6,21.1,19.34,24.76,24.18,21.45,15.63,8.63,5.93,3.86,14.79
ALLSKY_SFC_SW_DWN,2001,6.56,10.93,14.41,20.79,23.5,25.72,23.15,19.92,15.68,8.09,5.19,4.51,14.88
ALLSKY_SFC_SW_DWN,2002,4.24,9.07,9.8,14.5,22.69,23.2,24.98,21.25,17.69,10.82,5.23,3.98,13.98
ALLSKY_SFC_SW_DWN,2003,5.79,10.47,15.29,19.81,20.19,22.47,22.94,21.6,16.13,11.13,5.62,4.21,14.66
ALLSKY_SFC_SW_DWN,2004,6.0,9.06,14.19,15.89,24.73,27.35,22.28,21.68,16.59,8.62,4.63,3.86,14.59
ALLSKY_SFC_SW_DWN,2005,6.5,11.01,13.39,19.69,24.12,25.6,23.14,20.39,17.52,11.26,5.38,4.14,15.19
ALLSKY_SFC_SW_DWN,2006,6.03,8.72,14.05,19.04,25.05,25.36,23.85,22.46,16.44,9.64,5.06,3.83,15.0
ALLSKY_SFC_SW_DWN,2007,5.78,9.94,16.14,17.3,24.52,25.76,24.12,22.75,17.17,10.6,5.54,5.02,15.42
ALLSKY_SFC_SW_DWN,2008,6.68,11.02,14.92,20.04,24.44,24.27,25.19,22.65,15.57,9.52,5.54,4.54,15.38
ALLSKY_SFC_SW_DWN,2009,6.45,10.68,14.63,17.65,24.92,26.28,23.82,19.99,17.29,10.69,5.21,4.01,15.16
ALLSKY_SFC_SW_DWN,2010,5.4,10.91,14.78,18.71,24.12,27.91,24.51,21.25,17.52,10.54,5.2,4.04,15.42
ALLSKY_SFC_SW_DWN,2011,6.09,10.67,16.41,18.99,23.72,23.56,24.16,20.79,16.45,9.95,5.37,5.21,15.14
ALLSKY_SFC_SW_DWN,2012,6.85,11.3,13.86,21.66,24.13,24.77,23.48,21.49,16.63,10.58,4.37,4.62,15.32
ALLSKY_SFC_SW_DWN,2013,5.5,10.61,13.52,17.44,23.86,25.65,22.31,19.55,16.82,10.21,5.74,3.44,14.57
ALLSKY_SFC_SW_DWN,2014,6.38,11.21,15.64,19.14,24.6,26.36,23.41,21.74,17.0,8.73,5.0,4.67,15.34
ALLSKY_SFC_SW_DWN,2015,6.59,10.25,15.44,18.14,21.9,25.6,25.13,21.61,15.83,9.42,4.45,3.43,14.84
ALLSKY_SFC_SW_DWN,2016,6.15,9.16,12.24,18.29,22.71,24.36,22.32,24.45,15.97,8.35,5.3,3.75,14.43
ALLSKY_SFC_SW_DWN,2017,6.09,10.95,16.23,19.9,24.23,24.9,25.34,22.14,15.18,9.01,4.87,4.55,15.31
ALLSKY_SFC_SW_DWN,2018,7.0,10.73,14.71,18.04,25.54,25.72,25.13,19.31,17.22,9.41,5.53,5.25,15.32
ALLSKY_SFC_SW_DWN,2019,5.99,11.1,14.35,17.57,26.21,25.56,24.99,21.12,13.77,10.47,6.18,3.91,15.13
ALLSKY_SFC_SW_DWN,2020,5.6,9.52,16.28,18.06,24.42,26.03,25.06,19.7,15.8,10.66,6.35,5.64,15.28
ALLSKY_SFC_SW_DWN,2021,6.35,9.98,15.34,20.47,25.21,25.47,24.49,22.02,16.62,9.8,5.45,3.35,15.41
ALLSKY_SFC_SW_DWN,2022,5.32,9.94,14.95,17.52,22.67,26.8,23.48,22.25,16.79,10.26,4.07,5.23,14.97
ALLSKY_SFC_SW_DWN,2023,6.32,9.86,16.02,20.54,23.63,26.14,24.52,19.67,12.66,9.61,4.88,3.83,14.83
