# Area: Paraguay
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -23.44   Longitude -58.44 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,21.67,24.32,18.03,15.44,12.33,7.58,11.96,11.23,17.66,19.73,20.29,20.77,16.73
ALLSKY_SFC_SW_DWN,1985,24.37,20.33,17.9,12.78,12.43,11.55,11.17,11.66,15.02,19.23,23.47,26.24,17.17
ALLSKY_SFC_SW_DWN,1986,24.43,21.02,18.69,16.67,11.28,10.8,12.04,11.41,14.06,20.65,22.24,22.48,17.13
ALLSKY_SFC_SW_DWN,1987,20.95,22.81,19.62,13.73,11.29,11.24,10.35,13.22,16.57,17.75,22.86,22.74,16.89
ALLSKY_SFC_SW_DWN,1988,22.77,21.91,19.45,13.92,9.64,10.41,12.48,13.92,15.33,19.95,24.37,23.17,17.26
ALLSKY_SFC_SW_DWN,1989,22.02,21.84,19.25,15.14,13.29,9.75,13.28,14.54,15.56,20.92,22.85,21.77,17.5
ALLSKY_SFC_SW_DWN,1990,23.12,22.67,19.39,15.62,11.48,9.78,12.2,14.34,15.1,19.18,21.7,21.91,17.18
ALLSKY_SFC_SW_DWN,1991,22.21,21.32,17.9,16.19,12.76,10.71,12.21,13.06,14.77,18.77,21.81,22.79,17.02
ALLSKY_SFC_SW_DWN,1992,23.85,19.87,17.93,15.42,9.34,9.12,10.67,12.16,14.75,16.51,20.41,21.24,15.93
ALLSKY_SFC_SW_DWN,1993,23.0,21.91,20.8,15.2,13.08,11.03,10.88,11.85,14.23,19.0,22.36,22.94,17.17
ALLSKY_SFC_SW_DWN,1994,23.7,18.96,21.1,15.85,12.89,10.71,12.15,15.32,16.94,17.89,23.13,22.09,17.56
ALLSKY_SFC_SW_DWN,1995,19.66,21.36,17.75,16.04,12.74,10.96,10.32,13.12,15.52,19.89,23.96,25.18,17.18
ALLSKY_SFC_SW_DWN,1996,22.47,21.1,20.17,15.76,11.85,10.31,13.18,13.15,16.3,17.53,22.9,21.71,17.19
ALLSKY_SFC_SW_DWN,1997,23.71,21.87,21.57,17.88,12.95,9.54,12.11,13.07,16.42,18.67,21.82,23.94,17.78
ALLSKY_SFC_SW_DWN,1998,24.67,19.92,17.61,14.83,14.94,10.97,12.51,10.43,15.9,20.13,22.75,25.22,17.48
ALLSKY_SFC_SW_DWN,1999,24.44,23.12,16.72,15.92,13.48,10.27,11.04,15.27,19.05,19.91,22.06,22.53,17.79
ALLSKY_SFC_SW_DWN,2000,25.1,22.44,19.25,16.47,11.77,9.2,12.65,12.76,16.44,20.14,21.05,26.03,17.77
ALLSKY_SFC_SW_DWN,2001,24.86,18.31,20.45,14.67,11.04,12.38,11.93,14.52,15.16,21.37,20.98,25.22,17.59
ALLSKY_SFC_SW_DWN,2002,26.27,20.14,19.69,15.12,11.27,9.54,11.24,14.17,17.88,17.31,22.32,23.04,17.32
ALLSKY_SFC_SW_DWN,2003,23.9,21.18,19.75,17.99,15.4,11.69,11.3,16.57,16.49,21.65,23.7,21.45,18.41
ALLSKY_SFC_SW_DWN,2004,26.94,24.09,21.59,15.5,10.79,11.08,11.22,13.71,16.76,21.23,21.44,24.61,18.24
ALLSKY_SFC_SW_DWN,2005,23.39,21.71,20.47,14.22,12.22,9.97,13.96,14.41,14.79,16.09,21.94,24.41,17.29
ALLSKY_SFC_SW_DWN,2006,24.17,22.98,19.0,17.25,15.96,11.52,12.63,14.95,18.08,19.57,22.49,22.83,18.43
ALLSKY_SFC_SW_DWN,2007,22.39,22.38,20.24,15.79,12.38,11.45,11.6,12.63,13.92,17.18,24.19,22.14,17.16
ALLSKY_SFC_SW_DWN,2008,20.89,22.88,21.4,16.82,12.89,9.15,12.05,14.36,19.44,19.04,23.8,26.02,18.21
ALLSKY_SFC_SW_DWN,2009,24.03,21.18,20.36,19.63,11.57,11.92,10.01,15.16,16.14,20.04,22.84,22.55,17.93
ALLSKY_SFC_SW_DWN,2010,24.63,21.09,20.43,16.59,12.04,10.54,11.36,13.72,14.04,19.29,24.37,24.17,17.67
ALLSKY_SFC_SW_DWN,2011,23.53,17.86,19.15,16.33,13.56,10.51,10.35,14.6,19.41,22.13,23.93,23.93,17.95
ALLSKY_SFC_SW_DWN,2012,26.09,22.09,22.05,15.06,13.78,10.48,11.81,15.14,19.14,20.36,21.43,24.12,18.46
ALLSKY_SFC_SW_DWN,2013,25.47,23.11,19.16,16.79,12.08,9.42,12.89,15.41,18.24,17.96,23.97,23.83,18.17
ALLSKY_SFC_SW_DWN,2014,23.04,22.78,17.89,16.16,11.06,9.19,12.15,15.6,17.7,21.72,21.4,22.64,17.58
ALLSKY_SFC_SW_DWN,2015,23.21,21.59,20.6,16.39,10.95,10.65,10.6,14.29,16.72,18.4,19.93,21.65,17.06
ALLSKY_SFC_SW_DWN,2016,23.98,20.2,18.66,16.86,9.95,10.76,12.84,15.05,19.34,21.87,24.27,23.73,18.12
ALLSKY_SFC_SW_DWN,2017,25.25,21.88,19.34,14.34,9.35,11.36,14.36,14.22,16.03,20.67,22.22,22.08,17.57
ALLSKY_SFC_SW_DWN,2018,22.11,21.9,16.89,19.05,14.54,9.19,10.98,14.47,17.81,17.0,21.9,25.88,17.62
ALLSKY_SFC_SW_DWN,2019,25.26,23.87,17.68,14.21,10.96,11.29,10.94,15.42,16.8,20.45,23.79,24.14,17.87
ALLSKY_SFC_SW_DWN,2020,22.87,23.57,21.38,19.17,15.11,10.68,12.71,14.98,16.06,20.6,23.39,24.2,18.72
ALLSKY_SFC_SW_DWN,2021,20.85,23.64,20.1,17.36,13.47,9.9,14.09,13.94,16.94,20.0,22.34,27.01,18.28
ALLSKY_SFC_SW_DWN,2022,26.63,22.98,20.87,16.15,12.67,9.98,12.53,14.97,14.37,20.46,26.53,25.87,18.65
ALLSKY_SFC_SW_DWN,2023,23.69,21.54,18.76,15.9,11.29,12.41,11.26,14.71,17.34,18.02,20.28,21.96,17.24
