# Area: Sierra Leone
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  8.46   Longitude -11.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 143.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,18.8,19.95,20.98,20.53,19.73,17.47,16.35,16.66,18.39,18.17,17.91,17.04,18.49
ALLSKY_SFC_SW_DWN,1985,19.7,21.07,19.71,20.89,19.07,16.88,15.55,15.56,16.76,18.71,17.61,17.11,18.2
ALLSKY_SFC_SW_DWN,1986,19.54,21.6,22.15,21.27,18.44,17.33,15.64,15.07,16.48,18.11,17.84,16.63,18.32
ALLSKY_SFC_SW_DWN,1987,17.24,20.4,22.2,20.98,19.42,17.58,17.11,16.2,17.31,18.62,17.48,16.58,18.41
ALLSKY_SFC_SW_DWN,1988,18.96,19.62,21.8,21.22,20.25,17.59,15.88,14.02,16.53,17.99,18.09,16.23,18.17
ALLSKY_SFC_SW_DWN,1989,19.82,20.43,21.89,20.98,19.86,15.97,16.61,14.88,17.05,18.3,17.59,17.37,18.39
ALLSKY_SFC_SW_DWN,1990,19.43,20.47,22.5,19.93,18.33,17.67,15.09,15.64,17.66,19.2,17.55,17.24,18.38
ALLSKY_SFC_SW_DWN,1991,18.88,20.72,20.51,20.15,18.61,17.64,15.68,15.39,18.05,18.03,17.38,18.0,18.23
ALLSKY_SFC_SW_DWN,1992,19.21,19.82,21.68,19.98,17.23,16.5,15.23,15.98,17.75,17.91,17.71,16.89,17.98
ALLSKY_SFC_SW_DWN,1993,18.81,19.96,20.48,18.25,18.08,16.73,15.58,15.85,17.37,19.47,17.84,18.11,18.03
ALLSKY_SFC_SW_DWN,1994,20.15,19.57,20.3,21.09,19.71,18.18,16.43,16.09,17.82,17.93,18.17,17.99,18.61
ALLSKY_SFC_SW_DWN,1995,20.04,20.62,20.6,19.54,19.42,17.15,15.62,15.13,17.58,18.71,17.75,17.18,18.26
ALLSKY_SFC_SW_DWN,1996,18.93,20.01,20.83,20.98,18.43,16.66,16.08,16.53,16.68,17.64,17.98,17.29,18.16
ALLSKY_SFC_SW_DWN,1997,18.27,21.19,20.62,20.86,19.23,15.57,15.0,15.9,17.63,18.29,17.19,16.86,18.03
ALLSKY_SFC_SW_DWN,1998,19.05,20.91,21.56,18.72,18.32,16.77,15.74,15.18,16.42,18.24,17.3,16.57,17.88
ALLSKY_SFC_SW_DWN,1999,19.65,21.15,21.76,20.09,19.52,18.39,16.06,15.23,15.96,16.79,15.99,17.93,18.19
ALLSKY_SFC_SW_DWN,2000,17.23,21.71,22.01,19.63,18.88,16.08,15.73,14.56,15.79,17.15,18.2,17.48,17.85
ALLSKY_SFC_SW_DWN,2001,19.86,21.47,21.12,20.3,19.21,17.49,15.63,14.68,17.26,17.88,16.59,17.38,18.22
ALLSKY_SFC_SW_DWN,2002,18.15,21.04,20.84,20.39,19.16,16.49,15.69,15.53,17.06,18.3,17.67,18.44,18.21
ALLSKY_SFC_SW_DWN,2003,17.88,21.28,21.41,21.32,18.53,15.61,14.91,14.13,17.11,17.96,17.59,18.31,17.98
ALLSKY_SFC_SW_DWN,2004,18.4,18.77,19.56,18.11,16.53,16.22,15.24,15.19,17.5,19.2,18.52,16.7,17.49
ALLSKY_SFC_SW_DWN,2005,17.9,17.99,20.54,18.38,18.35,15.12,15.13,14.46,16.91,18.8,17.66,17.21,17.37
ALLSKY_SFC_SW_DWN,2006,19.35,20.11,19.71,19.99,18.32,17.2,15.99,14.69,16.65,18.33,19.16,18.75,18.17
ALLSKY_SFC_SW_DWN,2007,18.68,20.06,19.89,19.99,18.92,16.2,14.92,13.78,15.71,18.51,17.98,18.47,17.74
ALLSKY_SFC_SW_DWN,2008,20.61,19.1,20.26,19.55,18.96,16.8,15.79,15.1,16.14,18.22,18.46,17.74,18.06
ALLSKY_SFC_SW_DWN,2009,18.33,19.74,20.97,21.02,19.58,17.82,14.72,14.31,15.9,17.62,17.88,18.06,17.98
ALLSKY_SFC_SW_DWN,2010,19.51,20.09,18.39,18.81,18.38,17.05,15.23,14.46,16.92,17.77,17.77,15.98,17.51
ALLSKY_SFC_SW_DWN,2011,18.46,21.12,20.66,20.78,18.07,16.07,14.53,14.12,16.65,18.52,16.41,18.06,17.76
ALLSKY_SFC_SW_DWN,2012,20.21,19.05,19.97,20.22,18.21,15.89,14.14,14.41,15.85,17.81,17.21,18.31,17.6
ALLSKY_SFC_SW_DWN,2013,20.27,21.42,20.56,21.52,18.27,17.19,15.64,13.41,16.43,17.27,18.2,18.75,18.22
ALLSKY_SFC_SW_DWN,2014,18.7,20.79,21.61,21.2,17.63,16.65,15.2,14.32,15.64,17.58,16.23,18.69,17.83
ALLSKY_SFC_SW_DWN,2015,18.62,20.39,20.83,20.01,18.81,15.63,15.08,14.48,15.27,17.67,18.41,18.5,17.79
ALLSKY_SFC_SW_DWN,2016,17.48,20.03,21.56,21.67,18.8,15.67,13.74,14.61,16.3,18.37,17.35,18.01,17.79
ALLSKY_SFC_SW_DWN,2017,20.35,19.63,21.24,20.98,18.08,15.69,15.15,14.73,17.15,18.58,17.2,18.36,18.09
ALLSKY_SFC_SW_DWN,2018,19.37,20.11,20.25,19.73,19.49,15.47,14.66,14.97,16.82,17.95,17.22,19.42,17.94
ALLSKY_SFC_SW_DWN,2019,20.09,21.14,21.35,19.81,18.31,16.49,14.52,14.93,17.04,17.2,18.55,20.1,18.28
ALLSKY_SFC_SW_DWN,2020,19.33,20.58,20.02,19.05,17.7,17.11,13.97,13.75,16.58,19.37,19.1,17.61,17.83
ALLSKY_SFC_SW_DWN,2021,19.63,19.76,19.53,20.4,19.43,17.51,14.45,15.83,17.67,19.11,19.03,18.15,18.36
ALLSKY_SFC_SW_DWN,2022,19.91,20.86,20.53,20.79,18.17,17.4,14.01,13.75,15.89,17.07,18.94,18.45,17.95
ALLSKY_SFC_SW_DWN,2023,20.41,20.18,21.04,21.43,17.68,15.92,16.07,15.12,16.24,16.96,17.42,19.66,18.17
