# Area: Uzbekistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.38   Longitude 64.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 381.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,8.3,12.43,15.4,22.24,24.89,28.78,28.52,25.93,20.76,14.03,10.4,7.94,18.31
ALLSKY_SFC_SW_DWN,1985,7.23,10.06,16.53,22.48,25.94,27.6,26.42,23.38,19.92,13.49,9.87,5.82,17.43
ALLSKY_SFC_SW_DWN,1986,6.58,10.88,16.97,21.91,24.19,26.96,27.04,25.04,20.47,13.81,9.14,5.58,17.41
ALLSKY_SFC_SW_DWN,1987,7.13,11.88,12.89,18.89,25.39,27.87,24.93,25.05,19.43,14.08,9.17,6.68,16.97
ALLSKY_SFC_SW_DWN,1988,6.43,11.45,15.2,22.22,25.43,27.37,26.05,24.38,19.58,15.3,9.41,6.31,17.44
ALLSKY_SFC_SW_DWN,1989,8.13,11.28,15.39,24.02,24.9,27.99,26.5,24.77,19.71,14.33,9.77,5.97,17.75
ALLSKY_SFC_SW_DWN,1990,6.78,10.6,16.78,19.05,25.39,28.1,26.05,24.21,21.02,13.63,9.7,6.03,17.31
ALLSKY_SFC_SW_DWN,1991,7.26,11.36,15.39,20.46,22.99,25.52,26.03,25.15,19.54,14.7,8.85,6.22,16.98
ALLSKY_SFC_SW_DWN,1992,6.88,10.89,16.77,20.78,23.94,25.79,28.43,24.35,20.39,14.45,8.93,6.14,17.33
ALLSKY_SFC_SW_DWN,1993,7.67,10.61,15.68,22.13,25.3,27.56,27.51,24.11,20.46,15.27,9.94,7.82,17.87
ALLSKY_SFC_SW_DWN,1994,7.87,10.78,16.0,23.24,25.05,28.38,27.87,25.44,20.79,15.19,10.04,7.47,18.21
ALLSKY_SFC_SW_DWN,1995,8.03,10.94,16.85,22.28,24.74,25.19,26.73,24.57,20.09,14.3,9.54,7.18,17.57
ALLSKY_SFC_SW_DWN,1996,7.47,10.47,16.66,21.44,26.68,26.23,26.2,24.93,19.65,12.92,9.35,6.96,17.43
ALLSKY_SFC_SW_DWN,1997,6.97,11.38,15.5,20.16,23.54,27.36,27.41,25.18,20.45,14.15,9.18,6.08,17.31
ALLSKY_SFC_SW_DWN,1998,6.62,9.33,15.38,21.64,25.3,26.81,27.21,23.11,20.14,14.21,9.52,6.28,17.17
ALLSKY_SFC_SW_DWN,1999,6.79,10.86,17.36,22.43,26.3,26.42,24.58,25.44,19.45,14.56,7.45,6.29,17.36
ALLSKY_SFC_SW_DWN,2000,6.8,11.61,17.27,22.27,26.27,27.75,28.54,25.4,19.81,12.9,8.96,4.71,17.7
ALLSKY_SFC_SW_DWN,2001,6.92,10.6,15.07,22.24,25.48,29.73,27.01,25.05,21.0,13.03,7.75,6.44,17.55
ALLSKY_SFC_SW_DWN,2002,6.73,9.16,15.26,15.99,23.76,27.5,27.81,24.75,21.21,14.24,9.06,5.21,16.77
ALLSKY_SFC_SW_DWN,2003,6.32,8.51,12.74,18.98,22.03,27.33,27.53,25.87,21.21,14.05,6.9,5.92,16.49
ALLSKY_SFC_SW_DWN,2004,6.49,10.91,16.44,20.44,26.11,29.24,26.4,25.88,20.7,14.61,7.59,5.67,17.55
ALLSKY_SFC_SW_DWN,2005,6.19,9.69,15.38,22.11,24.72,27.21,28.43,24.88,21.04,14.59,8.3,5.62,17.38
ALLSKY_SFC_SW_DWN,2006,6.43,10.92,14.96,21.96,25.4,28.79,27.48,26.26,20.11,13.26,8.49,5.84,17.52
ALLSKY_SFC_SW_DWN,2007,7.73,11.18,14.82,19.77,26.05,28.68,28.02,25.32,21.54,15.53,8.94,5.71,17.81
ALLSKY_SFC_SW_DWN,2008,8.89,10.41,16.38,20.94,22.63,28.18,27.17,25.24,19.68,13.13,9.18,6.27,17.36
ALLSKY_SFC_SW_DWN,2009,6.87,9.71,16.24,17.74,25.0,28.25,28.01,24.61,19.16,14.66,8.23,5.5,17.04
ALLSKY_SFC_SW_DWN,2010,7.24,10.08,15.04,21.52,24.15,27.12,27.75,24.91,20.59,14.18,9.79,7.48,17.52
ALLSKY_SFC_SW_DWN,2011,7.34,10.75,17.26,20.46,24.15,25.91,28.65,24.32,20.57,13.15,7.09,5.8,17.16
ALLSKY_SFC_SW_DWN,2012,6.54,10.69,13.44,23.08,25.0,27.91,27.15,25.62,21.06,13.8,9.51,6.3,17.51
ALLSKY_SFC_SW_DWN,2013,7.21,10.9,13.92,21.29,26.69,27.5,26.63,24.04,20.42,14.05,8.8,5.12,17.24
ALLSKY_SFC_SW_DWN,2014,6.92,11.33,14.08,20.83,27.98,28.7,28.8,26.17,20.16,13.24,7.9,6.89,17.79
ALLSKY_SFC_SW_DWN,2015,6.46,8.51,15.95,20.5,24.72,29.03,28.83,25.44,20.35,12.71,7.76,5.69,17.21
ALLSKY_SFC_SW_DWN,2016,6.65,13.02,14.63,20.76,24.61,26.98,26.36,26.14,19.9,13.94,9.17,5.82,17.33
ALLSKY_SFC_SW_DWN,2017,6.01,9.97,16.05,21.83,25.98,28.52,29.33,25.91,20.07,13.55,9.01,5.92,17.72
ALLSKY_SFC_SW_DWN,2018,8.18,10.41,13.95,19.46,25.75,27.78,28.59,25.31,20.46,13.56,8.42,5.73,17.34
ALLSKY_SFC_SW_DWN,2019,6.14,9.58,14.21,18.41,26.05,27.4,27.58,25.01,20.1,14.8,9.5,5.82,17.09
ALLSKY_SFC_SW_DWN,2020,6.63,10.58,17.46,19.95,24.0,29.09,27.51,24.07,20.28,15.16,9.03,6.73,17.56
ALLSKY_SFC_SW_DWN,2021,7.78,11.15,14.12,22.6,25.65,29.06,26.77,24.85,20.63,13.63,9.5,5.79,17.65
ALLSKY_SFC_SW_DWN,2022,6.22,11.53,13.23,19.44,23.02,26.61,27.45,24.8,20.11,13.97,7.8,7.54,16.84
ALLSKY_SFC_SW_DWN,2023,8.11,11.01,16.82,21.35,24.58,27.42,27.03,23.81,19.56,12.19,8.66,6.18,17.25
