# Area: Viet Nam
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.06   Longitude 108.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,12.58,15.95,20.48,21.64,21.36,17.5,16.72,15.92,19.54,15.02,13.54,11.74,16.82
ALLSKY_SFC_SW_DWN,1985,14.56,19.59,19.51,20.05,23.07,18.34,20.33,19.01,17.68,16.57,12.25,12.16,17.75
ALLSKY_SFC_SW_DWN,1986,12.66,16.45,20.9,24.85,19.51,21.67,20.7,18.25,19.18,14.87,13.03,12.4,17.86
ALLSKY_SFC_SW_DWN,1987,14.16,19.16,22.3,23.19,22.94,20.11,19.28,18.92,16.65,18.54,11.48,12.24,18.24
ALLSKY_SFC_SW_DWN,1988,14.97,17.11,20.5,19.38,20.86,19.75,20.76,19.57,16.66,12.07,10.69,11.99,17.03
ALLSKY_SFC_SW_DWN,1989,13.3,17.86,16.71,22.39,21.13,20.35,19.41,18.97,17.61,16.11,13.83,15.07,17.72
ALLSKY_SFC_SW_DWN,1990,14.89,18.43,18.89,20.7,20.21,17.94,19.93,18.07,17.08,13.84,12.97,12.06,17.07
ALLSKY_SFC_SW_DWN,1991,15.4,17.57,21.52,21.25,23.69,18.66,17.4,16.21,16.52,14.74,13.11,12.12,17.35
ALLSKY_SFC_SW_DWN,1992,14.28,17.74,21.22,21.77,21.66,18.52,19.75,17.37,16.39,11.81,10.6,11.88,16.91
ALLSKY_SFC_SW_DWN,1993,14.18,19.93,18.48,22.46,20.22,20.3,19.89,16.74,16.89,13.29,14.0,9.26,17.1
ALLSKY_SFC_SW_DWN,1994,14.81,19.47,16.64,22.64,20.89,17.48,15.93,19.14,16.45,15.87,14.34,12.62,17.16
ALLSKY_SFC_SW_DWN,1995,14.0,17.91,20.38,24.16,20.86,20.24,19.13,19.1,14.96,13.42,10.34,10.61,17.08
ALLSKY_SFC_SW_DWN,1996,14.37,14.72,21.68,18.19,17.54,20.73,19.38,19.38,14.49,13.71,10.55,10.6,16.29
ALLSKY_SFC_SW_DWN,1997,14.87,14.17,20.97,19.66,19.74,20.11,18.18,18.4,16.86,16.83,15.11,14.42,17.46
ALLSKY_SFC_SW_DWN,1998,15.73,19.5,21.9,20.91,18.99,20.82,21.67,19.83,15.61,14.34,9.96,10.26,17.45
ALLSKY_SFC_SW_DWN,1999,11.35,14.72,19.48,17.33,18.42,18.08,18.39,20.08,17.48,14.12,12.03,9.01,15.88
ALLSKY_SFC_SW_DWN,2000,13.24,15.39,18.95,19.2,18.21,19.34,17.96,18.46,15.69,12.8,12.81,10.79,16.07
ALLSKY_SFC_SW_DWN,2001,14.11,17.45,16.94,21.86,17.76,18.27,18.86,16.05,18.25,14.61,12.59,10.89,16.45
ALLSKY_SFC_SW_DWN,2002,14.48,18.19,19.88,22.33,20.27,18.92,16.07,14.48,13.98,14.79,10.75,12.21,16.35
ALLSKY_SFC_SW_DWN,2003,13.94,17.24,18.48,22.55,18.78,19.54,19.5,16.96,15.81,14.23,14.22,10.13,16.77
ALLSKY_SFC_SW_DWN,2004,13.51,17.82,18.34,20.21,20.84,17.86,18.91,17.44,16.18,15.47,13.05,13.02,16.88
ALLSKY_SFC_SW_DWN,2005,15.65,18.12,17.7,20.45,20.91,19.54,17.27,15.55,15.64,12.56,13.05,7.95,16.17
ALLSKY_SFC_SW_DWN,2006,13.15,16.49,20.08,21.6,21.0,20.92,15.64,15.47,17.0,15.43,16.56,11.31,17.04
ALLSKY_SFC_SW_DWN,2007,11.09,19.5,18.48,19.12,19.15,19.39,19.53,15.16,17.21,11.43,9.43,12.4,15.96
ALLSKY_SFC_SW_DWN,2008,13.86,12.03,17.36,21.21,18.08,19.56,20.14,18.31,15.27,12.87,9.39,10.55,15.73
ALLSKY_SFC_SW_DWN,2009,13.29,17.79,19.69,17.12,17.79,18.86,17.41,19.07,13.7,14.38,13.09,13.77,16.33
ALLSKY_SFC_SW_DWN,2010,14.03,19.83,19.73,20.54,20.89,20.34,19.27,17.45,17.97,11.98,8.33,11.99,16.84
ALLSKY_SFC_SW_DWN,2011,10.69,17.21,14.82,19.4,19.94,17.83,18.32,18.33,14.04,12.21,12.45,8.58,15.29
ALLSKY_SFC_SW_DWN,2012,11.62,16.53,18.59,20.18,20.83,17.21,18.65,17.06,16.21,15.42,15.23,13.63,16.76
ALLSKY_SFC_SW_DWN,2013,12.66,17.26,19.12,18.65,21.42,18.31,17.76,14.85,14.69,13.2,11.29,11.47,15.88
ALLSKY_SFC_SW_DWN,2014,13.91,18.62,20.28,20.68,22.42,16.93,17.33,19.2,18.41,16.09,13.87,9.44,17.25
ALLSKY_SFC_SW_DWN,2015,14.98,17.6,21.22,21.79,21.05,20.26,16.53,19.48,19.56,17.82,13.13,13.2,18.05
ALLSKY_SFC_SW_DWN,2016,14.41,15.57,19.35,21.19,19.64,18.99,20.56,17.49,16.88,14.06,12.95,8.36,16.62
ALLSKY_SFC_SW_DWN,2017,12.12,15.51,20.7,20.28,18.43,20.48,15.64,19.15,19.35,14.23,10.41,9.79,16.33
ALLSKY_SFC_SW_DWN,2018,11.78,17.64,18.84,21.02,21.41,16.69,15.07,15.16,19.06,17.23,14.59,11.19,16.62
ALLSKY_SFC_SW_DWN,2019,13.21,20.98,20.06,22.39,20.27,21.79,18.44,16.21,15.64,15.61,11.98,13.32,17.46
ALLSKY_SFC_SW_DWN,2020,15.32,17.98,21.39,19.21,22.14,20.78,21.1,17.35,19.34,11.98,10.85,10.27,17.3
ALLSKY_SFC_SW_DWN,2021,11.98,18.34,21.38,20.92,22.71,20.09,18.87,20.13,15.39,12.62,10.59,10.66,16.96
ALLSKY_SFC_SW_DWN,2022,14.36,14.89,19.58,18.56,16.86,21.33,17.86,16.7,15.74,13.05,13.15,10.31,16.03
ALLSKY_SFC_SW_DWN,2023,10.54,15.58,19.45,20.13,19.89,18.94,18.37,17.67,16.04,13.71,12.21,12.0,16.21
