# Area: Burundi
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -3.37   Longitude 29.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1666.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,19.26,18.99,18.73,18.33,17.38,15.98,15.63,18.12,19.27,19.38,18.93,18.74,18.22
T2M,1982,18.83,19.21,19.09,18.67,17.74,16.7,16.37,18.06,19.67,19.26,18.59,18.9,18.42
T2M,1983,19.25,19.71,19.65,18.77,18.29,17.52,17.12,18.49,19.78,19.66,19.06,18.15,18.78
T2M,1984,18.26,19.0,18.73,18.62,17.4,16.5,16.88,18.25,19.89,19.66,18.47,18.69,18.36
T2M,1985,19.05,17.98,18.54,18.08,16.92,15.52,15.31,16.73,19.24,19.13,18.23,18.15,17.74
T2M,1986,18.24,18.63,18.23,18.19,17.37,15.6,15.04,17.49,19.02,19.01,18.4,18.35,17.79
T2M,1987,18.57,19.05,19.19,18.77,17.24,15.76,16.3,17.95,19.67,19.74,18.84,19.13,18.35
T2M,1988,18.71,19.88,19.29,19.05,17.53,17.19,17.28,18.88,20.08,20.34,18.79,18.26,18.77
T2M,1989,18.46,18.94,18.82,18.03,17.22,15.71,15.62,17.31,19.57,19.94,19.36,18.48,18.11
T2M,1990,19.09,18.99,18.98,18.77,17.81,16.75,16.07,17.84,19.68,20.0,19.17,18.6,18.47
T2M,1991,19.81,20.1,20.26,18.77,18.27,17.61,16.9,18.2,20.13,19.09,19.13,18.72,18.91
T2M,1992,19.79,19.61,20.26,19.45,18.24,17.6,16.72,17.78,20.32,21.15,19.98,18.76,19.13
T2M,1993,18.47,19.33,19.12,19.14,18.74,17.11,15.95,18.32,19.71,21.38,19.81,19.83,18.91
T2M,1994,19.9,19.24,19.37,19.2,18.87,17.67,17.37,19.13,20.94,20.28,19.07,18.85,19.16
T2M,1995,19.68,19.56,19.45,19.08,18.0,17.27,16.72,17.75,19.86,20.11,19.98,19.14,18.88
T2M,1996,19.19,19.29,19.93,18.55,18.04,16.44,16.76,17.85,19.36,19.63,19.05,18.83,18.58
T2M,1997,19.24,19.31,19.36,18.39,17.36,16.83,16.22,17.57,19.89,19.84,19.25,18.59,18.48
T2M,1998,19.56,20.0,20.67,19.6,18.77,17.47,16.96,18.96,20.71,20.72,20.51,20.6,19.54
T2M,1999,19.79,22.31,19.74,19.2,19.84,18.83,18.33,19.84,21.24,21.64,19.13,19.01,19.89
T2M,2000,20.3,20.0,19.25,19.68,20.1,18.26,17.75,19.49,21.24,20.63,18.96,19.27,19.58
T2M,2001,18.53,19.86,19.51,19.07,18.48,17.48,17.17,18.65,20.63,20.41,19.35,20.04,19.09
T2M,2002,19.15,20.15,20.05,19.59,19.26,18.21,19.11,19.24,21.59,21.1,19.28,19.39,19.67
T2M,2003,19.91,20.62,20.84,19.41,18.84,18.29,17.26,19.39,21.29,21.17,20.02,19.84,19.73
T2M,2004,19.85,20.04,19.81,18.86,18.19,16.71,16.85,19.39,19.8,20.49,19.32,19.07,19.03
T2M,2005,19.33,20.43,19.74,19.47,18.51,18.08,16.9,19.19,21.05,20.78,19.76,20.19,19.44
T2M,2006,20.43,21.04,19.32,18.79,18.36,17.21,17.17,18.88,20.42,21.28,19.06,18.84,19.22
T2M,2007,19.69,19.21,19.33,19.34,18.0,16.7,16.64,18.21,19.89,20.15,19.01,18.84,18.75
T2M,2008,19.02,18.66,18.74,18.3,17.82,16.14,16.42,18.51,19.55,19.51,19.19,19.56,18.45
T2M,2009,19.28,18.78,19.19,18.27,18.11,17.55,16.42,18.46,20.43,20.23,19.13,18.91,18.73
T2M,2010,19.61,19.76,19.37,19.24,18.58,17.65,17.28,18.15,20.14,20.59,19.22,18.71,19.02
T2M,2011,19.34,19.49,19.03,18.73,18.83,18.09,17.62,18.95,19.87,18.71,18.79,18.89,18.86
T2M,2012,19.47,18.84,19.06,18.58,18.04,17.28,17.22,18.62,20.27,20.43,18.9,18.67,18.78
T2M,2013,19.5,19.65,19.59,18.79,18.0,16.75,16.78,18.47,20.2,20.07,18.97,19.08,18.82
T2M,2014,19.4,19.21,19.13,19.05,18.91,18.13,18.11,19.07,19.36,19.47,19.17,18.97,19.0
T2M,2015,19.31,19.47,19.4,18.87,18.49,18.26,18.37,19.54,21.7,20.13,19.05,19.44,19.33
T2M,2016,19.54,20.25,20.57,19.33,17.86,17.12,16.87,18.35,20.17,20.47,19.19,19.62,19.11
T2M,2017,20.01,19.63,19.34,19.35,18.79,18.88,18.78,19.8,21.36,20.84,19.26,19.36,19.62
T2M,2018,18.58,19.61,18.46,18.3,17.71,16.12,15.5,17.57,19.81,19.39,19.47,18.85,18.27
T2M,2019,19.34,19.6,19.76,19.28,18.4,17.17,17.1,18.42,20.27,19.36,18.98,19.03,18.89
T2M,2020,18.97,19.5,19.5,19.09,17.99,16.51,15.83,18.01,19.28,19.61,18.96,19.11,18.53
T2M,2021,18.82,19.28,18.99,18.6,18.02,16.75,15.95,18.07,19.16,20.08,19.21,18.66,18.46
T2M,2022,18.9,18.65,19.75,18.78,18.03,16.19,16.0,17.61,19.1,19.7,18.63,18.79,18.34
T2M,2023,18.99,19.72,19.17,18.85,18.83,18.0,17.11,18.92,20.95,21.07,19.59,19.67,19.23
