# Area: Gambia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.44   Longitude -15.31 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 34.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.62,27.05,30.43,32.17,32.38,31.47,27.27,26.34,26.0,26.89,25.41,23.34,27.78
T2M,1982,23.22,25.86,29.09,31.43,31.6,31.26,28.05,26.64,26.85,26.65,25.86,23.14,27.47
T2M,1983,25.1,27.54,30.5,31.95,33.01,30.35,27.95,27.59,26.84,29.16,29.42,25.87,28.77
T2M,1984,25.11,26.1,29.36,31.59,33.16,29.15,27.27,27.33,26.65,27.07,27.2,24.99,27.92
T2M,1985,25.17,27.63,30.2,30.9,32.15,30.89,27.2,26.16,26.1,27.14,26.84,22.93,27.77
T2M,1986,22.74,26.97,28.28,32.2,33.01,31.09,28.3,26.35,26.26,26.65,23.77,21.58,27.26
T2M,1987,24.36,27.04,28.59,31.27,32.63,30.52,28.47,26.95,26.72,26.8,26.7,24.53,27.88
T2M,1988,23.49,27.4,29.48,32.15,32.36,30.25,27.51,26.42,26.64,27.07,25.42,22.56,27.55
T2M,1989,23.75,27.16,29.29,31.48,32.23,30.03,27.22,26.09,26.57,26.52,24.85,23.7,27.4
T2M,1990,22.82,27.36,30.1,31.59,32.35,31.54,27.58,26.79,27.03,26.89,26.0,25.33,27.94
T2M,1991,25.9,27.46,29.6,31.33,32.4,31.89,27.67,26.42,26.54,26.69,26.68,25.95,28.21
T2M,1992,25.61,27.68,28.74,31.75,31.96,30.95,27.37,26.43,26.12,26.17,25.38,24.86,27.74
T2M,1993,24.7,26.92,29.67,31.66,33.13,31.05,27.24,26.46,26.45,26.85,26.05,24.57,27.89
T2M,1994,23.39,26.86,30.02,31.28,32.15,30.08,27.66,26.06,26.16,26.43,25.52,21.26,27.23
T2M,1995,21.83,26.07,29.44,30.81,32.36,31.21,27.69,26.75,26.94,26.65,26.19,24.89,27.57
T2M,1996,25.58,28.41,29.2,30.84,33.09,29.73,27.55,26.3,26.51,26.4,23.72,23.66,27.58
T2M,1997,25.53,26.76,28.27,30.83,32.21,28.98,27.46,26.8,26.84,26.73,26.86,24.06,27.61
T2M,1998,25.09,29.41,30.39,32.9,33.46,31.51,28.74,27.09,26.84,27.47,26.2,25.54,28.71
T2M,1999,24.59,26.14,29.92,31.94,31.97,30.02,26.99,26.38,26.35,26.19,25.69,22.83,27.42
T2M,2000,25.25,26.37,29.48,31.84,31.87,30.65,28.29,27.04,26.92,26.66,26.75,24.87,28.0
T2M,2001,25.19,27.35,30.23,31.9,32.38,30.42,28.06,27.81,27.51,29.74,28.65,28.22,28.96
T2M,2002,26.65,28.28,30.07,31.28,33.26,31.66,30.81,28.49,27.7,28.77,28.78,27.69,29.46
T2M,2003,25.92,28.79,30.88,32.65,32.39,31.52,28.43,26.66,26.56,27.04,25.32,23.88,28.33
T2M,2004,24.73,27.11,29.55,31.84,32.84,30.02,27.33,26.94,26.84,27.16,25.92,26.01,28.02
T2M,2005,24.94,28.42,30.72,32.01,31.97,30.42,27.28,26.8,26.72,26.22,24.91,23.93,27.85
T2M,2006,23.55,26.31,29.61,31.23,31.96,29.59,28.1,26.87,26.62,27.21,26.5,23.91,27.62
T2M,2007,24.96,27.29,29.74,31.89,32.92,30.75,28.02,26.41,26.41,26.88,25.47,24.65,27.95
T2M,2008,24.04,28.44,30.55,32.08,32.66,29.83,26.66,26.4,26.77,26.75,25.38,23.03,27.7
T2M,2009,21.76,25.77,28.79,31.39,32.14,30.3,27.37,26.67,26.65,26.73,24.57,22.51,27.05
T2M,2010,23.2,27.24,29.62,31.79,32.66,30.21,27.25,26.6,26.31,26.76,25.46,25.07,27.68
T2M,2011,24.43,26.5,29.78,31.82,32.25,31.1,28.12,26.73,26.89,27.92,27.97,24.85,28.2
T2M,2012,25.26,26.65,29.36,31.45,32.01,31.01,27.26,26.46,26.38,27.15,27.4,24.15,27.87
T2M,2013,24.79,27.82,31.37,31.28,32.85,30.48,28.02,26.28,26.76,27.03,26.2,24.54,28.11
T2M,2014,25.67,26.18,29.12,31.91,32.35,30.81,27.99,26.6,26.86,27.23,26.61,24.42,27.98
T2M,2015,24.63,27.26,28.94,31.39,31.95,31.89,28.7,26.93,26.79,27.33,25.12,22.69,27.8
T2M,2016,24.91,25.91,29.47,31.89,32.46,31.22,28.13,26.99,26.78,28.42,27.95,26.63,28.4
T2M,2017,25.94,28.14,31.3,32.35,33.02,31.66,27.2,26.83,27.05,27.68,26.57,23.47,28.43
T2M,2018,23.88,25.88,30.25,31.41,31.97,31.19,27.62,26.48,26.48,27.21,26.12,23.6,27.68
T2M,2019,24.13,26.84,28.08,32.08,32.71,31.82,28.53,27.41,27.06,27.26,27.47,25.49,28.24
T2M,2020,25.16,29.17,30.51,32.79,32.6,30.52,27.33,26.75,26.74,26.89,24.27,24.37,28.08
T2M,2021,24.1,26.41,29.11,31.75,32.11,30.45,27.54,26.73,26.85,26.79,26.36,24.08,27.69
T2M,2022,23.7,25.14,28.58,31.56,31.92,29.07,27.5,26.6,26.57,26.66,24.21,23.43,27.09
T2M,2023,22.89,26.57,29.2,32.27,32.83,30.52,28.22,27.44,27.35,27.34,26.11,24.09,27.9
