# Area: Grenada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.26   Longitude -61.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.05,26.46,26.73,26.94,27.48,27.39,27.39,27.92,27.99,27.78,27.86,27.32,27.28
T2M,1982,26.19,25.86,25.78,26.1,27.04,26.9,26.81,27.21,27.67,27.43,27.04,26.19,26.69
T2M,1983,26.12,25.74,26.4,26.83,27.32,27.46,27.4,27.6,27.99,27.6,27.17,26.68,27.03
T2M,1984,26.05,25.77,25.73,26.23,26.36,26.73,26.78,27.06,27.32,27.13,26.72,26.23,26.51
T2M,1985,25.42,25.44,25.52,25.87,26.6,27.0,27.2,27.35,27.49,27.19,26.97,26.3,26.53
T2M,1986,25.67,25.34,25.69,26.64,27.04,26.94,26.86,27.25,27.41,27.39,26.94,26.18,26.62
T2M,1987,25.73,25.81,26.11,26.82,27.25,27.51,27.48,28.04,28.17,27.95,27.68,27.24,27.16
T2M,1988,26.26,26.12,26.12,26.72,27.41,27.58,27.51,27.67,27.85,27.59,27.33,26.4,27.05
T2M,1989,25.76,25.4,25.45,25.97,26.63,26.86,27.4,27.66,27.67,27.54,27.45,26.74,26.72
T2M,1990,25.89,25.41,25.89,26.42,27.18,27.07,27.2,27.56,27.83,27.99,27.51,26.6,26.89
T2M,1991,26.07,25.99,26.1,26.37,26.89,27.19,27.14,27.41,27.7,27.23,27.01,26.08,26.77
T2M,1992,25.84,25.64,25.89,26.65,27.09,26.86,27.18,27.58,27.48,27.56,27.28,26.73,26.82
T2M,1993,26.05,25.72,25.9,26.75,27.2,27.5,27.37,27.46,27.8,27.77,26.95,26.71,26.94
T2M,1994,25.87,25.76,26.06,26.51,26.97,27.17,27.05,27.56,27.7,27.42,27.43,26.79,26.86
T2M,1995,26.08,26.05,26.32,26.78,27.63,27.55,27.71,28.08,28.25,27.92,27.73,27.14,27.28
T2M,1996,26.71,26.45,26.2,26.59,27.2,27.38,27.24,27.6,27.82,27.56,27.26,26.83,27.07
T2M,1997,26.27,26.18,25.98,26.46,27.24,27.33,27.49,27.51,28.19,28.42,27.86,27.47,27.21
T2M,1998,26.69,26.57,26.41,27.44,28.01,27.94,28.12,28.73,28.57,28.48,27.93,27.15,27.68
T2M,1999,26.36,25.6,26.25,26.83,27.51,27.67,27.73,28.11,28.49,27.89,27.56,26.84,27.25
T2M,2000,26.11,25.85,25.78,26.25,27.17,27.09,27.35,27.96,28.06,28.05,27.63,26.71,27.0
T2M,2001,25.99,25.78,25.91,26.35,27.36,27.46,27.67,28.31,28.15,27.71,27.77,27.48,27.17
T2M,2002,26.76,26.16,26.38,26.89,27.3,27.41,27.46,28.28,28.22,27.91,27.55,26.99,27.28
T2M,2003,26.53,26.5,26.39,27.05,27.3,27.42,27.55,28.23,28.64,28.59,28.17,27.45,27.49
T2M,2004,26.68,26.65,26.66,27.33,27.62,27.63,27.71,28.09,28.45,28.63,27.93,27.38,27.57
T2M,2005,26.67,26.83,27.58,27.76,28.61,28.17,28.19,28.72,29.2,29.02,27.86,27.33,28.0
T2M,2006,26.6,26.4,26.71,27.21,27.97,27.95,28.08,28.36,28.76,28.58,28.13,27.55,27.7
T2M,2007,26.81,26.62,26.81,27.33,27.84,28.08,27.95,28.19,28.39,28.28,27.89,27.24,27.62
T2M,2008,26.47,26.04,25.97,26.51,27.28,27.79,27.79,28.47,28.62,28.42,28.01,27.02,27.37
T2M,2009,26.67,26.36,26.12,26.86,27.45,27.68,28.12,28.39,28.54,28.58,28.16,27.56,27.55
T2M,2010,26.99,26.69,27.52,27.97,28.47,28.66,28.55,28.73,28.84,28.74,28.25,27.43,28.08
T2M,2011,27.04,26.6,26.39,27.07,28.1,28.49,28.08,28.49,28.78,28.4,27.95,27.34,27.73
T2M,2012,26.71,26.24,26.43,27.06,27.53,27.96,28.03,28.17,28.81,28.59,28.39,27.68,27.64
T2M,2013,26.76,26.51,26.93,27.13,27.63,27.42,27.87,28.17,28.73,28.49,27.85,27.08,27.55
T2M,2014,26.39,26.25,26.28,26.78,27.17,27.53,27.59,27.93,28.24,28.42,27.95,27.25,27.32
T2M,2015,26.73,26.57,26.35,26.81,27.18,27.22,27.43,28.21,28.69,28.6,28.03,27.4,27.44
T2M,2016,26.45,26.48,26.82,27.47,27.82,27.9,28.24,28.69,28.88,28.83,28.42,27.76,27.82
T2M,2017,26.65,26.56,26.65,27.45,27.82,27.89,28.26,28.7,28.85,28.31,27.98,27.48,27.72
T2M,2018,26.88,26.11,26.58,26.86,27.26,27.47,27.68,27.96,28.48,28.13,27.92,27.02,27.37
T2M,2019,26.35,26.27,26.42,26.85,27.55,27.85,27.97,28.52,28.97,28.73,28.42,27.89,27.66
T2M,2020,26.97,26.84,26.73,27.24,27.87,28.17,28.28,28.73,29.07,28.66,28.09,27.36,27.84
T2M,2021,26.94,26.67,26.42,27.05,27.53,27.81,27.99,28.43,28.96,28.87,28.07,27.63,27.7
T2M,2022,26.55,26.51,26.69,27.01,27.53,27.77,28.0,28.47,29.05,28.57,28.0,27.1,27.61
T2M,2023,26.5,26.22,26.66,26.99,28.02,28.74,28.79,29.45,29.7,29.62,28.93,28.16,28.16
