# Area: Honduras
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.2   Longitude -86.24 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 808.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.25,20.67,23.65,23.67,24.94,22.65,21.92,22.11,21.66,21.49,20.27,19.63,21.75
T2M,1982,20.52,22.18,24.0,26.31,25.63,25.07,23.97,24.53,24.57,23.47,22.09,21.17,23.63
T2M,1983,22.09,22.92,25.36,26.99,27.57,25.76,23.51,23.96,23.64,23.22,23.11,21.83,24.17
T2M,1984,20.13,21.67,23.6,26.24,25.57,24.45,23.76,23.34,23.09,23.53,21.32,20.99,23.14
T2M,1985,20.37,21.32,23.28,25.05,26.32,24.76,23.51,24.25,24.88,23.75,22.71,21.96,23.52
T2M,1986,19.66,21.98,22.32,24.67,26.22,24.46,23.58,23.12,23.53,23.42,23.16,21.87,23.17
T2M,1987,20.94,23.39,26.13,24.58,26.07,25.86,23.4,23.97,24.98,23.19,23.16,22.44,24.01
T2M,1988,21.22,21.58,23.51,25.85,26.82,25.68,24.83,25.24,23.78,23.0,23.04,20.7,23.77
T2M,1989,21.21,20.51,22.18,24.95,25.94,24.96,24.12,24.73,24.18,23.32,22.4,19.98,23.22
T2M,1990,20.64,21.58,22.73,24.74,24.13,22.78,21.88,22.03,22.28,22.53,21.09,20.12,22.21
T2M,1991,20.72,21.28,24.01,26.2,25.99,25.01,23.78,24.11,23.53,22.29,21.22,20.48,23.23
T2M,1992,21.28,22.51,23.69,25.66,24.71,24.63,22.44,23.08,23.07,22.87,22.9,21.63,23.2
T2M,1993,21.48,22.15,23.72,25.8,25.09,24.13,23.75,23.84,23.42,24.02,22.46,21.45,23.45
T2M,1994,21.23,22.18,24.06,25.65,26.52,25.29,25.18,25.48,24.64,24.49,22.59,21.67,24.09
T2M,1995,21.51,22.28,24.44,26.26,26.97,26.03,24.61,24.89,23.58,22.55,21.61,20.97,23.81
T2M,1996,19.52,20.76,21.58,24.66,25.12,25.73,23.98,24.13,25.26,23.59,21.9,20.59,23.07
T2M,1997,21.37,22.52,24.03,26.58,26.46,23.61,23.37,23.36,24.01,22.49,22.54,21.43,23.48
T2M,1998,22.57,24.49,23.99,25.92,26.73,25.45,23.37,24.17,24.02,22.09,20.71,19.81,23.6
T2M,1999,19.46,19.54,21.4,24.46,25.13,23.9,23.0,23.77,22.97,21.4,19.54,18.77,21.96
T2M,2000,18.79,19.99,22.94,24.54,23.19,22.11,21.35,21.66,22.18,20.9,21.02,19.58,21.52
T2M,2001,19.21,20.32,22.8,25.12,24.73,23.83,24.05,23.82,24.01,23.25,20.66,21.15,22.76
T2M,2002,20.38,21.54,23.04,24.74,25.22,23.86,23.37,23.59,23.98,22.4,21.71,21.73,22.97
T2M,2003,19.91,22.07,24.44,24.76,25.86,23.19,22.66,23.08,24.17,23.29,21.65,19.57,22.89
T2M,2004,19.73,20.84,21.34,23.43,23.9,23.38,23.51,24.14,24.12,23.47,21.66,20.85,22.53
T2M,2005,19.84,21.27,25.17,26.21,25.19,23.7,23.18,23.79,23.41,22.28,20.65,20.79,22.96
T2M,2006,20.29,20.48,22.64,24.79,26.08,23.59,23.51,24.67,24.35,24.33,21.76,20.99,23.14
T2M,2007,20.68,22.35,22.54,25.08,25.15,23.61,23.32,23.42,22.69,21.72,20.06,19.8,22.53
T2M,2008,19.77,21.38,22.55,24.66,25.89,23.14,21.52,22.5,23.06,21.44,19.31,19.15,22.03
T2M,2009,19.09,19.56,21.03,24.52,24.4,23.84,23.06,22.85,23.79,23.07,21.3,20.76,22.28
T2M,2010,19.56,21.71,22.45,24.53,24.76,23.17,22.46,22.35,22.62,20.79,19.68,18.09,21.84
T2M,2011,20.23,20.81,22.26,24.95,25.39,23.67,22.52,23.26,22.94,21.07,19.99,19.55,22.22
T2M,2012,19.84,20.91,22.52,24.41,24.0,23.31,22.82,23.36,23.15,21.69,19.64,20.49,22.18
T2M,2013,20.27,21.48,21.73,24.68,25.29,23.77,23.16,23.35,22.56,22.02,21.13,20.05,22.46
T2M,2014,19.26,20.81,23.35,25.1,25.11,23.75,23.47,24.1,22.91,22.14,20.39,19.4,22.49
T2M,2015,19.47,20.02,22.11,24.84,24.63,22.82,23.06,24.24,23.95,23.15,21.95,21.71,22.68
T2M,2016,21.04,20.76,23.53,24.96,25.89,23.34,22.95,23.34,22.82,21.98,20.86,20.53,22.67
T2M,2017,19.67,21.43,22.11,24.75,24.58,23.78,22.4,22.5,22.95,21.71,20.31,19.48,22.14
T2M,2018,18.92,19.62,21.85,24.23,24.69,22.51,22.98,22.39,22.97,21.77,21.6,20.31,22.0
T2M,2019,20.36,22.6,23.4,25.4,25.99,25.51,24.71,25.11,25.0,22.88,21.9,21.71,23.72
T2M,2020,21.24,22.34,23.24,27.2,25.56,23.18,23.1,22.88,24.02,22.28,21.57,19.56,23.01
T2M,2021,19.69,20.01,21.12,23.98,25.64,24.68,23.43,22.91,22.9,23.17,20.63,20.63,22.41
T2M,2022,20.53,21.3,23.61,25.04,24.64,22.25,22.19,22.06,22.41,22.1,21.35,19.72,22.27
T2M,2023,19.89,21.09,23.68,25.73,26.34,23.97,22.95,23.52,23.99,23.76,21.8,20.91,23.14
