# Area: Jamaica
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.11   Longitude -77.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 202.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.74,24.98,25.87,26.94,27.74,26.74,27.03,27.06,27.46,27.02,25.74,24.69,26.26
T2M,1982,24.99,25.35,26.65,27.38,26.84,27.05,26.87,27.66,27.47,27.03,26.28,25.42,26.59
T2M,1983,25.87,25.43,26.39,27.36,28.9,28.2,28.17,28.06,27.87,27.25,27.09,26.73,27.29
T2M,1984,25.76,25.78,26.53,27.24,27.59,27.08,27.36,27.76,27.06,26.7,26.24,25.36,26.71
T2M,1985,25.02,25.14,25.92,26.69,27.56,27.61,27.55,27.18,27.38,26.69,26.26,25.48,26.55
T2M,1986,25.13,25.31,25.91,27.25,27.58,26.17,26.88,27.61,27.4,27.68,26.82,26.14,26.66
T2M,1987,25.06,25.52,26.75,27.43,28.15,28.14,28.03,28.48,28.46,27.39,27.03,26.03,27.21
T2M,1988,25.43,25.93,26.61,27.71,27.82,28.01,27.7,27.82,27.09,27.73,26.7,25.63,27.02
T2M,1989,25.35,24.86,25.22,27.26,27.32,27.38,27.92,28.21,27.96,27.61,27.4,26.12,26.89
T2M,1990,26.03,25.79,25.94,27.4,27.62,27.64,27.89,28.24,28.46,27.78,26.23,25.41,27.04
T2M,1991,25.73,25.65,26.57,27.2,27.22,27.57,27.88,27.93,27.68,26.94,26.61,25.26,26.86
T2M,1992,25.59,25.87,26.7,27.81,27.19,27.63,27.91,27.97,27.38,27.66,27.54,26.29,27.13
T2M,1993,25.58,25.37,25.98,27.05,26.37,26.83,27.39,27.87,27.13,27.07,26.99,25.64,26.61
T2M,1994,25.2,25.86,26.51,27.39,27.78,27.89,28.0,28.01,27.95,27.47,26.61,26.04,27.06
T2M,1995,25.58,25.85,26.23,27.29,27.79,28.03,28.3,28.11,28.56,27.04,26.93,26.45,27.19
T2M,1996,25.44,25.63,25.76,27.1,27.12,28.0,27.93,27.83,28.43,27.17,26.21,24.96,26.8
T2M,1997,25.33,25.88,26.31,26.93,28.06,26.69,27.47,27.65,27.67,26.77,26.9,26.08,26.82
T2M,1998,25.97,25.4,26.2,27.14,28.41,28.85,27.96,28.48,27.68,27.08,26.21,25.43,27.08
T2M,1999,25.08,24.61,26.03,27.35,27.18,27.28,27.3,27.71,27.42,26.37,25.28,23.82,26.29
T2M,2000,23.8,24.53,25.31,26.98,27.57,27.19,27.49,27.5,26.72,26.66,26.02,25.04,26.24
T2M,2001,23.96,24.97,25.68,27.17,27.0,27.42,28.0,28.47,27.84,27.26,25.47,25.66,26.58
T2M,2002,25.02,25.39,26.64,27.19,27.16,26.49,27.33,27.66,27.1,26.66,26.78,26.13,26.64
T2M,2003,25.38,25.61,26.61,27.07,27.84,27.19,27.44,27.8,27.9,27.58,26.84,25.63,26.91
T2M,2004,24.85,25.95,26.22,27.12,27.4,27.82,28.03,28.24,27.64,27.78,26.69,25.91,26.97
T2M,2005,24.49,24.57,27.07,27.47,27.56,27.14,27.13,27.49,27.81,26.4,26.24,25.18,26.56
T2M,2006,24.49,24.69,25.49,27.57,28.3,27.29,27.6,27.82,28.19,28.05,26.83,26.57,26.92
T2M,2007,26.13,26.25,26.68,27.69,27.61,27.37,27.93,27.79,27.62,26.33,25.79,25.17,26.87
T2M,2008,24.86,25.43,26.15,27.31,27.94,27.19,27.72,27.79,27.38,26.91,25.76,25.13,26.63
