# Area: Kyrgyzstan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  42.87   Longitude 74.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 721.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,1.46,1.45,9.21,14.21,19.36,23.6,26.67,24.34,19.02,10.39,5.26,2.42,13.19
T2M,1982,2.17,1.63,5.53,15.13,21.06,24.87,26.4,25.09,18.79,12.47,2.96,1.6,13.21
T2M,1983,1.76,5.16,6.59,14.23,18.13,23.68,28.7,28.0,19.85,12.27,8.7,2.0,14.13
T2M,1984,-1.39,-5.57,6.83,11.55,18.81,25.63,28.55,28.56,19.48,12.26,5.65,-7.56,11.96
T2M,1985,0.35,3.91,3.36,14.42,18.48,24.83,28.72,25.24,20.04,11.14,4.16,2.77,13.16
T2M,1986,2.67,2.55,3.37,12.04,19.91,24.3,27.95,25.67,21.72,12.15,5.31,1.72,13.34
T2M,1987,3.01,4.31,7.09,11.98,18.49,21.14,26.14,27.77,20.28,6.88,4.63,5.31,13.14
T2M,1988,1.57,0.23,5.47,15.1,17.0,26.11,28.9,24.93,21.24,11.81,10.84,5.67,14.1
T2M,1989,-0.26,-0.99,7.63,10.05,17.94,23.71,27.55,26.22,19.29,13.5,5.08,4.93,12.98
T2M,1990,-0.7,1.66,6.37,11.91,20.08,27.28,26.9,26.24,21.68,12.75,7.1,1.81,13.65
T2M,1991,-0.49,0.9,4.95,13.77,18.57,24.31,28.2,25.15,20.55,13.81,6.96,2.71,13.35
T2M,1992,1.57,4.01,3.57,13.95,15.9,22.81,26.81,23.88,17.43,12.04,9.63,3.36,12.93
T2M,1993,0.01,1.72,5.22,12.15,15.87,23.92,26.78,23.98,19.58,11.05,3.26,1.39,12.13
T2M,1994,-0.05,-1.58,7.49,9.53,18.83,24.77,27.64,26.4,17.05,13.09,9.59,1.17,12.92
T2M,1995,-0.63,2.86,6.22,12.72,18.59,25.83,27.96,26.04,20.7,12.03,8.81,0.76,13.54
T2M,1996,-2.34,0.83,4.13,10.59,17.72,24.78,27.35,25.28,20.64,11.93,4.14,4.16,12.47
T2M,1997,2.5,1.73,7.53,16.45,18.63,25.1,28.38,25.61,21.21,17.32,3.33,1.07,14.15
T2M,1998,0.36,2.25,5.33,13.16,17.04,22.7,27.79,27.14,21.29,13.45,7.95,3.44,13.55
T2M,1999,0.98,6.62,3.77,12.33,19.89,23.72,25.81,27.51,20.48,14.4,5.48,4.38,13.82
T2M,2000,1.59,1.64,7.16,16.56,21.55,25.76,28.17,27.24,20.88,8.9,3.9,3.62,13.95
T2M,2001,-0.87,3.48,9.83,13.91,23.17,27.16,25.54,25.14,18.64,11.51,8.45,-0.04,13.88
T2M,2002,2.49,4.31,9.41,12.26,17.55,24.15,26.91,27.54,21.37,15.51,8.54,-1.17,14.13
T2M,2003,3.73,3.35,6.77,9.89,17.18,22.87,24.57,25.71,21.44,14.01,4.91,1.7,13.07
T2M,2004,1.67,5.01,7.32,13.99,18.96,24.47,26.63,25.5,20.46,12.09,8.64,1.82,13.9
T2M,2005,-0.09,-0.66,11.0,13.58,17.89,25.64,29.3,24.67,22.24,14.85,6.81,2.77,14.09
T2M,2006,-3.06,5.64,9.96,14.05,19.6,24.4,26.7,26.77,19.36,15.47,7.71,2.11,14.1
T2M,2007,2.43,4.23,6.57,17.0,19.64,25.82,27.85,26.13,20.95,11.33,8.95,-0.83,14.21
T2M,2008,-4.7,-0.29,11.91,14.04,22.26,27.32,28.72,27.31,19.98,12.67,6.21,2.52,14.04
T2M,2009,2.59,3.53,8.93,12.02,17.59,22.78,26.97,25.5,19.51,13.69,5.62,2.6,13.51
T2M,2010,2.35,1.2,8.27,13.42,17.9,23.54,26.8,26.86,19.53,14.26,8.87,2.66,13.88
T2M,2011,-1.3,1.27,5.82,15.27,19.57,24.88,27.64,26.26,20.73,13.46,4.44,-1.57,13.1
T2M,2012,-2.15,-1.79,5.9,16.6,20.05,25.24,27.72,26.81,20.81,13.49,4.48,-1.53,13.01
T2M,2013,1.46,1.86,10.52,13.5,18.8,24.11,27.37,25.48,22.44,15.36,7.02,1.18,14.16
T2M,2014,0.76,-2.06,8.24,12.34,21.33,26.03,27.26,26.66,20.28,11.54,3.85,1.49,13.24
T2M,2015,1.59,4.39,5.99,15.13,20.44,25.16,30.28,25.95,17.84,13.91,6.23,2.69,14.19
T2M,2016,3.46,5.44,12.18,14.54,18.35,24.93,26.13,25.52,24.02,8.86,3.85,3.15,14.22
T2M,2017,0.87,2.06,5.82,11.87,20.63,24.72,29.34,25.27,20.98,13.11,7.45,1.58,13.71
T2M,2018,-1.23,2.38,10.69,13.81,17.77,24.21,28.17,26.55,19.32,12.01,2.83,2.04,13.28
T2M,2019,2.54,2.22,10.7,13.9,18.3,23.95,30.11,27.11,20.02,13.94,3.51,3.02,14.19
T2M,2020,0.11,5.64,8.31,14.93,20.35,24.27,27.03,25.98,18.07,11.11,2.94,-0.76,13.19
T2M,2021,0.95,5.2,7.26,13.66,21.41,26.23,29.77,26.6,22.39,10.06,4.57,4.93,14.47
T2M,2022,2.91,3.51,7.28,18.21,20.17,26.2,28.87,25.1,22.86,13.23,6.25,-0.11,14.59
T2M,2023,-1.76,4.1,11.22,13.89,19.33,27.2,30.31,26.61,19.34,15.56,11.19,3.02,15.06
