# Area: Malta
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.94   Longitude 14.38 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,12.94,13.06,14.5,16.4,18.82,22.5,24.36,25.85,24.9,22.74,17.87,16.56,19.25
T2M,1982,15.09,13.96,14.2,15.98,18.73,23.06,25.97,26.09,25.43,22.78,19.08,15.41,19.68
T2M,1983,14.32,13.48,14.54,15.76,18.37,21.72,24.96,25.72,24.33,21.54,18.97,15.15,19.11
T2M,1984,14.29,13.35,13.93,15.47,17.96,20.99,24.11,24.95,23.78,21.52,19.47,16.0,18.84
T2M,1985,14.0,14.17,14.48,15.9,18.08,22.41,25.74,26.01,24.28,22.18,19.64,16.71,19.5
T2M,1986,14.55,13.77,14.65,15.41,19.03,21.61,24.36,26.72,25.32,22.64,18.23,15.3,19.34
T2M,1987,13.85,13.93,12.86,15.31,17.07,20.98,25.95,26.04,26.56,23.47,19.51,16.81,19.39
T2M,1988,15.63,14.5,14.69,16.72,19.18,22.08,26.0,26.99,24.61,22.86,18.68,14.98,19.76
T2M,1989,13.93,14.28,15.32,16.05,17.67,21.5,25.09,26.17,24.79,21.11,19.15,17.36,19.4
T2M,1990,15.03,15.52,15.7,16.46,18.98,22.59,25.26,26.45,25.26,24.0,19.92,15.43,20.08
T2M,1991,14.44,13.84,15.48,15.63,17.02,21.07,24.11,26.08,25.28,23.1,18.73,14.06,19.1
T2M,1992,14.11,13.43,14.26,15.66,17.69,20.81,23.99,26.83,24.61,22.92,19.75,16.17,19.21
T2M,1993,14.07,13.09,13.89,15.82,19.04,22.2,24.71,26.63,24.9,22.86,19.18,16.32,19.43
T2M,1994,15.1,14.5,15.19,15.62,18.88,22.26,25.61,27.92,25.93,23.02,19.91,16.6,20.08
T2M,1995,13.92,14.92,14.22,15.13,18.0,21.88,25.52,26.96,23.89,21.67,18.17,16.9,19.3
T2M,1996,15.53,14.17,14.24,15.72,18.45,21.41,24.26,26.41,23.61,20.45,18.53,16.45,19.12
T2M,1997,15.06,14.52,14.8,14.94,18.81,23.06,24.02,25.76,24.37,22.3,19.2,16.09,19.44
T2M,1998,14.48,14.31,13.85,16.26,18.61,22.44,24.98,25.78,24.06,22.01,17.95,15.06,19.18
T2M,1999,14.28,12.9,14.28,15.7,19.33,23.06,24.51,26.63,25.33,23.05,19.74,15.83,19.59
T2M,2000,13.2,13.53,14.32,15.92,19.15,22.51,24.95,25.9,24.27,21.29,19.68,16.81,19.31
T2M,2001,15.29,14.27,15.67,15.8,18.37,22.27,24.86,25.96,24.23,23.57,19.4,15.12,19.6
T2M,2002,13.57,14.74,15.3,16.09,18.47,22.65,24.76,25.02,23.84,21.86,19.47,16.07,19.34
T2M,2003,14.78,12.24,13.94,15.59,19.5,23.88,26.78,27.68,25.03,22.83,19.66,15.69,19.85
T2M,2004,13.67,13.76,14.16,15.79,17.75,21.72,24.94,25.78,24.66,23.13,19.19,16.87,19.3
T2M,2005,13.62,12.6,13.94,15.34,18.67,22.24,24.98,24.88,24.57,22.36,19.6,15.7,19.08
T2M,2006,13.59,13.6,14.07,16.04,19.45,22.51,26.5,25.99,24.64,22.77,19.45,17.54,19.72
T2M,2007,15.99,15.14,15.37,16.81,19.32,22.99,25.27,26.3,24.85,22.38,18.92,15.79,19.96
T2M,2008,15.2,14.05,15.0,16.17,19.05,22.59,26.23,26.78,25.18,22.59,20.1,16.55,19.98
T2M,2009,15.14,13.24,14.29,15.66,19.16,22.69,25.52,27.49,25.47,21.85,18.73,16.63,19.7
T2M,2010,14.81,14.42,14.88,16.65,18.78,21.47,25.48,26.18,24.62,22.26,19.74,16.39,19.67
T2M,2011,14.82,13.83,14.31,16.47,18.5,22.11,25.61,26.46,25.55,21.81,19.38,16.52,19.65
T2M,2012,13.93,12.67,14.58,16.53,19.33,23.87,26.7,27.91,25.51,23.61,20.69,16.2,20.15
T2M,2013,14.67,13.36,14.74,16.65,18.64,21.78,25.66,26.86,25.26,24.06,19.66,16.13,19.83
T2M,2014,15.44,14.84,14.47,16.2,18.38,22.86,24.73,26.23,25.6,23.21,20.34,16.76,19.95
T2M,2015,14.73,13.42,14.26,15.92,19.4,22.62,26.92,27.54,25.78,23.17,19.81,16.55,20.05
T2M,2016,15.04,15.42,14.9,16.96,18.62,22.37,25.28,25.73,24.92,23.31,20.11,16.59,19.95
T2M,2017,13.55,14.61,15.16,16.15,19.17,23.93,26.32,27.61,24.93,22.23,19.05,15.61,19.89
T2M,2018,15.48,14.13,15.34,16.48,18.99,22.52,25.35,26.81,26.04,23.1,20.23,16.51,20.12
T2M,2019,13.65,13.71,14.89,15.73,17.39,23.76,26.47,27.63,25.83,23.37,19.79,17.07,19.98
T2M,2020,14.7,14.95,14.86,16.64,19.79,22.33,25.82,27.67,26.25,22.34,19.97,17.07,20.22
T2M,2021,15.54,14.86,14.62,15.9,19.29,23.55,26.73,28.4,26.71,22.32,20.17,15.77,20.35
T2M,2022,14.02,14.3,13.79,15.69,19.48,24.67,27.81,28.31,26.93,23.77,20.66,18.34,20.68
T2M,2023,15.55,14.39,15.51,16.3,18.63,22.65,27.62,26.9,26.08,24.93,21.46,17.7,20.68
