# Area: Martinique
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.61   Longitude -61.06 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 14.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.92,26.01,26.47,26.62,27.26,27.38,27.51,27.81,27.99,27.73,27.63,26.93,27.11
T2M,1982,25.71,25.39,25.3,25.82,26.94,27.04,26.96,27.18,27.43,27.17,26.74,25.75,26.46
T2M,1983,25.59,25.3,25.96,26.57,27.19,27.27,27.13,27.47,27.76,27.27,26.86,26.29,26.73
T2M,1984,25.64,25.32,25.31,25.91,26.41,26.96,26.93,26.95,27.2,27.07,26.47,25.78,26.33
T2M,1985,25.15,25.14,25.03,25.5,26.48,27.1,27.31,27.41,27.44,26.95,26.73,25.94,26.35
T2M,1986,25.27,24.95,25.34,26.23,26.96,27.0,26.91,27.13,27.22,27.12,26.65,25.8,26.39
T2M,1987,25.34,25.45,25.89,27.0,27.2,27.43,27.44,27.87,28.1,27.76,27.27,26.73,26.96
T2M,1988,25.86,25.83,25.8,26.51,27.24,27.57,27.82,27.61,27.83,27.47,27.13,26.0,26.89
T2M,1989,25.38,25.14,24.96,25.61,26.35,27.03,27.48,27.69,27.58,27.33,27.28,26.32,26.52
T2M,1990,25.51,25.06,25.46,26.09,27.11,27.13,27.31,27.77,27.82,27.61,27.27,26.23,26.71
T2M,1991,25.71,25.65,25.76,26.01,26.87,27.14,27.06,27.4,27.67,27.06,26.63,25.54,26.55
T2M,1992,25.2,25.25,25.48,26.47,27.03,26.76,27.14,27.46,27.5,27.44,26.98,26.3,26.59
T2M,1993,25.5,25.19,25.47,26.35,27.07,27.45,27.27,27.48,27.75,27.71,26.81,26.23,26.7
T2M,1994,25.47,25.26,25.54,26.25,26.91,27.35,27.01,27.44,27.34,27.21,27.22,26.34,26.62
T2M,1995,25.68,25.75,25.79,26.29,27.52,27.47,27.92,28.22,27.92,27.66,27.38,26.82,27.04
T2M,1996,26.33,25.89,25.84,26.32,26.89,27.43,27.27,27.58,27.66,27.41,26.94,26.17,26.81
T2M,1997,25.89,25.64,25.67,26.21,27.23,27.42,27.5,27.7,28.15,28.05,27.73,27.18,27.04
T2M,1998,26.57,26.37,26.34,27.21,27.81,27.83,28.02,28.63,28.46,28.26,27.64,26.84,27.5
T2M,1999,26.0,25.2,25.83,26.63,27.56,27.94,27.9,28.24,28.39,27.9,27.22,26.35,27.11
T2M,2000,25.71,25.46,25.16,25.77,26.65,26.83,27.13,27.76,27.83,27.72,27.4,26.31,26.65
