# Area: Niue
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -19.05   Longitude -169.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.89,26.95,27.0,26.03,25.43,25.08,23.81,23.86,24.33,24.06,26.02,26.78,25.51
T2M,1982,26.71,26.83,27.26,26.5,25.46,24.56,23.47,23.11,22.76,23.91,23.97,24.39,24.9
T2M,1983,25.77,27.51,27.4,25.89,25.15,24.56,23.59,22.98,23.57,23.73,25.45,26.59,25.17
T2M,1984,27.11,27.3,26.91,26.98,25.78,24.35,23.5,23.83,24.14,23.61,24.94,26.27,25.39
T2M,1985,26.48,27.09,27.29,26.1,25.21,23.95,23.9,23.86,23.13,24.29,24.57,25.84,25.13
T2M,1986,26.06,26.7,27.04,26.36,24.86,24.9,23.71,22.9,23.64,24.44,24.87,26.0,25.11
T2M,1987,26.88,27.01,26.29,25.98,24.45,23.72,23.07,22.7,22.6,23.49,24.76,26.22,24.75
T2M,1988,26.85,27.95,27.78,26.89,26.09,25.06,24.35,23.95,24.57,25.39,25.1,25.68,25.8
T2M,1989,26.41,26.68,26.79,26.55,25.94,25.28,23.82,23.45,24.34,25.23,25.49,24.98,25.4
T2M,1990,26.72,26.25,26.46,25.59,25.71,25.05,24.07,24.23,24.51,24.88,25.37,26.01,25.4
T2M,1991,26.33,27.44,27.46,26.76,25.24,24.67,24.39,24.47,24.15,24.53,25.6,26.05,25.58
T2M,1992,26.53,26.88,26.9,25.91,25.67,25.03,24.59,24.06,25.02,25.41,25.1,26.34,25.62
T2M,1993,26.35,26.86,26.81,26.48,25.24,24.78,22.89,23.61,23.35,23.28,25.54,26.56,25.13
T2M,1994,26.76,27.64,27.45,26.1,24.79,23.84,24.08,23.8,23.11,24.09,24.9,25.82,25.19
T2M,1995,26.14,27.21,27.18,26.04,25.32,25.42,24.55,24.13,24.26,24.88,25.97,26.6,25.63
T2M,1996,26.85,27.22,27.12,26.99,25.83,25.3,24.97,23.99,24.48,24.49,25.66,26.72,25.8
T2M,1997,27.19,27.42,27.31,26.4,25.15,23.74,23.21,22.55,23.26,24.45,25.52,25.73,25.15
T2M,1998,26.17,26.69,26.49,25.75,24.59,24.51,23.17,23.55,23.56,25.02,27.05,27.4,25.32
T2M,1999,26.95,26.85,27.11,27.31,25.33,24.84,24.8,24.15,24.38,24.87,25.84,26.68,25.75
T2M,2000,26.66,27.5,27.46,27.44,26.35,24.72,23.69,24.02,24.55,24.52,26.05,26.76,25.8
T2M,2001,27.36,27.32,27.47,27.08,25.99,25.25,24.38,24.5,24.05,24.33,25.37,26.15,25.76
T2M,2002,26.74,27.95,27.77,27.19,26.07,25.25,24.76,23.45,24.01,24.26,25.74,26.65,25.81
T2M,2003,28.0,27.63,27.78,27.04,26.15,24.26,24.61,23.35,24.9,24.92,25.45,26.4,25.86
