# Area: Republic of Moldova
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.01   Longitude 28.86 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 150.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.6,-1.95,3.3,6.78,14.21,21.32,21.87,21.08,16.2,12.03,1.09,-0.46,9.31
T2M,1982,-4.62,-4.39,2.01,7.28,15.89,19.84,20.14,22.15,18.72,10.33,3.62,1.76,9.47
T2M,1983,-0.28,-1.04,4.88,12.4,18.46,19.67,21.17,20.11,17.43,9.79,0.99,-2.14,10.18
T2M,1984,-1.11,-4.65,0.73,7.62,14.96,17.55,19.54,20.22,18.34,12.33,1.45,-3.68,8.65
T2M,1985,-10.68,-11.86,-1.55,9.68,17.48,18.6,20.47,22.25,15.23,8.75,1.73,-0.64,7.57
T2M,1986,-2.52,-6.04,1.69,11.73,17.95,21.19,21.73,23.56,17.68,8.7,2.14,-3.89,9.58
T2M,1987,-10.87,-2.79,-2.86,6.59,14.52,20.63,24.55,19.52,17.27,8.26,4.36,-2.53,8.1
T2M,1988,-2.83,-2.46,2.48,8.0,15.42,19.32,24.04,22.48,16.21,8.14,-1.37,-2.73,8.94
T2M,1989,-0.2,2.39,6.24,12.69,16.3,19.46,22.09,22.81,15.61,10.43,1.76,0.19,10.87
T2M,1990,-1.06,2.54,7.96,10.6,16.36,20.22,22.95,22.42,15.59,10.12,6.22,-0.5,11.17
T2M,1991,-1.24,-3.85,2.49,9.51,13.85,19.63,23.37,20.61,16.57,10.39,3.37,-3.29,9.36
T2M,1992,-2.75,-1.51,4.11,9.23,14.54,19.89,22.73,25.94,15.49,9.98,3.61,-3.22,9.87
T2M,1993,-1.87,-2.03,1.66,8.13,16.46,19.5,20.93,21.42,15.32,10.47,-2.75,0.0,9.01
T2M,1994,0.12,-1.8,4.3,11.98,17.15,20.26,24.54,22.84,20.22,10.17,2.45,-1.49,10.97
T2M,1995,-5.1,2.06,3.84,9.22,14.82,21.79,23.73,21.75,14.99,9.23,-0.58,-5.06,9.26
T2M,1996,-8.64,-7.09,-1.48,8.0,18.07,21.04,22.3,21.45,13.03,9.11,6.55,-3.16,8.31
T2M,1997,-7.88,-1.81,2.09,6.23,16.92,20.31,21.64,20.45,13.65,7.51,3.17,-3.67,8.27
T2M,1998,-1.42,0.89,1.86,12.2,15.3,21.66,23.5,22.25,16.21,9.72,-1.41,-7.71,9.46
T2M,1999,-2.28,-1.12,3.91,10.42,13.43,22.77,25.43,23.16,17.96,10.3,1.58,-0.62,10.48
T2M,2000,-7.06,-0.17,2.79,11.78,16.61,20.88,22.77,23.44,15.16,9.75,7.4,0.57,10.35
T2M,2001,-1.18,-0.67,4.96,10.13,15.17,18.25,25.71,24.47,16.17,10.71,1.47,-9.86,9.67
T2M,2002,-5.29,3.63,5.69,9.3,18.15,21.2,25.7,21.62,16.23,9.07,4.78,-7.04,10.28
T2M,2003,-5.41,-7.56,0.33,6.64,19.3,21.11,22.39,22.68,15.28,8.36,4.45,-1.57,8.93
T2M,2004,-6.14,-2.43,3.63,9.24,14.51,19.32,22.72,21.74,16.44,10.81,4.21,-0.62,9.49
T2M,2005,-1.04,-4.57,0.61,9.52,15.98,18.21,22.75,22.74,18.27,10.35,3.11,0.1,9.76
T2M,2006,-9.53,-5.22,1.76,9.66,14.83,19.59,22.63,22.73,16.78,11.31,4.94,1.49,9.33
T2M,2007,1.65,-0.59,5.55,9.37,19.07,24.01,26.43,24.69,16.3,10.75,1.52,-2.73,11.42
T2M,2008,-3.24,0.45,5.58,10.8,15.45,21.52,23.01,24.05,15.1,11.46,4.18,0.11,10.74
T2M,2009,-3.1,0.15,2.74,10.31,16.24,22.04,24.48,22.29,18.44,11.02,5.29,-2.75,10.64
T2M,2010,-8.12,-2.59,2.62,9.41,16.47,21.35,23.63,25.92,16.44,6.74,8.79,-3.43,9.82
T2M,2011,-3.03,-4.19,1.98,8.63,16.21,20.65,23.74,22.04,18.86,8.37,1.24,0.76,9.69
T2M,2012,-4.5,-9.61,3.07,12.28,19.18,23.73,27.16,23.69,18.96,11.97,4.75,-5.84,10.46
T2M,2013,-4.85,-0.22,1.8,11.04,18.62,21.77,21.18,22.55,14.33,10.26,7.34,-1.29,10.26
T2M,2014,-3.1,-1.6,6.74,11.15,17.3,19.8,23.73,23.57,17.83,8.57,2.15,-2.45,10.38
T2M,2015,-1.57,-0.92,3.66,8.65,16.87,21.9,25.08,24.81,20.19,9.13,5.44,0.6,11.22
T2M,2016,-4.6,2.91,5.03,12.49,15.52,21.41,24.17,23.57,18.94,7.33,2.17,-1.81,10.6
T2M,2017,-7.29,-2.64,6.02,8.31,15.58,21.59,23.1,24.22,18.59,10.4,4.78,1.37,10.41
T2M,2018,-2.5,-2.25,-0.12,13.19,18.38,22.15,22.75,24.69,18.14,12.34,1.02,-3.07,10.46
T2M,2019,-4.66,0.68,5.67,9.85,17.61,23.87,23.06,23.92,18.43,11.8,7.2,2.2,11.69
T2M,2020,-0.67,2.85,7.04,10.17,14.26,21.79,23.76,23.85,20.16,14.32,3.67,0.39,11.82
T2M,2021,-1.07,-2.1,2.2,7.22,14.55,19.88,24.38,22.84,15.53,8.52,5.33,-0.32,9.82
T2M,2022,-1.45,1.67,2.23,9.92,16.41,22.75,24.58,24.88,16.71,11.64,4.75,0.14,11.24
T2M,2023,1.95,0.3,5.59,8.84,15.39,21.28,24.97,25.99,20.68,14.65,5.95,1.23,12.31
