# Area: Trinidad and Tobago
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  10.69   Longitude -61.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.16,25.96,26.61,26.71,26.39,26.03,26.24,26.45,26.53,26.35,26.69,25.85,26.25
T2M,1982,24.84,25.61,26.07,26.78,27.53,26.57,26.33,26.91,27.16,26.84,26.58,25.91,26.43
T2M,1983,25.76,26.23,27.38,27.98,26.98,26.71,26.87,27.06,27.51,27.06,26.84,26.01,26.87
T2M,1984,25.63,25.87,26.64,27.2,27.04,26.93,26.4,26.62,26.9,26.64,25.98,25.44,26.44
T2M,1985,24.57,24.98,26.17,26.98,27.28,26.82,26.57,26.82,26.75,26.49,26.06,25.21,26.23
T2M,1986,25.22,25.85,26.38,27.6,27.48,26.81,26.48,26.68,26.86,26.56,25.82,25.43,26.43
T2M,1987,25.46,26.51,27.18,27.75,27.88,27.26,26.98,27.4,27.57,27.26,27.15,26.67,27.09
T2M,1988,25.91,26.55,27.01,27.72,28.03,27.19,26.94,26.93,26.95,26.62,26.34,25.68,26.82
T2M,1989,25.25,25.4,25.95,26.88,27.36,27.02,26.88,27.39,27.46,27.27,26.84,25.97,26.64
T2M,1990,25.63,25.88,26.72,27.69,27.47,26.85,26.81,26.83,27.61,27.36,26.81,25.99,26.81
T2M,1991,25.62,26.4,26.72,27.01,27.64,27.47,26.91,26.96,26.84,26.4,26.27,25.55,26.65
T2M,1992,25.33,25.62,26.74,27.63,27.72,26.33,26.36,26.83,26.88,26.95,26.56,26.09,26.59
T2M,1993,25.56,26.17,26.84,27.78,27.62,27.19,27.1,26.73,26.82,26.82,26.22,26.02,26.74
