# Area: Viet Nam
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.06   Longitude 108.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,20.05,23.25,25.78,26.9,26.22,24.33,24.61,24.07,24.95,23.43,22.62,20.24,23.87
T2M,1982,19.67,22.94,25.48,25.76,27.83,25.57,25.93,26.24,24.17,24.36,23.45,20.79,24.36
T2M,1983,21.77,24.33,26.52,28.32,28.0,26.78,26.37,24.64,25.27,22.97,21.31,20.54,24.73
T2M,1984,19.97,22.33,25.07,27.47,26.39,25.6,25.97,24.41,24.5,23.04,21.88,21.07,23.97
T2M,1985,20.99,24.49,24.53,26.18,26.28,25.34,25.68,24.63,24.33,23.34,23.01,20.75,24.12
T2M,1986,19.62,22.64,24.79,27.1,26.18,26.51,25.6,25.01,24.73,23.4,21.47,20.82,23.99
T2M,1987,20.53,22.02,26.19,27.44,27.81,26.51,25.85,26.35,25.49,26.29,24.49,21.05,25.02
T2M,1988,23.09,24.01,26.02,27.47,27.74,26.23,27.28,27.08,26.06,23.64,22.09,20.12,25.07
T2M,1989,22.08,21.75,23.42,27.57,27.24,26.38,26.06,25.41,25.22,23.79,22.31,20.65,24.33
T2M,1990,22.08,23.81,25.26,28.14,27.2,24.75,24.74,24.46,23.99,22.88,21.55,19.65,24.04
T2M,1991,19.93,20.87,23.48,24.9,26.52,24.6,24.93,24.57,23.93,22.39,20.06,19.44,22.98
T2M,1992,18.0,21.8,23.89,26.3,25.74,24.43,23.92,23.63,23.3,22.01,19.77,20.03,22.73
T2M,1993,18.28,19.34,22.52,25.45,26.04,25.35,25.53,24.4,23.47,22.03,21.16,19.1,22.74
T2M,1994,18.7,21.98,22.49,25.67,25.56,23.98,24.08,24.49,23.39,22.22,20.79,20.2,22.8
T2M,1995,18.92,19.86,22.9,25.7,24.87,25.47,24.56,24.87,23.74,23.06,20.92,18.81,22.82
