# Area: Angola
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -11.2   Longitude 17.87 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1211.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,179.43,156.69,288.53,65.75,5.83,0.0,0.0,16.2,10.48,164.38,184.06,236.83,1308.18
PRECTOTCORR_SUM,1982,399.44,362.2,191.28,109.53,22.54,0.02,0.79,1.99,59.07,210.25,225.66,234.09,1816.86
PRECTOTCORR_SUM,1983,254.37,168.58,186.99,87.18,6.5,3.95,0.68,2.44,22.02,152.2,279.41,244.13,1408.45
PRECTOTCORR_SUM,1984,240.36,226.89,207.67,99.37,5.23,0.51,0.62,5.02,67.31,252.45,327.06,257.08,1689.57
PRECTOTCORR_SUM,1985,258.78,143.01,302.84,134.21,21.41,0.0,0.37,3.01,106.62,133.07,182.63,265.01,1550.96
PRECTOTCORR_SUM,1986,199.56,217.31,277.63,177.07,5.77,0.72,0.0,9.99,84.48,222.15,304.74,193.76,1693.18
PRECTOTCORR_SUM,1987,198.13,295.32,374.13,106.97,2.06,0.01,0.0,6.89,93.26,139.94,221.15,179.15,1617.01
PRECTOTCORR_SUM,1988,261.68,228.4,245.74,77.5,0.85,3.38,0.11,7.31,32.35,179.46,267.56,294.35,1598.69
PRECTOTCORR_SUM,1989,265.82,188.75,221.14,179.64,6.13,2.35,0.0,11.42,17.13,91.56,106.0,191.42,1281.36
PRECTOTCORR_SUM,1990,191.22,232.65,180.66,117.22,41.18,2.17,0.0,0.93,12.23,223.98,204.89,241.89,1449.02
PRECTOTCORR_SUM,1991,271.76,79.98,254.21,45.46,10.23,0.22,0.0,2.95,46.54,188.02,217.8,313.56,1430.73
PRECTOTCORR_SUM,1992,202.47,223.55,301.33,29.63,4.99,0.0,0.0,3.7,36.73,185.18,245.48,170.44,1403.5
PRECTOTCORR_SUM,1993,221.04,195.65,288.64,62.72,0.18,0.0,0.0,3.87,39.69,209.84,215.77,203.48,1440.88
PRECTOTCORR_SUM,1994,152.2,129.48,91.48,82.78,6.8,0.0,0.03,4.64,45.12,161.61,292.39,293.69,1260.22
PRECTOTCORR_SUM,1995,156.43,231.71,165.59,47.52,23.51,0.0,0.0,11.9,39.73,103.5,265.5,218.86,1264.25
PRECTOTCORR_SUM,1996,184.0,203.68,291.4,17.08,13.84,0.57,0.5,0.45,64.07,105.76,147.72,219.05,1248.12
PRECTOTCORR_SUM,1997,135.99,138.8,322.99,102.5,5.32,1.18,2.63,4.37,38.22,155.93,94.75,176.31,1178.99
PRECTOTCORR_SUM,1998,225.15,148.25,190.24,10.72,0.0,0.0,0.0,1.25,34.22,97.46,184.82,124.0,1016.11
PRECTOTCORR_SUM,1999,168.2,103.39,90.62,32.1,1.7,0.03,0.03,0.0,24.01,150.2,153.32,158.76,882.36
PRECTOTCORR_SUM,2000,72.33,115.47,138.14,9.5,7.68,1.76,0.01,4.6,18.12,139.49,198.7,210.15,915.95
PRECTOTCORR_SUM,2001,174.36,180.75,205.77,69.27,3.06,10.23,0.53,11.75,41.23,79.45,240.79,162.21,1179.4
PRECTOTCORR_SUM,2002,57.88,191.21,135.07,17.56,1.02,0.0,0.69,10.12,14.48,35.36,43.42,268.13,774.94
PRECTOTCORR_SUM,2003,49.71,141.03,73.36,32.18,1.34,0.73,0.0,0.17,4.19,17.5,111.35,133.49,565.05
PRECTOTCORR_SUM,2004,95.21,132.95,141.38,106.42,0.34,0.0,0.0,0.1,36.3,31.23,60.94,152.42,757.29
PRECTOTCORR_SUM,2005,113.24,150.15,52.29,19.81,0.17,0.01,0.0,2.65,4.59,107.78,81.22,70.05,601.96
PRECTOTCORR_SUM,2006,77.29,82.94,40.44,40.64,0.0,0.0,0.0,4.91,18.46,83.93,187.96,133.55,670.12
PRECTOTCORR_SUM,2007,200.13,124.31,102.79,87.12,38.44,0.62,0.0,1.03,39.62,250.28,522.46,248.37,1615.17
PRECTOTCORR_SUM,2008,208.44,111.75,116.22,24.02,13.57,0.0,0.0,0.98,1.12,75.64,205.71,117.98,875.43
PRECTOTCORR_SUM,2009,139.7,150.14,111.22,44.08,11.77,0.13,1.11,0.73,57.38,223.74,305.75,281.65,1327.4
PRECTOTCORR_SUM,2010,258.97,155.21,282.34,61.52,1.16,0.0,0.01,0.0,23.89,101.04,148.76,183.3,1216.2
PRECTOTCORR_SUM,2011,134.14,197.59,168.79,29.72,0.6,0.67,0.0,0.0,18.1,151.35,219.45,224.78,1145.19
PRECTOTCORR_SUM,2012,148.86,148.4,244.14,8.88,0.0,0.69,0.0,10.29,91.46,161.43,255.2,224.61,1293.96
PRECTOTCORR_SUM,2013,114.61,168.93,256.27,57.15,5.05,0.0,0.0,0.0,39.23,111.39,248.87,223.72,1225.22
PRECTOTCORR_SUM,2014,203.05,97.35,165.2,83.63,3.1,0.0,0.0,0.0,33.94,56.66,152.73,55.3,850.96
PRECTOTCORR_SUM,2015,140.0,91.81,143.66,54.75,0.0,0.0,0.0,2.04,20.88,43.04,94.89,185.2,776.27
PRECTOTCORR_SUM,2016,197.42,96.34,85.14,12.04,0.57,0.04,0.0,7.64,75.29,73.3,84.25,115.6,747.63
PRECTOTCORR_SUM,2017,88.74,119.86,51.2,42.16,1.13,0.46,0.12,0.11,7.12,89.82,126.85,367.16,894.73
PRECTOTCORR_SUM,2018,173.88,239.9,75.98,106.77,15.99,3.47,0.49,11.71,114.09,99.33,127.8,197.66,1167.07
PRECTOTCORR_SUM,2019,185.52,132.21,36.33,50.67,0.04,0.0,0.0,0.31,25.24,55.71,109.76,88.19,683.98
PRECTOTCORR_SUM,2020,213.07,262.88,623.81,88.21,4.59,0.01,0.0,0.0,21.16,20.52,126.13,115.8,1476.18
PRECTOTCORR_SUM,2021,438.22,110.5,83.02,30.42,21.81,0.07,0.02,0.01,22.23,129.2,81.04,209.74,1126.28
PRECTOTCORR_SUM,2022,106.92,97.45,299.74,70.38,2.16,0.12,0.0,3.34,2.09,41.04,189.41,109.0,921.65
PRECTOTCORR_SUM,2023,192.74,86.44,226.29,36.74,1.12,0.1,0.04,0.07,30.42,108.18,140.25,67.21,889.6
