# Area: Brunei Darussalam
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.9   Longitude 114.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 32.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,643.77,404.4,292.39,493.84,522.99,262.57,266.8,54.75,288.96,287.47,461.35,232.1,4211.39
PRECTOTCORR_SUM,1982,309.14,194.52,58.88,137.38,247.99,168.67,128.78,167.01,129.25,260.62,118.03,250.2,2170.47
PRECTOTCORR_SUM,1983,160.55,13.91,13.02,137.98,174.79,253.56,347.76,209.31,458.31,247.83,365.1,474.71,2856.83
PRECTOTCORR_SUM,1984,367.8,253.49,100.59,387.46,440.57,194.17,294.01,107.33,275.0,369.93,360.91,315.43,3466.69
PRECTOTCORR_SUM,1985,219.42,120.1,105.86,274.98,382.05,97.76,214.13,88.99,260.49,343.47,300.12,434.98,2842.35
PRECTOTCORR_SUM,1986,317.06,107.33,111.99,181.98,139.6,214.68,187.56,326.06,213.83,342.95,307.46,90.21,2540.71
PRECTOTCORR_SUM,1987,46.51,97.06,30.9,66.53,233.05,215.9,200.58,293.44,164.28,242.75,328.66,308.86,2228.52
PRECTOTCORR_SUM,1988,227.18,187.8,197.47,186.91,250.19,146.24,304.75,426.26,264.41,220.99,455.71,276.66,3144.57
PRECTOTCORR_SUM,1989,128.49,221.11,143.92,176.62,199.51,152.2,90.18,123.74,261.95,299.88,314.89,115.74,2228.23
PRECTOTCORR_SUM,1990,207.59,24.62,106.62,142.03,182.22,215.98,174.17,106.2,180.65,186.12,264.01,110.46,1900.67
PRECTOTCORR_SUM,1991,44.44,68.16,47.47,193.88,178.93,173.14,120.46,128.13,236.62,264.82,234.97,221.46,1912.48
PRECTOTCORR_SUM,1992,24.13,21.79,21.82,84.41,248.82,297.93,140.84,181.93,217.49,297.6,183.03,220.55,1940.34
