# Area: Canada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.13   Longitude -106.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 468.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,13.29,23.27,26.55,54.6,26.73,61.09,43.68,57.14,25.89,50.52,26.8,44.49,454.05
PRECTOTCORR_SUM,1982,24.0,28.71,28.76,41.95,80.5,64.9,98.21,87.59,23.55,23.33,33.11,28.89,563.5
PRECTOTCORR_SUM,1983,21.53,14.41,25.99,26.38,53.18,115.69,62.2,35.28,70.3,16.1,42.14,10.49,493.69
PRECTOTCORR_SUM,1984,32.34,30.28,21.43,33.47,89.29,89.7,48.49,52.28,44.66,64.9,38.3,19.26,564.4
PRECTOTCORR_SUM,1985,21.52,25.02,32.74,63.67,74.06,158.66,69.9,36.85,50.09,40.58,7.43,21.33,601.85
PRECTOTCORR_SUM,1986,37.62,9.83,24.8,57.22,83.15,66.46,177.54,39.91,28.05,37.04,35.14,27.41,624.17
PRECTOTCORR_SUM,1987,26.07,39.57,40.44,50.55,57.38,93.84,139.35,48.0,35.8,57.17,11.2,44.86,644.23
PRECTOTCORR_SUM,1988,32.63,20.41,45.29,32.86,42.5,59.31,114.98,112.77,52.38,25.32,48.01,15.9,602.36
PRECTOTCORR_SUM,1989,21.12,17.28,22.16,46.5,90.8,70.26,90.98,60.91,106.78,21.55,45.55,15.39,609.28
PRECTOTCORR_SUM,1990,28.98,14.5,25.08,61.68,37.8,81.47,56.21,34.77,30.3,62.07,47.81,21.0,501.67
PRECTOTCORR_SUM,1991,20.17,12.73,11.91,53.15,51.65,122.07,74.93,55.79,29.07,39.48,25.53,18.81,515.29
PRECTOTCORR_SUM,1992,29.15,19.31,27.08,48.97,38.72,72.2,48.29,31.01,97.97,17.77,25.14,20.29,475.9
PRECTOTCORR_SUM,1993,11.91,16.74,10.49,27.47,17.19,74.64,93.41,91.72,37.59,38.6,20.16,22.89,462.81
PRECTOTCORR_SUM,1994,15.45,23.14,44.05,29.19,123.31,95.77,99.95,14.86,39.23,67.19,18.51,19.74,590.39
PRECTOTCORR_SUM,1995,8.78,24.72,38.87,52.77,10.63,25.35,78.25,161.42,23.13,46.42,31.4,18.46,520.2
PRECTOTCORR_SUM,1996,19.94,21.0,29.91,46.49,72.14,60.76,98.47,52.69,87.3,34.66,19.93,19.52,562.81
PRECTOTCORR_SUM,1997,34.07,13.5,37.2,28.95,44.4,162.24,88.1,90.31,92.9,72.67,18.97,21.99,705.3
PRECTOTCORR_SUM,1998,20.93,26.57,15.71,17.25,21.57,45.19,46.13,32.65,34.11,27.67,18.7,30.98,337.46
PRECTOTCORR_SUM,1999,18.14,23.27,28.26,33.39,65.18,35.63,95.8,56.38,46.09,21.44,27.32,37.52,488.42
PRECTOTCORR_SUM,2000,13.01,10.79,34.57,35.05,90.65,62.21,118.51,108.18,83.11,15.17,20.86,21.23,613.34
PRECTOTCORR_SUM,2001,20.01,19.99,41.16,46.33,41.43,120.47,66.32,32.11,83.56,17.79,19.16,24.57,532.9
PRECTOTCORR_SUM,2002,13.23,25.37,21.59,62.52,31.17,67.54,89.7,102.88,54.67,28.23,29.07,23.31,549.28
PRECTOTCORR_SUM,2003,15.27,14.6,32.14,54.64,56.53,105.9,67.96,73.27,57.99,52.19,16.88,13.66,561.03
PRECTOTCORR_SUM,2004,41.28,30.63,32.02,43.54,69.58,73.85,55.2,65.81,82.01,32.25,33.87,66.9,626.94
PRECTOTCORR_SUM,2005,39.49,22.42,28.36,38.19,73.88,63.06,158.87,134.01,42.73,39.66,23.24,26.8,690.71
PRECTOTCORR_SUM,2006,26.42,30.97,24.03,12.79,124.7,64.14,148.77,148.15,76.86,15.62,57.66,19.47,749.58
PRECTOTCORR_SUM,2007,27.06,29.48,48.14,21.63,66.44,91.34,69.59,99.9,104.3,41.5,45.22,26.93,671.53
PRECTOTCORR_SUM,2008,34.38,25.97,35.13,45.69,45.32,28.49,82.81,82.56,47.37,28.88,57.74,26.65,540.99
PRECTOTCORR_SUM,2009,27.31,27.42,46.36,41.58,60.62,144.93,88.69,66.6,43.9,54.87,22.57,19.01,643.86
PRECTOTCORR_SUM,2010,27.32,19.84,44.88,59.64,63.11,42.03,99.12,67.49,67.16,39.61,26.36,28.5,585.06
PRECTOTCORR_SUM,2011,35.79,25.19,20.48,23.94,30.22,143.5,171.83,67.51,23.92,57.11,33.68,43.42,676.59
PRECTOTCORR_SUM,2012,43.7,14.61,50.49,53.84,59.34,121.68,95.02,74.02,78.08,87.78,35.59,26.16,740.31
PRECTOTCORR_SUM,2013,26.24,24.47,18.2,53.54,28.83,173.56,83.6,42.78,23.29,25.28,30.3,43.08,573.17
PRECTOTCORR_SUM,2014,51.42,17.88,32.46,45.76,80.84,96.26,58.77,57.95,37.98,32.9,37.01,30.67,579.9
PRECTOTCORR_SUM,2015,28.8,24.89,33.95,31.56,32.32,40.8,63.47,44.82,48.19,57.9,23.28,22.96,452.94
PRECTOTCORR_SUM,2016,24.29,26.64,50.64,46.11,53.04,95.72,117.18,97.17,68.35,89.63,22.43,21.08,712.28
PRECTOTCORR_SUM,2017,29.44,23.79,55.35,54.38,141.3,140.64,127.69,41.11,61.59,75.43,41.34,36.93,828.99
PRECTOTCORR_SUM,2018,41.42,20.38,32.71,32.63,49.65,107.64,132.67,85.33,83.02,44.48,54.51,27.73,712.17
PRECTOTCORR_SUM,2019,32.84,15.8,16.96,43.65,56.58,138.71,115.96,117.16,45.41,35.75,30.06,25.14,674.02
PRECTOTCORR_SUM,2020,35.91,22.47,44.9,63.74,107.14,128.38,142.57,80.57,51.42,60.47,37.6,33.54,808.71
PRECTOTCORR_SUM,2021,31.08,27.07,44.29,41.73,104.14,91.46,38.53,86.42,77.85,51.89,40.08,50.42,684.96
PRECTOTCORR_SUM,2022,33.05,29.83,46.45,23.07,58.74,97.71,56.66,98.68,40.79,15.9,30.46,28.1,559.44
PRECTOTCORR_SUM,2023,31.11,42.18,31.33,26.59,56.98,99.51,87.37,68.32,18.82,37.04,38.58,13.1,550.93
