# Area: China, mainland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.0   Longitude 103.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3162.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,1.71,3.12,31.5,104.83,84.4,117.26,142.21,106.14,133.85,24.88,7.74,6.02,763.66
PRECTOTCORR_SUM,1982,1.11,9.01,7.21,20.01,47.4,37.88,55.26,69.26,95.86,23.56,5.86,1.5,373.92
PRECTOTCORR_SUM,1983,6.79,5.71,17.09,69.71,42.96,65.39,87.91,66.24,81.42,53.33,0.25,1.52,498.32
PRECTOTCORR_SUM,1984,6.53,4.65,8.8,37.45,51.75,125.89,91.04,75.08,65.66,29.45,4.59,2.63,503.52
PRECTOTCORR_SUM,1985,2.39,2.31,7.99,14.33,88.46,70.69,86.34,82.87,98.29,33.52,2.57,3.55,493.31
PRECTOTCORR_SUM,1986,0.44,3.69,12.78,21.64,82.85,74.75,71.01,92.48,45.48,20.34,4.77,2.5,432.73
PRECTOTCORR_SUM,1987,0.56,3.41,10.57,43.84,100.69,123.08,55.08,72.93,63.06,16.53,1.54,0.95,492.24
PRECTOTCORR_SUM,1988,2.37,10.84,21.56,19.14,114.47,76.55,96.19,105.04,71.84,59.65,3.15,0.83,581.63
PRECTOTCORR_SUM,1989,2.92,8.87,17.86,51.25,33.81,116.35,124.83,74.17,48.33,54.68,13.34,6.02,552.43
PRECTOTCORR_SUM,1990,2.44,9.47,21.86,51.88,76.49,77.14,106.96,113.98,67.17,37.01,3.94,0.24,568.58
PRECTOTCORR_SUM,1991,6.21,9.99,16.21,46.03,87.5,47.51,89.37,61.32,38.46,27.67,5.52,3.97,439.76
PRECTOTCORR_SUM,1992,0.57,3.43,19.21,10.97,58.54,83.5,129.67,117.49,110.24,41.4,3.9,0.31,579.23
PRECTOTCORR_SUM,1993,8.5,8.88,19.74,16.21,79.26,71.18,80.73,75.02,44.49,19.62,4.03,0.96,428.62
PRECTOTCORR_SUM,1994,7.91,4.38,11.0,36.1,45.51,87.79,126.98,80.89,46.28,20.66,5.23,3.93,476.66
PRECTOTCORR_SUM,1995,3.96,7.14,14.77,13.41,17.4,45.16,113.13,128.22,46.59,40.61,2.69,1.0,434.08
PRECTOTCORR_SUM,1996,3.34,3.01,11.0,22.23,45.21,77.18,84.4,47.04,41.09,35.24,1.68,0.08,371.5
PRECTOTCORR_SUM,1997,1.77,3.81,15.81,36.05,57.45,78.06,141.74,97.8,38.57,27.65,5.53,1.85,506.09
PRECTOTCORR_SUM,1998,1.57,4.19,20.59,52.16,106.5,54.17,122.64,134.35,39.52,31.59,0.84,1.19,569.31
PRECTOTCORR_SUM,1999,2.29,1.47,8.91,20.03,56.97,97.23,178.92,65.18,63.19,69.01,4.94,1.22,569.36
PRECTOTCORR_SUM,2000,1.41,7.81,12.56,10.87,49.93,101.81,38.2,95.04,100.8,50.44,7.81,2.92,479.6
PRECTOTCORR_SUM,2001,5.27,5.67,3.53,50.51,58.94,79.51,86.43,80.15,104.64,36.54,3.35,2.17,516.71
PRECTOTCORR_SUM,2002,4.26,2.35,13.53,23.56,95.47,106.66,41.16,39.66,74.12,22.58,4.8,1.15,429.3
PRECTOTCORR_SUM,2003,2.99,4.95,22.4,34.46,88.72,63.66,162.13,130.09,94.87,49.67,7.07,3.05,664.06
PRECTOTCORR_SUM,2004,3.66,4.92,11.68,30.28,56.08,85.33,136.85,91.98,71.86,28.81,4.52,3.99,529.96
PRECTOTCORR_SUM,2005,3.0,10.92,24.88,20.77,94.64,81.43,110.16,89.21,134.59,57.49,5.69,0.19,632.97
PRECTOTCORR_SUM,2006,0.84,6.94,7.1,37.52,75.1,86.37,117.89,127.08,65.38,44.88,6.17,4.11,579.38
PRECTOTCORR_SUM,2007,2.88,5.58,18.1,15.26,63.36,122.53,102.83,84.75,91.91,71.55,1.48,0.92,581.15
PRECTOTCORR_SUM,2008,13.16,6.26,18.98,24.82,29.96,114.99,105.14,91.58,107.62,40.69,11.19,0.2,564.59
PRECTOTCORR_SUM,2009,0.71,4.53,13.86,30.42,87.0,74.53,67.83,76.22,62.17,38.43,9.79,0.43,465.92
PRECTOTCORR_SUM,2010,0.12,2.0,22.14,13.48,100.9,73.87,105.28,113.64,87.38,39.67,0.48,1.56,560.52
PRECTOTCORR_SUM,2011,6.46,4.93,13.4,24.39,58.75,88.89,120.82,102.11,130.98,37.88,26.79,1.89,617.29
PRECTOTCORR_SUM,2012,12.16,8.55,16.76,25.67,76.06,83.13,193.58,113.9,70.43,37.08,4.79,0.87,642.98
PRECTOTCORR_SUM,2013,1.72,12.2,1.27,44.01,98.91,90.09,171.67,64.3,86.62,22.58,6.09,2.23,601.69
PRECTOTCORR_SUM,2014,0.71,12.39,10.45,95.56,63.84,89.88,107.34,84.19,115.61,48.33,4.76,2.53,635.59
