# Area: Croatia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  45.1   Longitude 15.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 484.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,62.4,77.35,100.27,40.5,103.13,154.11,55.24,86.67,203.78,126.33,57.1,227.88,1294.76
PRECTOTCORR_SUM,1982,75.38,21.23,118.41,87.04,102.85,101.77,36.26,80.87,72.64,238.08,118.87,197.86,1251.26
PRECTOTCORR_SUM,1983,28.82,130.1,101.09,60.66,97.42,62.14,28.97,49.29,72.79,65.92,25.83,79.88,802.91
PRECTOTCORR_SUM,1984,156.08,141.42,72.99,99.85,134.52,82.7,41.0,113.01,253.74,113.12,109.6,46.95,1364.98
PRECTOTCORR_SUM,1985,90.57,67.97,168.49,90.74,85.21,105.66,14.49,72.74,22.94,53.25,167.04,72.96,1012.06
PRECTOTCORR_SUM,1986,92.03,129.32,76.87,112.65,58.03,133.01,89.82,72.7,72.47,85.01,54.13,64.4,1040.44
PRECTOTCORR_SUM,1987,107.49,85.95,46.12,56.11,139.97,79.81,65.37,36.81,90.19,86.47,157.0,33.11,984.4
PRECTOTCORR_SUM,1988,83.84,126.75,97.39,74.52,93.7,91.76,15.95,79.82,72.48,60.44,46.47,51.4,894.52
PRECTOTCORR_SUM,1989,2.79,53.01,51.51,96.87,112.29,107.49,67.45,116.72,89.06,45.23,75.35,43.5,861.27
PRECTOTCORR_SUM,1990,17.5,33.29,43.57,117.67,40.09,53.3,79.02,35.46,139.53,145.83,140.48,109.75,955.49
PRECTOTCORR_SUM,1991,70.86,74.53,42.32,86.98,176.96,73.38,79.15,34.72,54.87,159.48,186.83,29.85,1069.93
