# Area: Finland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  64.96   Longitude 26.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,73.6,28.35,62.37,35.42,19.94,175.72,177.88,99.73,54.71,95.48,63.22,78.45,964.87
PRECTOTCORR_SUM,1982,28.07,30.0,42.08,61.39,117.76,42.54,67.01,78.35,79.17,57.96,90.07,56.14,750.54
PRECTOTCORR_SUM,1983,85.74,12.99,48.22,50.23,129.88,102.41,107.71,76.6,98.98,130.74,53.3,55.96,952.76
PRECTOTCORR_SUM,1984,74.4,40.2,32.91,30.9,54.99,66.21,140.32,68.67,78.42,86.75,47.54,51.38,772.69
PRECTOTCORR_SUM,1985,19.75,28.31,50.73,45.34,59.65,53.76,67.66,114.47,83.78,95.74,41.77,53.48,714.44
PRECTOTCORR_SUM,1986,30.35,13.97,53.07,46.88,117.04,46.48,58.75,129.97,62.56,95.9,109.78,27.07,791.82
PRECTOTCORR_SUM,1987,16.9,63.03,35.35,22.99,65.02,127.08,118.02,109.54,66.06,50.85,34.26,27.43,736.53
PRECTOTCORR_SUM,1988,65.43,33.64,33.97,27.13,40.01,75.12,102.3,125.1,82.9,50.5,36.98,55.77,728.85
PRECTOTCORR_SUM,1989,89.09,75.49,81.18,33.45,88.49,102.3,83.43,103.42,58.11,50.38,57.66,37.38,860.38
PRECTOTCORR_SUM,1990,51.65,96.75,56.71,35.18,16.74,60.72,130.67,94.55,14.94,44.49,40.96,59.26,702.62
PRECTOTCORR_SUM,1991,36.47,19.61,61.52,32.02,77.55,128.69,70.47,60.09,73.78,87.2,92.27,63.84,803.51
PRECTOTCORR_SUM,1992,50.35,48.82,83.19,30.07,54.23,50.82,116.28,123.05,129.02,43.09,61.29,69.99,860.2
PRECTOTCORR_SUM,1993,53.11,26.48,59.24,42.13,55.63,83.38,115.78,92.13,33.84,81.08,19.3,69.63,731.73
PRECTOTCORR_SUM,1994,45.83,8.19,43.61,58.43,38.38,111.13,39.49,43.89,71.87,79.62,45.07,59.24,644.75
PRECTOTCORR_SUM,1995,46.81,66.42,43.87,34.08,93.24,61.37,65.92,71.6,47.93,112.72,47.22,25.5,716.68
PRECTOTCORR_SUM,1996,21.1,36.81,27.94,38.69,74.44,98.53,119.86,38.72,28.42,93.9,102.5,53.19,734.1
PRECTOTCORR_SUM,1997,45.36,45.1,72.98,60.88,56.44,67.19,75.46,47.43,103.87,46.36,54.45,39.83,715.35
PRECTOTCORR_SUM,1998,68.95,75.16,38.68,23.16,86.0,106.78,164.47,106.2,69.88,110.87,53.56,49.78,953.49
PRECTOTCORR_SUM,1999,59.89,43.39,40.64,41.5,69.71,63.57,145.01,58.79,48.38,82.95,100.23,72.06,826.12
