# Area: French Guiana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.94   Longitude -52.33 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,239.06,463.83,78.94,369.58,427.36,318.85,200.79,144.71,63.65,78.02,98.88,337.3,2820.97
PRECTOTCORR_SUM,1982,303.47,247.38,401.8,442.23,582.33,275.34,169.46,102.59,55.99,36.98,104.14,212.64,2934.35
PRECTOTCORR_SUM,1983,164.02,184.94,351.21,660.24,298.65,238.96,166.82,77.79,85.0,46.24,73.82,367.35,2715.04
PRECTOTCORR_SUM,1984,505.79,103.97,237.73,195.26,909.37,291.34,219.28,135.37,144.87,178.04,190.45,358.97,3470.44
PRECTOTCORR_SUM,1985,146.22,143.62,230.07,147.23,375.6,453.83,173.63,193.01,68.57,118.47,130.98,298.61,2479.84
PRECTOTCORR_SUM,1986,328.18,163.98,142.65,73.87,494.04,395.52,175.42,106.66,28.19,127.76,232.69,295.87,2564.83
PRECTOTCORR_SUM,1987,200.74,132.95,37.51,365.12,407.54,254.53,219.59,108.15,44.29,48.07,58.6,245.44,2122.53
PRECTOTCORR_SUM,1988,257.48,225.95,163.74,137.35,444.68,358.05,198.75,186.11,91.79,72.58,156.33,400.49,2693.3
PRECTOTCORR_SUM,1989,588.16,499.66,530.58,324.79,505.23,526.44,218.25,77.9,81.26,134.42,217.4,276.37,3980.46
PRECTOTCORR_SUM,1990,573.02,156.87,396.34,706.38,637.1,344.97,125.78,105.85,34.21,65.51,138.99,230.77,3515.79
PRECTOTCORR_SUM,1991,249.79,181.6,163.98,248.3,583.99,455.09,245.19,122.74,91.96,27.79,39.89,224.45,2634.77
