# Area: Greece
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  39.07   Longitude 21.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 865.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,110.9,87.54,23.91,53.67,42.14,7.1,6.31,17.14,43.38,99.09,119.15,120.38,730.71
PRECTOTCORR_SUM,1982,55.2,95.36,105.23,81.91,67.85,6.15,3.15,47.42,24.23,94.92,172.76,125.36,879.54
PRECTOTCORR_SUM,1983,27.94,53.66,48.87,14.13,13.84,71.5,30.29,24.99,40.89,49.17,104.4,180.8,660.48
PRECTOTCORR_SUM,1984,93.46,139.93,50.01,74.05,30.77,5.29,2.33,18.46,56.3,10.8,72.85,62.08,616.33
PRECTOTCORR_SUM,1985,143.49,32.25,92.15,45.42,18.88,1.83,2.83,2.95,13.1,50.03,171.52,29.43,603.88
PRECTOTCORR_SUM,1986,105.92,116.7,34.8,21.94,35.07,41.22,17.86,16.68,22.8,139.94,60.66,74.29,687.88
PRECTOTCORR_SUM,1987,103.52,64.48,129.3,60.34,49.94,25.27,5.19,10.14,5.68,77.33,176.28,46.1,753.57
PRECTOTCORR_SUM,1988,82.64,84.45,65.97,31.96,7.12,9.63,1.16,3.19,7.69,35.32,151.97,67.33,548.43
PRECTOTCORR_SUM,1989,2.83,14.65,39.54,47.15,15.84,14.02,32.3,3.94,8.71,81.58,70.45,45.41,376.42
PRECTOTCORR_SUM,1990,2.04,19.6,19.51,50.64,29.34,3.52,7.81,33.34,9.5,81.56,105.29,182.17,544.32
PRECTOTCORR_SUM,1991,30.09,85.02,55.75,101.57,68.99,5.82,24.78,36.08,17.17,34.98,73.45,29.39,563.09
PRECTOTCORR_SUM,1992,15.14,11.55,77.88,89.08,51.4,23.14,11.11,1.67,6.23,28.43,68.31,91.1,475.04
PRECTOTCORR_SUM,1993,34.95,65.8,59.64,25.86,43.77,6.36,0.85,1.98,15.3,14.86,192.89,56.37,518.63
PRECTOTCORR_SUM,1994,106.94,107.19,21.43,55.58,32.96,2.88,10.17,11.6,4.67,203.94,119.56,102.13,779.05
PRECTOTCORR_SUM,1995,116.22,15.59,85.11,35.57,12.82,13.81,9.06,41.76,43.98,8.24,119.62,114.65,616.43
PRECTOTCORR_SUM,1996,76.96,96.08,81.91,33.07,19.1,3.96,5.61,27.53,46.11,97.66,73.83,89.82,651.64
PRECTOTCORR_SUM,1997,66.88,28.41,37.72,75.35,9.73,13.48,6.89,26.21,14.34,58.89,53.82,132.91,524.63
PRECTOTCORR_SUM,1998,48.15,72.96,43.93,9.68,51.24,5.36,0.42,1.6,60.94,35.0,160.8,99.4,589.48
PRECTOTCORR_SUM,1999,65.3,126.03,94.0,41.18,6.96,10.12,7.01,11.48,37.71,83.94,118.52,116.38,718.63
PRECTOTCORR_SUM,2000,22.64,59.35,12.54,11.12,12.32,11.06,1.43,1.96,17.17,54.79,57.91,76.76,339.05
PRECTOTCORR_SUM,2001,66.16,44.0,22.83,79.87,34.31,2.26,36.24,15.21,30.69,7.16,60.62,151.73,551.08
PRECTOTCORR_SUM,2002,51.32,14.38,53.03,69.01,28.67,3.81,85.04,33.24,93.33,110.45,69.55,206.32,818.15
PRECTOTCORR_SUM,2003,161.49,87.88,34.73,41.88,32.37,16.4,6.05,22.5,30.73,103.03,63.51,105.07,705.64
PRECTOTCORR_SUM,2004,108.25,25.53,73.49,46.96,58.83,24.24,19.59,2.77,52.82,55.61,141.9,135.69,745.68
PRECTOTCORR_SUM,2005,93.31,108.15,71.29,22.8,32.42,6.62,15.55,18.84,79.51,52.46,123.04,141.75,765.74
PRECTOTCORR_SUM,2006,97.68,92.99,51.65,56.02,4.7,14.98,17.58,39.53,116.0,62.85,45.82,63.18,662.98
PRECTOTCORR_SUM,2007,20.41,71.06,48.12,26.88,60.92,27.33,1.63,5.71,41.12,92.16,122.81,70.4,588.55
PRECTOTCORR_SUM,2008,26.32,23.65,68.44,36.35,8.83,12.31,5.07,12.08,63.48,51.45,103.79,112.99,524.76
PRECTOTCORR_SUM,2009,190.78,69.95,94.99,41.85,23.81,25.43,8.93,7.14,40.41,148.6,88.62,101.73,842.24
PRECTOTCORR_SUM,2010,75.18,84.46,75.35,15.64,64.61,20.45,36.79,5.36,60.0,209.07,95.83,54.8,797.54
PRECTOTCORR_SUM,2011,62.32,62.38,81.93,42.38,45.25,15.5,0.04,15.26,45.82,96.81,2.98,110.26,580.93
PRECTOTCORR_SUM,2012,42.88,124.8,65.41,62.94,50.89,4.02,1.21,4.68,53.93,40.11,77.72,162.94,691.53
PRECTOTCORR_SUM,2013,134.07,118.42,68.72,16.48,18.71,24.3,21.3,0.41,17.45,49.01,103.74,44.21,616.82
PRECTOTCORR_SUM,2014,55.51,45.74,75.86,75.24,28.58,23.47,26.02,11.5,95.77,112.27,69.66,142.14,761.76
PRECTOTCORR_SUM,2015,111.21,125.02,97.0,18.91,15.58,27.52,5.28,34.67,92.26,103.08,106.15,5.79,742.47
PRECTOTCORR_SUM,2016,107.77,52.43,93.27,19.72,72.96,41.56,11.28,32.86,114.85,130.59,105.75,6.82,789.86
PRECTOTCORR_SUM,2017,124.41,42.26,32.23,23.23,31.64,22.38,45.94,5.87,12.83,32.29,169.15,152.16,694.39
PRECTOTCORR_SUM,2018,74.41,226.09,69.61,6.34,51.8,64.32,21.64,41.31,28.42,27.82,134.34,96.89,842.99
PRECTOTCORR_SUM,2019,192.04,20.0,29.4,50.73,45.03,34.5,37.26,2.77,28.94,78.86,207.34,127.39,854.26
PRECTOTCORR_SUM,2020,13.1,33.56,132.59,64.74,27.45,47.79,22.47,73.8,132.02,87.52,25.14,240.34,900.52
PRECTOTCORR_SUM,2021,216.33,157.98,155.63,135.96,14.28,62.23,11.9,13.45,26.11,207.3,173.35,188.97,1363.49
PRECTOTCORR_SUM,2022,49.71,58.6,44.72,17.95,13.82,20.79,9.33,36.41,28.72,64.59,133.18,72.86,550.68
PRECTOTCORR_SUM,2023,150.66,7.01,93.71,60.58,66.96,46.63,5.95,26.05,86.15,27.49,109.33,57.23,737.75
