# Area: Guadeloupe
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  16.0   Longitude -61.72 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,29.14,137.35,22.14,213.91,136.66,163.05,175.69,191.71,135.04,150.08,111.5,179.58,1645.85
PRECTOTCORR_SUM,1982,79.04,126.33,31.39,69.61,129.52,92.54,136.59,201.09,137.43,126.7,209.94,245.04,1585.22
PRECTOTCORR_SUM,1983,31.02,27.29,53.17,33.48,274.06,93.44,180.39,109.85,151.48,59.69,60.32,76.42,1150.61
PRECTOTCORR_SUM,1984,113.88,88.58,56.5,37.8,85.36,72.38,182.51,170.27,186.23,135.58,329.65,77.21,1535.95
PRECTOTCORR_SUM,1985,72.47,62.11,128.72,55.25,67.37,53.26,116.8,146.38,193.22,346.97,113.59,27.07,1383.21
PRECTOTCORR_SUM,1986,54.5,19.35,60.16,68.75,132.44,86.26,98.63,140.87,150.47,130.74,174.0,57.16,1173.33
PRECTOTCORR_SUM,1987,122.97,5.57,30.01,33.93,232.5,184.82,96.87,69.32,87.92,177.74,244.68,72.99,1359.32
PRECTOTCORR_SUM,1988,59.61,60.35,72.87,31.7,43.18,76.39,197.45,315.0,175.32,162.66,152.26,59.75,1406.54
PRECTOTCORR_SUM,1989,80.61,65.48,89.22,55.92,16.08,58.24,74.01,133.41,326.68,69.78,83.63,47.68,1100.74
PRECTOTCORR_SUM,1990,62.42,38.16,61.74,108.25,73.88,94.33,83.17,132.59,103.02,256.3,69.77,44.22,1127.85
PRECTOTCORR_SUM,1991,41.25,24.8,54.31,40.84,55.26,91.81,95.27,66.96,136.65,57.63,164.37,57.99,887.14
PRECTOTCORR_SUM,1992,41.81,36.21,20.87,44.14,142.4,95.9,74.07,124.31,154.03,58.72,218.83,130.34,1141.63
PRECTOTCORR_SUM,1993,66.42,41.09,34.91,62.39,207.63,111.42,117.74,87.26,145.54,82.78,83.35,39.11,1079.64
PRECTOTCORR_SUM,1994,37.69,35.49,18.98,26.39,48.12,28.47,27.0,49.53,206.45,92.71,68.28,64.68,703.79
PRECTOTCORR_SUM,1995,21.24,28.91,38.38,14.88,30.04,31.74,80.32,187.72,228.98,102.48,34.06,62.35,861.1
PRECTOTCORR_SUM,1996,33.95,31.42,34.6,21.15,45.19,132.37,174.21,74.96,229.42,120.42,116.15,138.57,1152.41
PRECTOTCORR_SUM,1997,47.56,50.54,21.84,14.39,46.03,51.01,137.4,86.17,131.3,164.05,43.35,93.93,887.57
PRECTOTCORR_SUM,1998,64.13,23.86,39.96,55.27,72.93,141.34,106.16,145.52,129.5,220.46,158.81,176.56,1334.5
PRECTOTCORR_SUM,1999,54.37,40.55,48.22,56.23,23.63,90.2,107.1,86.66,115.81,238.01,340.16,48.51,1249.45
PRECTOTCORR_SUM,2000,74.55,41.31,50.1,37.33,56.08,30.03,43.88,98.66,116.01,61.59,115.37,47.67,772.58
PRECTOTCORR_SUM,2001,28.21,30.94,18.48,29.82,20.15,37.91,99.29,112.7,54.49,203.64,44.02,191.48,871.13
PRECTOTCORR_SUM,2002,40.68,32.46,40.34,82.71,54.68,40.66,93.68,63.15,137.02,120.97,41.5,36.7,784.55
PRECTOTCORR_SUM,2003,32.86,24.73,19.14,28.78,59.24,91.24,101.33,102.7,64.69,146.07,448.26,68.04,1187.08
PRECTOTCORR_SUM,2004,52.07,51.63,46.11,27.71,178.5,72.58,188.23,97.15,254.07,178.84,281.9,56.64,1485.43
PRECTOTCORR_SUM,2005,85.66,70.0,11.16,71.43,89.71,299.48,139.06,120.51,102.73,327.76,152.55,41.69,1511.74
PRECTOTCORR_SUM,2006,82.16,25.8,45.36,54.63,45.61,141.5,152.79,146.74,88.11,197.83,64.56,86.54,1131.63
PRECTOTCORR_SUM,2007,45.87,11.39,49.19,24.81,94.79,40.04,126.04,193.96,139.43,252.56,24.53,54.09,1056.7
PRECTOTCORR_SUM,2008,57.88,39.64,28.49,38.64,45.01,110.03,90.6,126.41,239.77,316.11,83.67,41.35,1217.6
