# Area: Iceland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  64.14   Longitude -21.9 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,214.31,195.49,140.58,128.78,98.29,79.46,61.95,163.36,69.21,43.77,111.22,90.34,1396.76
PRECTOTCORR_SUM,1982,116.0,181.37,155.84,135.29,86.63,65.45,157.39,89.22,99.71,95.89,146.34,164.09,1493.22
PRECTOTCORR_SUM,1983,269.39,163.7,197.11,61.82,25.28,162.53,164.25,166.68,73.97,214.26,127.57,229.54,1856.1
PRECTOTCORR_SUM,1984,128.88,246.61,151.47,154.51,131.84,81.3,162.82,149.68,117.74,154.73,95.65,196.4,1771.63
PRECTOTCORR_SUM,1985,158.42,130.64,114.45,110.71,59.11,43.4,76.53,48.39,115.8,298.31,184.29,64.42,1404.47
PRECTOTCORR_SUM,1986,146.06,105.4,172.84,104.93,39.34,109.93,76.84,58.48,97.85,161.69,120.17,129.43,1322.96
PRECTOTCORR_SUM,1987,101.83,100.75,130.93,171.6,77.14,16.08,107.98,64.01,141.5,135.06,129.45,187.74,1364.07
PRECTOTCORR_SUM,1988,94.26,112.01,143.23,68.22,140.52,137.39,54.93,123.02,125.16,138.0,163.26,253.7,1553.7
PRECTOTCORR_SUM,1989,291.01,151.63,138.1,84.12,146.48,68.59,121.05,146.83,199.66,157.04,94.88,145.81,1745.2
PRECTOTCORR_SUM,1990,151.98,68.66,180.79,169.97,107.54,71.94,108.57,113.71,167.47,103.63,156.12,194.88,1595.26
PRECTOTCORR_SUM,1991,221.85,302.07,155.69,114.68,173.6,12.59,96.57,146.87,119.54,140.62,174.74,295.25,1954.07
PRECTOTCORR_SUM,1992,320.94,297.71,228.55,91.95,116.29,120.76,71.92,126.77,84.13,95.0,165.41,205.12,1924.55
PRECTOTCORR_SUM,1993,196.67,224.37,202.27,101.92,139.66,96.73,32.45,102.98,185.75,119.38,355.03,116.43,1873.64
PRECTOTCORR_SUM,1994,164.41,144.25,135.85,60.3,62.7,91.33,110.51,51.22,92.69,150.26,177.13,144.72,1385.37
PRECTOTCORR_SUM,1995,148.62,97.63,128.5,77.86,48.88,83.75,97.99,186.54,149.25,100.95,59.85,195.68,1375.5
PRECTOTCORR_SUM,1996,134.35,175.55,131.5,135.34,80.64,95.4,130.95,150.4,167.6,180.44,76.73,103.82,1562.72
PRECTOTCORR_SUM,1997,171.16,168.77,224.17,127.34,77.73,49.83,144.77,156.33,169.76,200.03,176.17,226.09,1892.15
PRECTOTCORR_SUM,1998,104.14,156.26,112.11,60.09,96.39,47.25,78.41,214.83,88.05,138.73,199.49,179.95,1475.7
PRECTOTCORR_SUM,1999,142.32,178.28,74.02,75.26,165.69,125.83,103.11,126.88,156.46,173.7,148.44,159.67,1629.66
PRECTOTCORR_SUM,2000,158.85,149.39,294.13,67.05,128.49,84.64,103.0,123.57,149.6,137.46,53.65,70.1,1519.93
PRECTOTCORR_SUM,2001,167.41,121.23,66.99,97.8,134.39,52.48,137.76,114.86,141.17,114.79,200.92,144.63,1494.43
PRECTOTCORR_SUM,2002,200.73,105.2,155.44,122.07,70.74,76.11,106.96,175.13,181.48,116.28,113.28,185.03,1608.45
PRECTOTCORR_SUM,2003,137.17,212.1,217.44,133.47,48.94,91.94,172.52,109.96,181.51,90.41,130.14,253.1,1778.7
PRECTOTCORR_SUM,2004,173.11,178.31,213.98,132.83,117.93,94.54,74.27,119.59,209.82,135.31,215.38,217.39,1882.46
PRECTOTCORR_SUM,2005,166.8,146.0,108.24,94.72,25.87,98.9,98.74,147.7,126.44,124.1,163.77,249.07,1550.35
