# Area: Jamaica
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.11   Longitude -77.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 202.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,32.81,58.33,53.33,12.78,119.03,176.12,74.91,160.39,77.26,82.16,159.42,48.82,1055.36
PRECTOTCORR_SUM,1982,35.49,2.08,6.33,15.54,91.85,39.26,62.88,15.86,77.77,72.78,27.15,13.71,460.7
PRECTOTCORR_SUM,1983,15.75,61.34,17.92,37.06,4.25,44.87,20.76,39.72,40.79,66.42,7.38,10.27,366.53
PRECTOTCORR_SUM,1984,11.43,41.93,15.54,24.37,22.06,92.28,37.11,28.05,116.36,34.93,23.76,12.66,460.48
PRECTOTCORR_SUM,1985,6.5,32.35,10.34,21.71,49.57,19.59,49.89,68.11,70.34,63.37,47.1,19.76,458.63
PRECTOTCORR_SUM,1986,27.45,3.64,20.89,26.34,119.75,98.29,12.75,31.78,34.93,19.52,33.19,13.27,441.8
PRECTOTCORR_SUM,1987,24.87,20.51,20.29,73.09,17.62,33.4,20.55,20.44,46.15,150.31,62.28,39.64,529.15
PRECTOTCORR_SUM,1988,21.68,5.87,13.93,8.61,38.69,52.14,41.7,68.12,71.73,13.02,51.0,18.43,404.92
PRECTOTCORR_SUM,1989,39.11,17.09,44.57,5.65,39.34,24.98,15.68,44.71,81.09,26.77,28.65,9.67,377.31
PRECTOTCORR_SUM,1990,10.88,18.49,26.39,13.23,27.95,38.81,20.98,24.38,42.85,61.78,91.34,28.65,405.73
PRECTOTCORR_SUM,1991,5.93,6.7,6.43,12.55,71.95,17.55,14.74,21.85,41.28,49.98,82.68,13.78,345.42
PRECTOTCORR_SUM,1992,5.0,11.8,15.99,8.28,55.46,29.37,13.12,22.7,38.15,29.27,6.45,15.83,251.42
PRECTOTCORR_SUM,1993,34.2,30.36,35.07,41.03,162.11,40.45,24.53,24.31,59.03,53.18,76.53,25.99,606.79
PRECTOTCORR_SUM,1994,49.18,11.45,30.46,27.67,68.43,13.86,21.3,36.82,32.73,43.47,74.4,12.54,422.31
PRECTOTCORR_SUM,1995,15.67,19.1,21.18,15.4,37.3,38.25,37.24,67.55,59.63,98.4,24.06,20.47,454.25
PRECTOTCORR_SUM,1996,17.77,26.29,41.14,34.73,47.99,33.33,31.23,38.73,36.76,71.75,79.74,15.17,474.63
PRECTOTCORR_SUM,1997,13.25,9.52,19.86,28.21,82.3,124.78,43.1,40.83,93.95,143.24,42.19,30.89,672.12
PRECTOTCORR_SUM,1998,45.51,33.96,101.52,20.49,33.37,27.54,77.37,74.21,113.09,136.77,111.77,117.28,892.88
PRECTOTCORR_SUM,1999,38.47,30.94,20.08,27.6,99.35,84.64,49.5,86.32,174.79,223.39,102.59,36.73,974.4
PRECTOTCORR_SUM,2000,22.21,13.66,10.11,12.58,44.86,48.47,74.42,94.83,223.93,73.15,26.99,184.71,829.92
PRECTOTCORR_SUM,2001,107.81,13.52,15.45,20.5,162.64,13.26,44.06,41.12,63.49,144.68,160.72,107.37,894.62
PRECTOTCORR_SUM,2002,61.19,17.55,18.35,32.61,247.11,113.07,22.15,49.62,341.77,89.27,47.82,32.96,1073.47
PRECTOTCORR_SUM,2003,152.43,7.18,27.73,76.04,107.67,101.57,44.64,112.94,88.6,67.93,113.45,68.15,968.33
PRECTOTCORR_SUM,2004,14.53,10.87,34.6,77.15,53.35,20.12,56.31,69.92,133.63,33.78,20.83,68.18,593.27
PRECTOTCORR_SUM,2005,49.37,5.73,26.83,106.93,154.75,173.57,383.05,62.74,70.11,510.65,118.7,65.8,1728.23
PRECTOTCORR_SUM,2006,63.24,74.38,13.12,18.0,45.49,164.04,61.45,93.78,65.55,63.91,114.51,21.37,798.84
PRECTOTCORR_SUM,2007,15.72,29.6,50.99,27.81,233.79,51.31,23.54,116.53,120.67,381.31,168.02,46.12,1265.41
PRECTOTCORR_SUM,2008,20.19,11.57,35.51,26.56,53.11,62.15,88.37,263.23,158.73,107.6,120.65,12.85,960.52
PRECTOTCORR_SUM,2009,20.64,21.46,10.36,28.94,157.55,101.22,39.68,67.77,65.82,94.83,42.38,100.67,751.32
PRECTOTCORR_SUM,2010,22.08,44.67,38.93,91.77,213.31,129.93,152.5,105.2,360.52,146.66,58.16,48.32,1412.05
PRECTOTCORR_SUM,2011,13.19,14.29,9.62,7.1,59.99,196.08,139.05,133.8,94.22,169.63,23.07,27.22,887.26
PRECTOTCORR_SUM,2012,13.97,6.84,42.63,117.52,48.84,104.84,39.34,130.9,89.51,163.92,65.31,8.24,831.86
PRECTOTCORR_SUM,2013,13.24,18.83,46.47,54.15,82.89,42.48,53.95,92.48,109.39,32.55,58.85,41.33,646.61
PRECTOTCORR_SUM,2014,48.23,20.08,51.46,52.15,138.47,41.73,24.55,122.91,97.86,85.46,48.46,120.85,852.21
PRECTOTCORR_SUM,2015,12.63,24.84,64.03,17.97,40.43,94.37,35.56,45.59,60.06,112.29,86.33,45.89,639.99
PRECTOTCORR_SUM,2016,21.65,48.87,25.81,52.07,89.96,99.12,40.27,125.51,66.0,150.32,97.97,17.05,834.6
PRECTOTCORR_SUM,2017,9.47,18.04,55.86,84.21,238.08,177.12,32.17,70.52,182.49,226.27,172.25,74.47,1340.95
PRECTOTCORR_SUM,2018,130.37,11.72,44.16,34.07,160.06,50.76,19.66,37.97,89.74,137.52,14.82,23.39,754.24
PRECTOTCORR_SUM,2019,37.73,19.75,83.13,62.35,170.68,28.57,42.47,77.25,124.68,151.29,31.84,31.3,861.04
PRECTOTCORR_SUM,2020,29.41,32.59,16.93,29.35,73.92,61.4,44.01,86.9,168.77,360.54,279.37,19.01,1202.2
