# Area: Kazakhstan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  48.02   Longitude 66.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 477.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,22.67,30.41,36.55,50.27,58.42,60.87,18.88,27.62,11.28,19.86,26.17,12.63,375.63
PRECTOTCORR_SUM,1982,26.53,15.62,20.6,15.08,14.65,1.35,5.46,7.78,9.68,21.35,17.51,8.35,163.96
PRECTOTCORR_SUM,1983,18.4,12.47,8.96,8.62,22.46,11.61,3.05,3.41,17.69,15.45,27.49,21.0,170.61
PRECTOTCORR_SUM,1984,9.99,11.46,25.87,6.35,15.83,7.47,1.59,0.56,1.95,10.56,24.14,4.34,120.11
PRECTOTCORR_SUM,1985,8.71,21.54,9.95,15.66,3.41,0.96,9.16,21.93,3.27,36.21,5.61,15.76,152.17
PRECTOTCORR_SUM,1986,22.59,4.29,15.09,8.27,18.54,4.67,6.2,6.41,3.39,13.22,33.51,35.85,172.03
PRECTOTCORR_SUM,1987,18.42,18.04,19.36,27.07,16.08,11.66,40.79,2.64,26.15,8.01,22.84,19.87,230.93
PRECTOTCORR_SUM,1988,22.41,6.25,7.62,2.53,16.82,8.58,27.11,10.88,10.66,5.09,11.17,20.14,149.26
PRECTOTCORR_SUM,1989,23.93,18.92,16.82,17.44,24.55,4.66,1.0,6.82,14.99,13.54,8.08,24.14,174.89
PRECTOTCORR_SUM,1990,13.18,10.43,24.1,15.43,4.76,6.82,38.11,6.99,0.99,27.46,26.4,22.99,197.66
PRECTOTCORR_SUM,1991,30.93,3.47,6.17,4.07,10.4,24.65,11.82,3.1,11.96,9.9,11.24,33.4,161.11
PRECTOTCORR_SUM,1992,22.92,13.29,11.73,46.26,16.33,12.88,3.56,31.2,1.86,4.66,13.08,10.2,187.97
PRECTOTCORR_SUM,1993,25.41,22.84,24.02,11.34,27.29,13.69,22.09,16.19,6.49,3.76,20.43,8.72,202.27
PRECTOTCORR_SUM,1994,11.62,16.81,9.42,6.72,9.5,3.14,13.95,2.57,3.54,2.09,29.95,23.59,132.9
PRECTOTCORR_SUM,1995,24.03,10.19,10.92,0.21,12.35,6.02,15.9,5.1,9.53,38.19,11.87,18.64,162.95
PRECTOTCORR_SUM,1996,11.66,13.61,1.86,10.36,29.95,8.36,21.36,3.77,6.29,33.98,11.25,15.51,167.96
PRECTOTCORR_SUM,1997,34.03,14.74,14.0,11.72,33.1,4.08,9.69,13.48,1.48,9.48,16.15,17.09,179.04
PRECTOTCORR_SUM,1998,22.56,16.68,32.5,22.09,8.04,6.37,15.98,11.1,3.1,2.17,10.48,5.7,156.77
PRECTOTCORR_SUM,1999,10.47,14.02,11.97,35.03,12.95,16.5,11.65,0.09,0.83,16.02,27.69,8.58,165.8
PRECTOTCORR_SUM,2000,17.8,13.68,5.38,7.71,18.02,9.81,4.38,8.11,3.04,16.19,11.98,17.12,133.22
PRECTOTCORR_SUM,2001,20.18,16.4,3.44,2.36,8.31,9.04,15.92,12.96,1.83,34.54,7.11,13.49,145.58
PRECTOTCORR_SUM,2002,20.1,22.45,36.11,32.1,9.19,73.26,21.33,0.4,0.47,7.23,14.36,17.66,254.66
PRECTOTCORR_SUM,2003,28.06,14.85,34.37,11.18,30.68,49.33,57.11,13.79,4.0,17.72,19.27,11.56,291.92
PRECTOTCORR_SUM,2004,9.75,32.81,14.93,44.88,8.18,4.12,29.43,30.83,1.23,19.08,23.55,22.81,241.6
PRECTOTCORR_SUM,2005,16.21,5.14,20.54,11.06,8.19,23.06,11.24,16.02,1.41,2.89,9.25,14.33,139.34
PRECTOTCORR_SUM,2006,13.15,30.1,8.97,14.52,20.17,12.21,10.65,0.59,3.77,24.4,33.21,17.25,188.99
PRECTOTCORR_SUM,2007,12.13,20.56,11.06,31.86,4.86,18.67,18.57,4.91,6.72,14.86,27.5,7.14,178.84
PRECTOTCORR_SUM,2008,15.64,14.9,14.63,10.79,13.89,22.05,17.65,1.38,4.82,49.62,3.12,21.35,189.84
PRECTOTCORR_SUM,2009,16.26,14.44,20.55,15.65,7.41,19.38,6.3,39.71,5.53,36.26,31.14,10.78,223.41
PRECTOTCORR_SUM,2010,24.54,9.82,33.28,21.3,54.41,8.45,5.27,1.16,2.28,12.19,15.62,6.71,195.03
PRECTOTCORR_SUM,2011,6.52,27.35,11.23,10.2,25.02,34.94,8.02,10.34,6.69,16.09,15.08,9.78,181.26
PRECTOTCORR_SUM,2012,2.29,3.54,28.63,10.54,37.9,18.64,12.78,20.89,8.47,5.22,25.67,15.91,190.48
PRECTOTCORR_SUM,2013,23.0,6.02,20.89,22.88,15.28,6.9,18.24,18.35,15.47,5.01,10.0,32.14,194.18
PRECTOTCORR_SUM,2014,9.13,5.24,5.04,11.89,7.3,12.86,8.78,0.38,14.51,31.51,23.75,14.85,145.24
PRECTOTCORR_SUM,2015,16.96,13.75,19.49,24.96,52.33,41.4,6.36,0.32,5.53,17.19,48.57,36.78,283.64
PRECTOTCORR_SUM,2016,29.38,5.61,31.42,27.95,18.36,31.07,20.69,1.81,27.57,14.48,18.25,25.39,251.98
PRECTOTCORR_SUM,2017,10.94,11.64,12.56,15.73,12.97,6.7,2.61,10.72,6.07,28.01,20.62,24.3,162.87
PRECTOTCORR_SUM,2018,9.37,11.46,33.12,29.02,5.08,10.27,7.62,13.91,6.82,20.51,19.95,8.11,175.24
PRECTOTCORR_SUM,2019,11.98,28.21,36.11,22.44,1.49,13.39,13.23,4.63,20.29,6.97,8.44,25.56,192.74
PRECTOTCORR_SUM,2020,19.6,23.25,3.8,44.22,24.57,8.97,16.03,12.61,5.0,5.59,30.14,3.96,197.74
PRECTOTCORR_SUM,2021,6.17,16.95,36.43,18.65,5.7,1.76,11.21,6.88,16.98,5.34,52.29,27.03,205.39
PRECTOTCORR_SUM,2022,14.65,16.72,26.9,16.92,11.6,4.12,13.68,6.87,3.16,5.88,32.38,14.94,167.82
PRECTOTCORR_SUM,2023,14.66,22.84,23.58,8.18,8.56,6.02,7.63,22.93,29.19,20.47,22.73,26.76,213.55
