# Area: Malawi
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.25   Longitude 34.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 492.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,96.13,270.95,186.74,19.0,6.24,2.83,0.18,0.12,0.12,12.35,78.33,114.63,787.62
PRECTOTCORR_SUM,1982,302.63,405.7,60.92,156.98,12.14,2.56,1.4,6.9,0.56,71.26,144.93,173.82,1339.8
PRECTOTCORR_SUM,1983,197.31,181.59,225.64,90.96,1.53,6.34,16.56,0.79,0.27,13.32,48.3,340.93,1123.54
PRECTOTCORR_SUM,1984,288.42,265.69,241.65,83.22,16.6,5.68,1.61,0.35,2.34,2.4,176.24,308.32,1392.52
PRECTOTCORR_SUM,1985,216.64,267.05,225.67,86.31,6.32,0.47,2.98,1.13,2.38,12.97,157.2,162.64,1141.76
PRECTOTCORR_SUM,1986,363.63,254.16,169.38,88.31,10.93,1.24,0.12,0.17,1.76,40.3,78.54,352.57,1361.11
PRECTOTCORR_SUM,1987,389.63,195.43,172.08,31.35,10.96,3.23,0.84,1.2,0.13,16.37,16.55,116.95,954.72
PRECTOTCORR_SUM,1988,312.01,206.72,236.01,54.49,8.54,4.47,0.91,0.12,0.22,22.66,59.76,113.04,1018.95
PRECTOTCORR_SUM,1989,451.71,291.82,341.82,61.08,15.14,0.38,0.71,0.35,0.13,5.75,72.55,227.51,1468.95
PRECTOTCORR_SUM,1990,328.83,238.77,50.78,42.92,18.6,0.64,0.63,0.34,0.93,2.43,94.73,79.53,859.13
PRECTOTCORR_SUM,1991,244.28,144.46,231.76,38.24,8.17,0.09,1.24,0.56,2.03,24.48,100.27,207.58,1003.16
PRECTOTCORR_SUM,1992,180.64,143.19,237.99,17.01,26.44,1.97,0.99,0.35,0.0,0.84,54.23,133.7,797.35
PRECTOTCORR_SUM,1993,247.28,334.53,388.97,84.89,5.42,6.1,2.12,2.17,1.01,3.69,58.46,81.12,1215.76
PRECTOTCORR_SUM,1994,300.67,283.24,82.72,19.75,0.25,0.1,0.16,1.07,0.13,20.59,19.92,117.78,846.38
PRECTOTCORR_SUM,1995,335.81,201.66,163.06,22.9,7.62,0.16,0.12,2.95,0.45,1.16,16.99,164.15,917.03
PRECTOTCORR_SUM,1996,302.27,259.01,202.13,23.75,18.82,3.97,2.73,0.0,2.02,7.43,13.85,221.69,1057.67
PRECTOTCORR_SUM,1997,271.51,239.92,54.66,85.3,0.63,1.15,3.66,0.51,0.79,11.6,119.89,176.89,966.51
PRECTOTCORR_SUM,1998,164.73,130.33,71.8,35.13,1.26,0.54,0.22,1.59,2.17,13.43,56.85,157.8,635.85
PRECTOTCORR_SUM,1999,291.06,203.69,255.39,98.5,7.04,2.13,4.66,2.79,1.45,2.08,91.56,109.39,1069.74
PRECTOTCORR_SUM,2000,119.49,171.82,160.31,44.03,0.77,1.01,1.39,1.41,0.0,13.63,133.79,216.85,864.5
PRECTOTCORR_SUM,2001,193.95,204.01,223.62,10.57,6.63,0.42,3.02,3.07,0.76,9.11,26.49,258.54,940.19
PRECTOTCORR_SUM,2002,192.56,182.27,174.98,36.84,1.0,8.03,0.07,3.81,6.95,1.74,34.35,201.07,843.67
PRECTOTCORR_SUM,2003,176.95,240.54,236.81,43.23,0.24,0.2,2.91,10.33,16.99,1.83,36.12,226.97,993.12
PRECTOTCORR_SUM,2004,263.6,170.77,150.86,79.29,2.57,1.3,0.97,0.88,1.95,14.42,103.56,355.8,1145.97
PRECTOTCORR_SUM,2005,159.6,167.69,76.55,18.01,12.3,2.53,1.79,0.2,9.73,1.98,34.13,163.92,648.43
PRECTOTCORR_SUM,2006,239.11,151.87,188.46,83.08,8.86,1.55,0.86,2.59,0.0,9.2,68.78,209.45,963.81
PRECTOTCORR_SUM,2007,308.77,205.71,94.96,24.55,1.48,1.76,4.8,0.03,0.18,37.82,32.92,235.24,948.22
PRECTOTCORR_SUM,2008,333.15,156.98,118.78,24.48,10.06,0.4,1.91,1.56,2.25,10.87,38.88,187.32,886.64
PRECTOTCORR_SUM,2009,334.32,190.34,181.64,46.46,0.96,0.24,1.22,0.06,0.08,2.53,70.21,129.73,957.79
PRECTOTCORR_SUM,2010,253.0,217.77,126.2,22.45,6.81,2.43,0.69,3.13,0.15,0.03,97.65,286.59,1016.9
PRECTOTCORR_SUM,2011,243.38,135.94,233.63,60.99,5.52,0.68,0.09,0.83,0.16,13.01,60.27,142.51,897.01
PRECTOTCORR_SUM,2012,454.42,126.59,196.95,79.2,7.41,1.23,0.72,0.49,0.57,8.8,28.29,159.83,1064.5
