# Area: Maldives
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.2   Longitude 73.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,61.61,19.07,95.64,74.62,280.59,52.3,58.45,111.85,192.14,178.37,156.08,141.36,1422.08
PRECTOTCORR_SUM,1982,49.86,8.89,23.57,59.9,197.05,150.3,100.21,123.46,145.29,165.97,330.47,477.17,1832.14
PRECTOTCORR_SUM,1983,178.26,15.96,68.69,32.64,146.31,107.26,88.97,142.61,120.82,175.21,71.69,173.17,1321.59
PRECTOTCORR_SUM,1984,72.36,64.99,70.12,148.05,122.71,59.51,122.63,79.65,102.46,64.64,195.5,47.48,1150.1
PRECTOTCORR_SUM,1985,109.66,153.55,93.56,181.7,262.97,96.8,24.68,159.56,174.03,238.72,98.61,205.76,1799.6
PRECTOTCORR_SUM,1986,29.96,3.49,168.86,95.17,166.69,56.95,85.35,190.56,321.29,98.15,13.78,482.98,1713.23
PRECTOTCORR_SUM,1987,215.98,1.9,17.45,114.52,50.85,125.8,2.4,169.6,134.45,286.86,125.51,84.44,1329.76
PRECTOTCORR_SUM,1988,59.66,48.93,78.53,148.15,139.65,93.8,72.21,128.77,128.82,20.77,105.99,122.34,1147.62
PRECTOTCORR_SUM,1989,133.72,40.31,8.24,72.78,203.61,84.98,58.14,200.25,140.2,149.69,113.28,139.45,1344.65
PRECTOTCORR_SUM,1990,22.2,54.0,92.77,65.52,90.63,127.41,65.87,107.24,67.43,250.97,48.44,338.77,1331.25
PRECTOTCORR_SUM,1991,98.34,3.27,45.04,87.93,219.07,55.52,114.63,144.71,95.02,206.66,153.62,287.54,1511.35
PRECTOTCORR_SUM,1992,92.41,5.16,20.49,73.72,161.52,120.77,259.43,174.75,148.12,73.58,261.18,173.79,1564.92
PRECTOTCORR_SUM,1993,101.08,3.78,65.08,81.29,294.3,123.51,186.59,121.6,185.3,126.41,231.89,199.86,1720.69
PRECTOTCORR_SUM,1994,68.65,22.39,75.28,89.49,290.44,127.46,127.78,197.41,147.28,223.8,348.22,178.95,1897.15
PRECTOTCORR_SUM,1995,69.46,55.87,37.46,117.6,274.44,137.25,112.18,152.01,173.05,210.74,48.3,112.55,1500.91
PRECTOTCORR_SUM,1996,43.55,21.41,46.48,116.27,164.29,183.23,226.11,83.65,226.42,109.72,130.23,34.02,1385.38
PRECTOTCORR_SUM,1997,9.82,36.49,34.32,117.27,225.37,72.18,173.84,112.01,307.5,195.29,86.81,274.38,1645.28
PRECTOTCORR_SUM,1998,153.95,8.31,40.46,56.97,222.53,161.68,181.15,73.08,149.06,198.61,38.22,242.93,1526.95
PRECTOTCORR_SUM,1999,196.11,50.42,59.81,120.01,140.52,100.64,119.47,144.26,117.94,213.5,76.24,175.1,1514.02
PRECTOTCORR_SUM,2000,83.23,16.38,38.63,101.04,116.39,232.05,98.44,109.79,257.67,86.29,200.88,67.89,1408.68
PRECTOTCORR_SUM,2001,97.45,13.49,7.69,180.35,143.96,91.31,182.22,117.36,205.81,99.46,88.54,87.96,1315.6
PRECTOTCORR_SUM,2002,114.58,105.71,70.61,125.26,123.34,133.04,98.08,157.66,91.8,149.15,242.06,398.86,1810.15
PRECTOTCORR_SUM,2003,66.47,40.13,86.15,101.39,94.09,190.9,156.03,116.96,177.05,49.24,350.63,68.16,1497.2
PRECTOTCORR_SUM,2004,34.03,16.42,17.2,79.24,103.07,66.48,179.98,159.8,216.76,188.71,254.14,128.93,1444.76
PRECTOTCORR_SUM,2005,25.68,20.98,15.01,27.35,215.18,106.75,127.36,107.5,130.74,150.33,90.62,72.35,1089.85
PRECTOTCORR_SUM,2006,101.3,17.39,59.38,60.62,108.57,159.8,114.75,241.81,241.21,93.33,426.96,417.3,2042.42
PRECTOTCORR_SUM,2007,139.6,38.18,133.39,100.46,139.25,226.0,180.27,181.22,232.11,309.55,34.56,329.69,2044.28
PRECTOTCORR_SUM,2008,89.01,28.73,126.78,159.43,95.64,160.83,201.16,166.82,42.01,181.03,171.91,144.06,1567.41
PRECTOTCORR_SUM,2009,75.18,13.36,7.52,112.53,156.85,138.44,132.95,289.64,96.85,133.14,277.41,246.86,1680.73
PRECTOTCORR_SUM,2010,47.86,55.97,45.35,114.55,249.41,254.7,225.39,192.07,278.6,70.79,149.84,134.75,1819.28
PRECTOTCORR_SUM,2011,58.3,28.78,15.2,99.82,143.67,44.11,143.03,163.37,164.17,197.59,373.86,196.59,1628.49
PRECTOTCORR_SUM,2012,17.51,87.0,44.43,111.52,224.2,183.02,117.73,153.56,222.49,407.13,169.59,228.08,1966.26
PRECTOTCORR_SUM,2013,12.57,59.57,89.3,60.17,290.06,228.86,176.13,273.51,77.58,265.81,193.03,289.99,2016.58
PRECTOTCORR_SUM,2014,26.04,28.85,105.55,52.85,218.63,50.67,61.82,218.88,228.18,127.57,260.05,163.61,1542.7
PRECTOTCORR_SUM,2015,14.88,32.09,24.69,71.31,136.53,100.63,176.59,224.26,269.83,234.3,223.23,152.32,1660.66
PRECTOTCORR_SUM,2016,110.46,56.96,26.27,136.33,324.25,145.28,199.26,237.2,69.92,160.51,333.59,252.08,2052.11
