# Area: Mali
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.57   Longitude -3.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 280.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,1.21,0.43,0.36,0.74,16.19,11.89,66.22,48.51,38.56,1.38,0.0,0.1,185.59
PRECTOTCORR_SUM,1982,0.0,4.03,0.08,2.67,2.77,13.46,21.49,31.51,50.42,2.96,0.28,0.27,129.94
PRECTOTCORR_SUM,1983,0.0,0.33,0.23,0.63,3.66,10.88,6.46,40.08,9.92,0.01,0.0,0.54,72.74
PRECTOTCORR_SUM,1984,0.0,0.0,0.03,0.34,1.67,1.75,46.59,43.56,27.35,14.22,0.72,0.19,136.42
PRECTOTCORR_SUM,1985,2.06,0.02,1.27,4.94,0.63,20.71,35.11,27.19,13.91,4.16,0.45,0.76,111.21
PRECTOTCORR_SUM,1986,0.0,0.2,0.0,0.17,1.06,14.52,32.98,54.69,52.25,2.62,0.11,0.0,158.6
PRECTOTCORR_SUM,1987,0.0,0.0,0.01,0.0,0.06,13.29,15.63,24.61,15.81,9.47,0.0,0.41,79.29
PRECTOTCORR_SUM,1988,0.39,0.16,0.31,0.41,0.3,1.85,17.79,55.68,19.28,0.2,0.0,0.0,96.37
PRECTOTCORR_SUM,1989,0.04,0.04,0.0,0.01,0.5,1.26,21.71,65.28,6.06,0.86,1.48,0.0,97.24
PRECTOTCORR_SUM,1990,0.0,0.0,0.01,0.47,0.01,10.54,68.32,34.58,15.59,0.05,0.0,0.03,129.6
PRECTOTCORR_SUM,1991,1.73,0.65,0.87,0.12,3.42,4.91,65.26,37.15,4.68,10.59,1.46,0.07,130.91
PRECTOTCORR_SUM,1992,7.66,0.13,0.07,0.26,0.95,5.85,50.13,29.1,23.24,0.01,0.15,0.01,117.56
PRECTOTCORR_SUM,1993,0.15,0.05,0.18,0.32,0.05,9.77,47.64,40.48,10.41,7.0,0.0,0.04,116.09
PRECTOTCORR_SUM,1994,0.0,0.0,0.06,0.82,1.61,3.23,40.13,94.78,36.14,28.33,0.38,0.0,205.48
PRECTOTCORR_SUM,1995,0.0,0.0,1.81,6.42,0.48,13.8,17.55,47.29,31.65,1.46,0.11,0.21,120.78
PRECTOTCORR_SUM,1996,0.02,0.0,0.61,1.13,0.01,6.08,19.04,26.52,31.44,1.06,0.03,0.04,85.98
PRECTOTCORR_SUM,1997,0.12,0.0,2.69,0.07,7.95,4.43,15.4,16.95,11.04,20.4,0.0,0.0,79.05
PRECTOTCORR_SUM,1998,0.61,0.0,0.52,0.18,4.17,12.47,15.1,25.47,33.23,2.74,0.0,0.08,94.57
PRECTOTCORR_SUM,1999,0.06,0.0,0.02,1.14,1.99,3.15,39.08,53.48,12.95,5.21,1.15,0.0,118.23
PRECTOTCORR_SUM,2000,0.33,0.0,0.0,0.02,8.78,1.29,49.84,34.53,18.25,5.13,2.72,0.0,120.89
PRECTOTCORR_SUM,2001,0.0,0.0,0.0,0.01,1.6,10.91,34.38,49.24,2.03,0.15,0.0,0.0,98.32
PRECTOTCORR_SUM,2002,0.0,0.0,0.0,0.0,2.23,0.43,52.09,17.65,11.65,6.08,0.02,0.37,90.52
PRECTOTCORR_SUM,2003,0.36,0.02,0.37,1.59,2.16,18.02,36.87,108.2,32.17,1.06,0.02,0.07,200.91
PRECTOTCORR_SUM,2004,0.55,0.03,0.03,1.73,0.01,8.49,26.3,35.96,1.65,1.54,0.0,0.04,76.33
PRECTOTCORR_SUM,2005,2.04,1.26,0.54,0.04,14.32,20.42,33.69,40.18,27.63,0.54,0.0,0.0,140.66
PRECTOTCORR_SUM,2006,4.44,0.82,1.0,0.84,2.45,2.09,56.7,54.98,21.59,0.5,0.0,0.0,145.41
PRECTOTCORR_SUM,2007,0.0,0.22,0.18,0.2,0.72,4.17,31.95,63.3,12.93,1.47,0.04,0.17,115.35
PRECTOTCORR_SUM,2008,0.0,0.02,0.0,1.23,1.52,19.45,32.73,43.86,7.45,9.29,0.0,0.0,115.55
PRECTOTCORR_SUM,2009,0.0,0.51,0.7,0.17,1.44,14.09,13.06,68.48,25.12,5.07,7.83,1.1,137.57
PRECTOTCORR_SUM,2010,0.0,0.0,0.0,2.68,2.32,6.92,30.42,64.34,67.27,13.13,0.15,0.0,187.23
PRECTOTCORR_SUM,2011,0.13,0.12,0.01,0.03,0.15,19.59,20.95,34.56,69.3,0.61,0.0,0.0,145.45
PRECTOTCORR_SUM,2012,0.0,0.28,0.13,0.55,0.89,15.52,97.22,91.55,40.77,10.55,0.04,0.99,258.49
PRECTOTCORR_SUM,2013,1.0,0.0,0.0,0.12,0.82,2.41,14.7,73.72,25.39,8.66,0.0,0.0,126.82
PRECTOTCORR_SUM,2014,4.48,0.0,0.04,0.0,18.83,14.7,21.33,63.92,16.98,13.03,4.43,0.0,157.74
PRECTOTCORR_SUM,2015,0.0,0.0,0.7,0.0,0.01,2.35,40.84,97.86,13.51,3.96,0.0,0.0,159.23
PRECTOTCORR_SUM,2016,0.0,0.0,0.0,2.41,1.29,16.17,35.65,50.8,18.93,0.0,0.0,0.0,125.25
PRECTOTCORR_SUM,2017,0.0,1.61,0.0,0.0,9.52,19.64,47.06,85.11,22.05,0.0,0.0,0.0,184.99
PRECTOTCORR_SUM,2018,0.53,0.1,0.01,0.07,0.0,8.51,36.43,149.24,29.47,0.15,0.53,0.0,225.04
PRECTOTCORR_SUM,2019,0.0,0.0,0.27,0.0,0.0,0.38,86.32,108.08,38.91,2.24,0.9,0.0,237.1
PRECTOTCORR_SUM,2020,5.29,0.11,0.0,6.39,2.56,4.31,88.96,110.41,44.39,23.33,0.0,0.0,285.75
