# Area: Malta
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.94   Longitude 14.38 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,83.16,55.5,6.55,10.45,10.31,5.51,1.17,10.66,4.45,27.44,26.59,60.45,302.24
PRECTOTCORR_SUM,1982,250.1,90.52,73.15,51.79,15.52,0.26,0.1,10.32,55.62,160.58,172.01,71.23,951.2
PRECTOTCORR_SUM,1983,7.71,18.04,32.74,18.71,7.75,0.57,1.41,7.67,70.75,42.98,88.74,93.33,390.4
PRECTOTCORR_SUM,1984,18.19,49.71,27.0,28.47,3.38,0.66,0.0,13.78,52.3,39.74,50.1,162.35,445.68
PRECTOTCORR_SUM,1985,154.47,25.86,50.29,48.78,5.71,0.04,0.01,0.08,54.24,79.19,20.96,31.11,470.74
PRECTOTCORR_SUM,1986,36.21,59.18,70.74,9.87,2.12,1.65,6.18,0.66,57.94,68.16,147.27,95.38,555.36
PRECTOTCORR_SUM,1987,25.71,33.06,46.67,10.07,15.65,3.69,0.41,0.05,12.6,15.74,56.32,28.43,248.4
PRECTOTCORR_SUM,1988,65.41,37.84,36.85,7.89,0.42,3.74,0.04,3.08,55.93,17.69,79.41,78.06,386.36
PRECTOTCORR_SUM,1989,56.32,33.44,12.88,22.06,9.54,0.57,4.58,2.32,20.96,84.04,39.34,84.94,370.99
PRECTOTCORR_SUM,1990,126.79,11.02,4.81,45.3,26.1,1.91,3.88,11.42,11.97,61.37,65.82,130.34,500.73
PRECTOTCORR_SUM,1991,96.14,66.33,22.6,38.78,15.19,2.43,0.08,2.52,32.09,126.49,24.56,139.1,566.31
PRECTOTCORR_SUM,1992,138.25,31.53,38.02,22.02,45.49,3.6,33.52,0.53,18.01,32.88,16.67,128.7,509.22
