# Area: Qatar
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.35   Longitude 51.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,12.23,1.65,19.65,0.12,5.26,0.0,0.0,0.0,0.0,0.0,0.17,0.02,39.1
PRECTOTCORR_SUM,1982,9.98,71.41,82.66,4.65,0.0,0.0,0.0,3.71,2.06,3.54,24.55,24.94,227.5
PRECTOTCORR_SUM,1983,42.13,17.08,41.45,11.65,2.81,0.0,0.0,0.86,0.0,0.0,0.06,0.85,116.89
PRECTOTCORR_SUM,1984,3.32,3.26,19.3,0.04,0.08,0.0,0.0,0.0,0.0,0.26,10.08,14.03,50.37
PRECTOTCORR_SUM,1985,7.98,0.93,2.7,3.86,0.31,0.24,2.15,0.96,0.0,0.14,7.55,14.26,41.08
PRECTOTCORR_SUM,1986,7.5,19.3,13.23,13.89,7.02,0.33,0.1,5.29,0.33,0.0,11.97,31.2,110.16
PRECTOTCORR_SUM,1987,0.33,3.1,56.3,1.84,0.0,0.13,0.0,4.57,0.0,0.0,0.0,0.03,66.3
PRECTOTCORR_SUM,1988,2.72,53.34,2.24,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,61.79
PRECTOTCORR_SUM,1989,0.01,1.26,7.38,0.32,0.0,0.02,0.0,0.0,0.0,0.0,4.55,61.46,75.0
PRECTOTCORR_SUM,1990,11.86,9.53,1.65,4.32,0.02,0.1,0.0,0.0,0.0,0.0,0.12,0.0,27.6
PRECTOTCORR_SUM,1991,19.66,4.9,3.89,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.89,10.07,39.75
PRECTOTCORR_SUM,1992,2.19,9.86,5.94,1.25,0.05,0.0,0.0,0.0,0.0,7.34,0.37,31.99,58.99
PRECTOTCORR_SUM,1993,11.45,25.76,2.17,4.09,0.9,0.0,0.01,0.0,0.0,0.01,0.0,0.0,44.39
PRECTOTCORR_SUM,1994,0.06,0.01,8.78,2.38,1.11,0.0,0.0,0.0,0.0,0.12,0.0,0.03,12.49
PRECTOTCORR_SUM,1995,0.24,12.9,80.49,3.42,0.0,0.0,0.05,0.0,0.0,0.0,0.04,54.49,151.63
PRECTOTCORR_SUM,1996,17.72,10.01,27.44,1.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,56.46
PRECTOTCORR_SUM,1997,7.15,0.03,44.77,0.84,0.22,0.0,0.0,0.0,0.0,3.23,52.67,0.99,109.9
PRECTOTCORR_SUM,1998,31.38,4.15,5.95,0.54,0.01,0.0,0.82,0.04,0.0,0.0,0.0,0.0,42.89
PRECTOTCORR_SUM,1999,1.77,9.39,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3
PRECTOTCORR_SUM,2000,12.73,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.43,28.41,15.53,58.15
PRECTOTCORR_SUM,2001,1.21,0.22,0.56,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.15
PRECTOTCORR_SUM,2002,11.44,0.99,2.04,2.56,0.0,0.0,0.0,0.0,0.0,0.27,1.33,3.48,22.11
PRECTOTCORR_SUM,2003,2.97,12.79,1.67,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.15,35.78,57.1
PRECTOTCORR_SUM,2004,4.17,0.17,0.72,2.01,0.24,0.0,0.0,9.06,0.0,0.0,6.03,12.4,34.8
PRECTOTCORR_SUM,2005,18.46,5.8,4.26,0.22,0.0,0.0,0.0,0.3,0.65,0.0,3.26,0.04,32.99
PRECTOTCORR_SUM,2006,0.14,12.38,4.64,1.41,0.0,0.0,0.0,0.0,0.0,0.0,13.3,41.75,73.62
PRECTOTCORR_SUM,2007,0.58,22.3,0.45,0.52,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,23.9
PRECTOTCORR_SUM,2008,20.82,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.36,22.95
PRECTOTCORR_SUM,2009,3.26,0.47,2.11,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,24.09,35.0
PRECTOTCORR_SUM,2010,0.39,0.4,0.03,3.09,0.81,0.36,0.1,0.0,0.0,0.0,3.27,0.0,8.45
PRECTOTCORR_SUM,2011,25.99,0.65,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,10.99,0.0,42.85
PRECTOTCORR_SUM,2012,0.06,0.02,3.21,0.39,0.0,0.0,0.0,0.05,0.0,0.0,3.24,4.75,11.72
PRECTOTCORR_SUM,2013,0.01,0.61,0.61,9.59,0.83,0.0,0.0,0.0,0.0,0.0,20.59,0.27,32.51
