# Area: Réunion
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -20.88   Longitude 55.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 532.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,69.64,49.01,182.13,167.82,79.57,36.26,59.43,45.16,24.87,52.51,54.07,90.55,911.02
PRECTOTCORR_SUM,1982,145.13,210.56,130.29,84.68,99.32,76.88,172.25,87.62,61.22,162.33,31.45,73.91,1335.64
PRECTOTCORR_SUM,1983,214.22,38.77,54.69,42.4,42.51,46.31,30.25,31.76,22.39,44.34,70.18,65.77,703.59
PRECTOTCORR_SUM,1984,138.77,85.47,106.0,75.62,22.38,23.15,27.23,36.95,79.72,48.79,96.58,46.83,787.49
PRECTOTCORR_SUM,1985,220.36,419.85,71.19,96.15,26.04,48.42,48.22,50.6,32.21,24.9,82.01,131.77,1251.72
PRECTOTCORR_SUM,1986,71.0,240.43,89.04,98.68,52.03,24.99,17.16,76.44,18.31,41.65,37.65,154.9,922.28
PRECTOTCORR_SUM,1987,159.7,399.8,162.46,181.96,55.13,154.95,44.93,29.92,25.66,27.65,44.83,20.25,1307.24
PRECTOTCORR_SUM,1988,109.77,70.35,162.85,81.8,102.25,33.77,41.64,38.37,47.98,26.75,33.74,145.02,894.29
PRECTOTCORR_SUM,1989,187.99,93.22,194.85,33.71,48.38,46.2,42.53,47.45,42.03,40.86,31.64,149.8,958.66
PRECTOTCORR_SUM,1990,81.06,182.05,61.33,113.33,28.12,33.13,19.99,30.95,23.38,23.96,55.45,60.31,713.06
PRECTOTCORR_SUM,1991,32.23,88.67,187.94,148.54,58.19,75.6,24.34,26.59,14.95,19.52,67.43,56.27,800.27
PRECTOTCORR_SUM,1992,123.59,127.04,119.31,68.27,34.84,26.59,32.45,69.26,27.65,23.95,23.49,28.9,705.34
PRECTOTCORR_SUM,1993,101.09,369.91,324.14,90.91,79.05,51.46,30.36,46.18,34.34,45.4,33.98,64.89,1271.71
PRECTOTCORR_SUM,1994,109.36,121.4,216.63,44.15,62.25,52.2,65.7,73.09,43.78,64.58,41.8,46.85,941.79
PRECTOTCORR_SUM,1995,130.26,88.12,111.32,81.39,117.17,58.81,40.05,97.4,52.53,30.64,46.25,298.19,1152.13
PRECTOTCORR_SUM,1996,137.12,106.46,63.05,96.99,57.71,51.92,56.94,56.64,47.6,40.6,38.43,340.19,1093.65
PRECTOTCORR_SUM,1997,147.49,53.55,96.72,79.63,125.21,46.62,43.72,53.04,74.34,112.95,77.36,74.3,984.93
PRECTOTCORR_SUM,1998,147.45,380.59,46.21,84.11,49.41,49.49,61.59,53.22,49.03,44.05,53.35,86.53,1105.03
PRECTOTCORR_SUM,1999,53.22,72.21,122.63,40.96,33.38,38.07,41.21,51.35,85.47,31.01,59.15,82.05,710.71
PRECTOTCORR_SUM,2000,153.16,66.27,45.91,58.51,49.62,33.78,45.24,52.79,45.7,61.58,48.56,60.91,722.03
PRECTOTCORR_SUM,2001,165.44,63.55,72.5,63.95,34.36,38.92,45.93,38.52,31.89,55.92,41.13,73.65,725.76
PRECTOTCORR_SUM,2002,122.08,44.37,151.43,64.1,109.71,51.2,75.86,45.06,39.1,55.59,61.39,121.32,941.21
PRECTOTCORR_SUM,2003,161.84,139.82,56.34,244.82,122.53,37.63,48.13,55.73,68.29,52.54,76.93,60.65,1125.25
PRECTOTCORR_SUM,2004,107.13,87.56,86.01,68.17,69.89,41.85,40.92,36.79,81.74,40.35,50.33,137.86,848.6
PRECTOTCORR_SUM,2005,97.65,194.63,286.33,42.95,62.07,54.08,35.31,55.42,76.05,45.17,76.29,49.37,1075.32
PRECTOTCORR_SUM,2006,134.76,140.66,215.45,69.67,111.22,32.56,44.68,45.75,90.18,51.13,65.86,50.95,1052.87
PRECTOTCORR_SUM,2007,118.88,216.84,39.19,41.84,39.13,31.27,23.58,12.61,12.74,35.63,3.43,51.55,626.69
PRECTOTCORR_SUM,2008,133.77,81.1,108.81,11.39,57.27,42.04,13.3,19.21,31.37,12.08,19.56,35.03,564.93
PRECTOTCORR_SUM,2009,71.1,96.39,157.31,150.15,34.49,19.71,18.98,18.98,10.83,26.96,81.28,28.21,714.39
PRECTOTCORR_SUM,2010,178.35,112.44,232.11,6.02,24.83,22.75,17.03,25.21,13.13,13.68,8.41,20.86,674.82
PRECTOTCORR_SUM,2011,126.32,112.87,75.01,81.98,40.63,23.25,17.44,22.4,13.49,33.03,23.68,43.85,613.95
PRECTOTCORR_SUM,2012,56.22,77.04,203.09,44.07,28.16,25.74,18.06,15.83,21.37,14.3,34.4,25.53,563.81
PRECTOTCORR_SUM,2013,214.26,167.62,94.61,35.33,29.21,21.65,11.75,19.16,6.81,49.56,43.75,41.06,734.77
PRECTOTCORR_SUM,2014,197.21,78.49,38.87,40.74,18.86,18.35,15.05,16.77,13.38,14.56,22.02,81.9,556.2
PRECTOTCORR_SUM,2015,136.49,69.06,261.28,56.54,57.8,57.62,28.14,42.4,25.51,32.81,52.24,77.95,897.84
PRECTOTCORR_SUM,2016,66.49,175.32,123.32,30.7,23.44,41.01,41.79,40.47,26.2,16.13,38.26,27.2,650.33
PRECTOTCORR_SUM,2017,21.77,137.55,147.67,192.03,66.62,35.41,23.32,46.0,28.37,19.64,69.06,63.45,850.89
PRECTOTCORR_SUM,2018,217.03,167.79,244.63,158.78,29.89,31.28,29.79,20.17,17.99,49.54,72.93,19.12,1058.94
PRECTOTCORR_SUM,2019,171.81,42.47,19.5,88.2,67.76,72.83,32.8,25.03,29.42,25.45,68.34,63.4,707.01
PRECTOTCORR_SUM,2020,295.29,59.75,236.01,41.39,29.28,35.99,43.54,21.14,27.97,43.84,13.37,31.53,879.1
PRECTOTCORR_SUM,2021,38.81,45.86,133.16,325.61,33.17,58.86,30.25,34.64,18.82,50.06,11.98,63.92,845.14
PRECTOTCORR_SUM,2022,188.43,171.15,98.96,108.74,22.09,38.08,34.78,29.75,21.63,15.26,12.53,21.16,762.56
PRECTOTCORR_SUM,2023,180.57,40.99,91.1,104.03,40.97,41.25,23.46,38.84,7.95,10.47,73.46,50.57,703.66
