# Area: Samoa
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.77   Longitude -172.1 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,320.66,298.15,233.6,355.72,201.4,113.45,88.82,104.67,117.42,378.05,280.58,302.58,2795.1
PRECTOTCORR_SUM,1982,372.44,589.57,138.38,58.45,216.48,52.06,93.06,227.6,87.34,108.99,258.91,20.22,2223.5
PRECTOTCORR_SUM,1983,305.55,221.34,194.06,90.5,134.77,43.52,37.9,83.53,49.58,298.78,132.04,336.47,1928.04
PRECTOTCORR_SUM,1984,310.97,175.18,392.15,149.02,72.34,119.62,66.23,70.94,84.01,234.07,137.35,388.0,2199.88
PRECTOTCORR_SUM,1985,305.67,268.64,152.26,200.31,206.04,117.03,72.66,98.51,158.41,177.52,147.8,190.99,2095.84
PRECTOTCORR_SUM,1986,374.48,147.32,160.69,269.7,236.8,74.93,75.1,73.45,125.63,92.1,96.1,253.41,1979.71
PRECTOTCORR_SUM,1987,262.94,320.61,166.8,226.3,174.85,126.71,45.94,139.23,62.17,102.84,74.87,351.92,2055.18
PRECTOTCORR_SUM,1988,303.15,245.12,175.4,168.15,192.11,181.2,203.69,74.22,95.19,201.98,334.54,285.97,2460.72
PRECTOTCORR_SUM,1989,302.86,237.08,184.15,157.16,80.48,55.25,38.81,15.72,23.39,106.03,292.97,147.32,1641.22
PRECTOTCORR_SUM,1990,277.99,328.89,320.02,206.86,74.8,73.97,80.32,27.93,46.24,108.42,258.81,272.83,2077.08
PRECTOTCORR_SUM,1991,262.96,388.51,187.59,99.33,170.71,115.76,83.62,90.39,71.82,198.84,329.18,392.91,2391.62
