# Area: Saudi Arabia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  23.89   Longitude 45.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 904.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,3.33,18.88,24.05,0.42,12.76,0.0,0.0,0.0,0.0,0.01,1.18,0.69,61.32
PRECTOTCORR_SUM,1982,2.89,26.44,50.15,4.61,0.0,0.0,1.08,0.42,1.63,8.6,19.92,20.9,136.64
PRECTOTCORR_SUM,1983,16.04,11.63,32.35,26.74,7.85,0.0,0.0,0.37,0.0,0.21,0.07,0.03,95.29
PRECTOTCORR_SUM,1984,2.01,35.38,33.39,0.75,0.0,0.53,0.0,0.07,0.0,0.0,34.25,11.44,117.82
PRECTOTCORR_SUM,1985,13.52,1.69,6.47,6.83,3.31,0.21,0.15,1.13,0.0,0.0,20.26,14.03,67.6
PRECTOTCORR_SUM,1986,6.0,10.15,8.68,17.48,5.06,0.36,0.14,6.36,0.03,0.75,15.13,19.3,89.44
PRECTOTCORR_SUM,1987,8.36,6.63,27.83,0.89,0.29,0.2,0.01,0.4,0.0,0.0,0.0,0.0,44.61
PRECTOTCORR_SUM,1988,3.14,0.69,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62
PRECTOTCORR_SUM,1989,0.0,0.0,3.38,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52
PRECTOTCORR_SUM,1990,12.25,0.27,0.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99
PRECTOTCORR_SUM,1991,13.89,10.8,4.74,0.91,0.2,0.0,0.0,0.0,0.0,0.0,0.76,0.0,31.3
PRECTOTCORR_SUM,1992,0.51,8.99,5.91,0.0,0.22,0.0,0.0,0.0,0.0,5.19,1.21,8.73,30.76
PRECTOTCORR_SUM,1993,16.99,4.02,6.02,4.95,11.69,0.0,0.0,0.0,0.0,13.45,0.0,0.0,57.12
PRECTOTCORR_SUM,1994,0.0,0.0,0.92,1.0,0.49,0.0,0.0,0.1,0.0,0.01,0.44,2.15,5.11
PRECTOTCORR_SUM,1995,0.33,19.86,29.21,7.21,0.39,0.0,0.0,0.0,0.0,0.0,0.4,17.92,75.32
PRECTOTCORR_SUM,1996,5.98,1.08,12.46,6.85,0.18,0.0,0.0,0.0,0.0,0.0,1.21,0.22,27.98
PRECTOTCORR_SUM,1997,0.47,0.0,7.57,4.98,0.3,0.0,0.0,0.0,0.0,7.04,15.0,3.12,38.48
PRECTOTCORR_SUM,1998,16.08,0.0,5.05,2.34,1.86,0.0,0.0,0.0,0.0,0.0,0.08,0.14,25.55
PRECTOTCORR_SUM,1999,6.13,1.76,0.12,0.9,0.0,0.0,0.0,1.58,0.0,0.0,0.11,0.02,10.62
PRECTOTCORR_SUM,2000,0.0,0.0,0.0,0.03,3.65,0.0,0.0,0.0,0.0,0.0,15.66,0.37,19.71
PRECTOTCORR_SUM,2001,0.11,0.0,6.83,0.68,0.0,0.0,0.0,0.0,0.0,0.93,0.0,1.31,9.86
PRECTOTCORR_SUM,2002,3.89,4.02,7.63,1.68,0.0,0.0,0.0,0.12,0.0,0.0,0.23,2.88,20.45
PRECTOTCORR_SUM,2003,1.73,7.75,0.0,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.9,14.72,25.5
PRECTOTCORR_SUM,2004,24.22,0.08,0.0,40.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,71.88
PRECTOTCORR_SUM,2005,0.01,9.69,2.1,9.95,0.69,0.0,0.0,0.04,1.5,0.0,0.18,0.0,24.16
PRECTOTCORR_SUM,2006,0.01,1.17,3.86,3.1,0.0,0.0,0.0,0.0,0.0,0.0,12.96,2.48,23.58
PRECTOTCORR_SUM,2007,2.97,4.19,0.41,7.87,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.98
PRECTOTCORR_SUM,2008,1.51,0.0,0.0,0.16,6.9,0.0,0.0,0.06,0.0,0.0,17.64,0.0,26.27
PRECTOTCORR_SUM,2009,0.0,0.43,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,11.09,2.68,16.14
PRECTOTCORR_SUM,2010,0.0,0.0,0.0,12.1,3.4,0.0,0.0,0.14,0.0,0.0,0.0,0.0,15.64
PRECTOTCORR_SUM,2011,18.72,0.0,4.98,6.33,0.36,0.0,0.0,0.0,0.0,0.0,4.05,0.0,34.44
PRECTOTCORR_SUM,2012,0.0,0.47,0.06,2.73,0.0,0.0,0.0,0.0,0.0,0.0,13.68,4.24,21.18
PRECTOTCORR_SUM,2013,0.0,0.0,0.0,20.49,1.04,0.0,0.0,0.0,0.0,0.0,7.44,0.0,28.97
PRECTOTCORR_SUM,2014,22.31,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.55,0.13,37.28
PRECTOTCORR_SUM,2015,0.02,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.9,9.04
PRECTOTCORR_SUM,2016,0.0,1.21,2.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,53.04,8.77,66.02
