# Area: Sweden
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  60.13   Longitude 18.64 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,42.39,38.36,61.7,20.17,26.92,92.41,54.03,102.09,30.5,102.93,109.65,89.99,771.14
PRECTOTCORR_SUM,1982,49.86,30.49,41.47,44.68,66.73,51.81,59.95,67.53,50.92,42.25,51.96,45.6,603.25
PRECTOTCORR_SUM,1983,82.38,12.34,64.98,60.17,46.88,44.39,44.18,31.39,174.71,46.33,39.38,72.26,719.39
PRECTOTCORR_SUM,1984,76.44,28.64,30.77,28.54,38.95,61.04,72.02,53.9,118.57,113.85,40.85,49.45,713.02
PRECTOTCORR_SUM,1985,62.91,33.58,43.37,75.62,23.94,39.53,82.51,81.67,52.39,36.83,57.19,66.36,655.9
PRECTOTCORR_SUM,1986,63.3,12.92,45.33,78.77,44.09,70.34,68.4,121.48,64.1,37.94,56.5,87.97,751.14
PRECTOTCORR_SUM,1987,36.76,29.36,26.29,16.35,67.06,92.22,36.32,91.12,69.31,39.86,69.21,39.72,613.58
PRECTOTCORR_SUM,1988,66.6,57.71,39.24,51.29,18.64,48.63,87.88,111.13,27.66,47.27,42.24,63.58,661.87
PRECTOTCORR_SUM,1989,18.32,40.34,46.48,48.07,34.13,54.7,54.1,82.62,23.41,83.86,71.52,48.84,606.39
PRECTOTCORR_SUM,1990,73.28,70.65,38.76,57.78,29.45,43.75,128.96,39.9,128.56,89.55,60.33,36.1,797.07
PRECTOTCORR_SUM,1991,43.41,32.83,35.21,21.0,64.76,124.75,33.44,85.72,92.52,42.25,47.39,34.11,657.39
