# Area: Timor-Leste
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -8.87   Longitude 125.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 741.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,280.75,183.9,143.29,70.23,126.22,30.9,53.63,27.92,11.67,27.22,267.56,110.56,1333.85
PRECTOTCORR_SUM,1982,270.48,180.36,66.3,97.37,7.63,7.01,2.15,5.8,0.08,0.76,22.08,66.03,726.05
PRECTOTCORR_SUM,1983,169.63,137.63,195.59,119.4,56.53,40.86,1.17,0.69,0.31,15.07,51.55,91.37,879.8
PRECTOTCORR_SUM,1984,169.91,226.18,112.38,130.93,113.58,12.74,1.94,47.14,14.98,16.13,38.33,116.07,1000.31
PRECTOTCORR_SUM,1985,102.04,152.5,74.6,63.98,69.11,22.09,33.22,1.76,1.38,20.47,59.04,153.73,753.92
PRECTOTCORR_SUM,1986,279.48,121.56,103.04,47.03,53.11,33.7,19.07,17.04,3.43,10.33,97.73,99.12,884.64
PRECTOTCORR_SUM,1987,414.98,195.37,129.02,19.65,59.18,13.28,29.47,0.41,0.29,0.41,52.58,161.27,1075.91
PRECTOTCORR_SUM,1988,149.64,233.36,162.98,22.01,59.78,18.48,34.28,4.69,17.17,41.69,144.36,111.77,1000.21
PRECTOTCORR_SUM,1989,70.61,92.36,163.38,97.69,27.54,32.39,16.28,14.16,3.46,10.17,22.22,115.98,666.24
PRECTOTCORR_SUM,1990,236.53,112.45,84.88,22.18,42.8,5.21,8.91,6.24,1.41,7.11,34.52,127.29,689.53
PRECTOTCORR_SUM,1991,171.98,303.53,84.78,96.4,2.09,1.29,4.15,1.46,0.09,0.31,57.71,43.09,766.88
PRECTOTCORR_SUM,1992,177.74,173.08,114.51,67.69,12.83,11.97,0.9,14.63,1.82,11.8,35.43,238.92,861.32
PRECTOTCORR_SUM,1993,383.79,90.39,80.18,264.03,10.73,18.67,3.94,2.88,0.39,0.71,36.59,215.61,1107.91
PRECTOTCORR_SUM,1994,140.89,217.39,96.85,79.02,9.13,18.67,3.23,0.29,0.21,5.43,8.58,189.5,769.19
PRECTOTCORR_SUM,1995,227.3,172.62,209.41,168.63,68.72,39.66,2.8,0.7,0.88,19.26,114.27,104.08,1128.33
PRECTOTCORR_SUM,1996,132.15,252.31,185.48,99.02,58.66,3.99,2.09,10.01,0.56,29.21,74.13,265.78,1113.39
PRECTOTCORR_SUM,1997,172.75,231.01,85.26,60.12,79.67,32.96,2.01,0.64,0.22,0.31,15.71,86.2,766.86
PRECTOTCORR_SUM,1998,66.65,99.3,222.84,242.89,74.24,27.6,30.01,1.2,11.56,31.36,300.51,126.51,1234.67
PRECTOTCORR_SUM,1999,202.67,196.67,198.68,168.07,10.83,56.13,0.79,1.4,0.16,9.22,76.25,192.7,1113.57
PRECTOTCORR_SUM,2000,356.79,203.25,154.49,58.94,139.49,3.61,1.41,0.35,0.45,9.51,98.87,150.42,1177.58
PRECTOTCORR_SUM,2001,196.47,193.16,99.36,47.64,12.57,27.26,27.17,0.19,0.23,7.02,113.98,90.24,815.29
PRECTOTCORR_SUM,2002,383.04,271.85,48.85,19.19,2.56,0.78,0.81,0.19,24.07,0.15,69.51,91.32,912.32
PRECTOTCORR_SUM,2003,205.79,359.7,156.25,39.26,11.54,37.74,9.04,4.09,1.88,5.41,125.69,307.21,1263.6
PRECTOTCORR_SUM,2004,93.8,326.2,201.12,1.21,62.32,3.68,3.42,0.28,2.85,30.94,57.03,225.13,1007.98
PRECTOTCORR_SUM,2005,150.49,157.49,150.78,97.0,7.69,2.8,10.74,8.96,0.36,9.02,101.32,330.79,1027.44
PRECTOTCORR_SUM,2006,355.3,90.71,173.5,123.36,27.63,26.81,0.61,5.64,0.16,1.04,4.38,155.49,964.63
PRECTOTCORR_SUM,2007,178.11,207.87,211.2,42.49,0.0,115.89,10.6,12.74,0.0,7.93,28.45,180.39,995.67
PRECTOTCORR_SUM,2008,61.13,66.01,23.02,9.83,2.51,5.87,0.68,1.44,0.0,6.83,66.09,199.92,443.33
PRECTOTCORR_SUM,2009,113.99,129.46,22.61,32.55,61.37,0.0,50.46,0.0,32.43,0.01,19.01,56.67,518.56
PRECTOTCORR_SUM,2010,123.99,149.2,21.32,74.83,25.73,8.02,1.68,3.56,13.3,44.07,10.26,63.28,539.24
PRECTOTCORR_SUM,2011,262.1,219.9,108.75,81.05,53.92,5.5,8.14,0.0,0.0,9.44,93.41,78.19,920.4
PRECTOTCORR_SUM,2012,361.25,191.76,274.33,69.07,95.62,0.0,5.91,0.0,0.0,0.16,20.86,191.66,1210.62
PRECTOTCORR_SUM,2013,421.0,305.57,101.46,68.51,78.77,37.48,3.82,0.0,0.0,19.46,85.64,306.2,1427.91
PRECTOTCORR_SUM,2014,349.38,185.61,72.66,79.21,9.11,17.97,13.99,0.0,0.0,0.0,30.22,115.46,873.61
PRECTOTCORR_SUM,2015,329.34,239.97,121.25,87.1,8.96,53.02,2.04,1.23,0.21,0.31,9.51,115.31,968.25
PRECTOTCORR_SUM,2016,183.59,240.2,92.12,27.67,55.52,16.19,18.32,6.97,13.38,40.08,28.25,303.94,1026.23
PRECTOTCORR_SUM,2017,316.43,189.84,183.97,48.54,57.34,53.11,15.64,2.09,2.81,52.22,97.11,106.75,1125.85
PRECTOTCORR_SUM,2018,262.73,166.38,128.91,51.54,17.37,22.76,6.85,32.77,2.84,0.57,110.31,209.9,1012.93
PRECTOTCORR_SUM,2019,300.11,252.46,224.39,36.65,51.15,7.11,4.49,2.3,1.11,8.49,13.33,36.12,937.71
PRECTOTCORR_SUM,2020,186.24,149.49,102.26,67.71,105.21,13.96,9.42,1.23,2.2,26.78,46.75,287.34,998.59
PRECTOTCORR_SUM,2021,305.98,296.54,113.78,248.96,18.69,22.71,6.92,11.02,27.92,29.58,97.68,189.32,1369.1
PRECTOTCORR_SUM,2022,245.94,217.96,118.98,41.37,32.45,99.17,10.42,3.44,5.43,69.81,141.11,235.26,1221.34
PRECTOTCORR_SUM,2023,101.02,365.23,157.86,94.32,13.75,25.57,55.83,3.98,0.49,0.17,89.43,119.92,1027.57
