# Area: Uruguay
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -32.52   Longitude -55.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,126.81,197.04,39.57,79.74,210.89,78.72,120.47,109.83,139.35,37.72,71.07,73.79,1285.0
PRECTOTCORR_SUM,1982,71.84,162.36,21.86,30.3,125.66,83.28,82.83,29.1,89.99,74.6,62.76,53.51,888.09
PRECTOTCORR_SUM,1983,71.44,159.37,40.03,105.45,91.13,50.19,82.76,153.12,153.0,75.13,141.85,61.16,1184.63
PRECTOTCORR_SUM,1984,175.2,388.86,39.78,119.73,173.01,136.5,130.48,34.32,127.49,154.05,84.61,15.93,1579.96
PRECTOTCORR_SUM,1985,49.15,28.62,156.61,116.66,47.07,71.05,40.76,50.59,48.55,104.66,71.28,34.65,819.65
PRECTOTCORR_SUM,1986,75.01,32.19,66.6,145.38,133.09,49.67,28.77,61.33,41.21,77.78,197.54,16.31,924.88
PRECTOTCORR_SUM,1987,99.9,95.82,115.45,116.26,64.55,11.06,162.86,139.06,67.42,92.34,119.72,203.46,1287.9
PRECTOTCORR_SUM,1988,246.04,45.7,138.94,68.31,3.83,29.37,116.45,120.79,113.33,51.89,63.75,67.61,1066.01
PRECTOTCORR_SUM,1989,34.13,31.05,57.13,89.92,40.84,19.75,25.06,111.66,43.59,49.29,123.45,102.43,728.3
PRECTOTCORR_SUM,1990,78.99,303.47,254.71,207.7,65.71,18.97,22.91,23.59,64.9,197.12,159.61,182.83,1580.51
PRECTOTCORR_SUM,1991,149.08,41.15,46.75,150.22,184.7,121.71,155.3,34.94,73.26,181.02,93.22,149.22,1380.57
PRECTOTCORR_SUM,1992,52.61,117.99,80.85,207.29,148.29,146.55,71.65,76.48,81.96,93.16,68.93,180.32,1326.08
PRECTOTCORR_SUM,1993,261.37,149.02,86.76,128.66,213.87,65.79,63.05,60.94,36.64,121.84,143.04,167.45,1498.43
PRECTOTCORR_SUM,1994,155.83,103.2,162.94,47.1,90.7,79.74,197.74,104.45,78.6,145.92,61.05,109.11,1336.38
PRECTOTCORR_SUM,1995,65.34,189.13,105.11,190.6,92.75,127.98,157.92,15.7,64.51,119.62,103.54,58.28,1290.48
PRECTOTCORR_SUM,1996,139.0,64.52,68.25,238.38,8.43,33.66,15.9,41.08,163.51,51.49,129.19,176.44,1129.85
PRECTOTCORR_SUM,1997,73.47,136.26,48.0,69.92,118.26,104.58,25.91,103.79,57.78,154.89,140.24,308.18,1341.28
PRECTOTCORR_SUM,1998,239.19,111.26,90.92,225.66,156.75,141.54,141.8,86.46,105.62,39.36,96.81,141.76,1577.13
