# Area: Albania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.33   Longitude 19.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 686.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,5.29,8.27,12.85,17.13,20.56,24.35,26.01,20.68,15.76,11.03,7.62,6.18,14.66
ALLSKY_SFC_SW_DWN,1985,5.45,8.67,11.05,17.12,21.91,24.62,25.06,22.75,19.21,12.07,6.47,6.3,15.09
ALLSKY_SFC_SW_DWN,1986,5.67,6.69,12.03,17.91,23.94,24.34,24.92,24.32,18.54,12.43,8.61,5.62,15.47
ALLSKY_SFC_SW_DWN,1987,5.41,8.64,12.47,19.65,21.34,25.54,26.44,23.93,18.38,11.22,6.91,5.51,15.48
ALLSKY_SFC_SW_DWN,1988,6.01,9.72,13.03,18.74,24.18,26.85,27.55,24.31,17.04,12.17,7.59,5.79,16.1
ALLSKY_SFC_SW_DWN,1989,8.52,10.3,14.76,15.98,22.0,22.87,24.14,22.07,16.12,12.05,8.12,6.23,15.3
ALLSKY_SFC_SW_DWN,1990,8.14,11.62,15.1,16.44,21.36,24.55,26.31,22.11,16.56,11.04,7.07,4.5,15.42
ALLSKY_SFC_SW_DWN,1991,7.57,9.33,12.94,14.84,19.08,26.17,23.66,22.77,17.35,10.81,7.12,6.73,14.89
ALLSKY_SFC_SW_DWN,1992,7.74,10.99,14.22,15.04,22.01,21.93,24.79,23.16,19.3,8.53,7.86,6.36,15.17
ALLSKY_SFC_SW_DWN,1993,7.75,10.58,14.19,17.23,23.09,26.76,25.99,23.03,17.32,11.77,6.19,5.08,15.78
ALLSKY_SFC_SW_DWN,1994,6.96,8.74,15.89,15.67,23.35,26.04,25.32,23.56,18.09,11.83,8.72,6.04,15.9
ALLSKY_SFC_SW_DWN,1995,5.74,9.96,11.5,18.14,20.97,25.78,24.76,19.28,14.83,14.41,7.55,4.41,14.8
ALLSKY_SFC_SW_DWN,1996,6.51,8.3,12.65,17.11,18.84,26.33,25.54,21.63,14.26,10.88,6.56,4.48,14.44
ALLSKY_SFC_SW_DWN,1997,7.79,10.02,15.75,18.59,24.92,25.28,24.89,21.52,18.21,10.6,6.85,4.71,15.79
ALLSKY_SFC_SW_DWN,1998,6.7,11.76,15.89,17.18,22.95,26.68,27.19,22.39,16.25,10.6,6.31,6.03,15.85
ALLSKY_SFC_SW_DWN,1999,6.68,9.05,14.45,17.53,21.2,25.68,25.8,22.74,17.47,12.02,6.95,4.22,15.35
ALLSKY_SFC_SW_DWN,2000,7.76,10.52,15.18,18.51,23.82,26.55,26.69,23.12,16.03,10.32,6.97,5.89,15.96
ALLSKY_SFC_SW_DWN,2001,6.04,10.3,13.15,16.44,23.13,26.98,26.86,23.12,17.37,13.16,7.78,5.28,15.83
ALLSKY_SFC_SW_DWN,2002,7.05,10.24,14.85,16.87,21.34,25.66,24.23,21.33,14.75,11.61,7.53,4.15,14.99
ALLSKY_SFC_SW_DWN,2003,6.03,11.19,16.65,18.37,24.24,27.24,27.49,22.66,17.87,9.93,7.06,5.74,16.23
ALLSKY_SFC_SW_DWN,2004,6.02,9.5,13.58,17.22,22.36,24.78,26.44,24.05,17.54,11.7,6.78,5.42,15.47
ALLSKY_SFC_SW_DWN,2005,6.79,8.97,13.34,18.21,24.06,27.11,26.66,21.67,16.1,11.42,7.15,4.69,15.55
ALLSKY_SFC_SW_DWN,2006,6.97,8.6,11.42,17.03,24.9,25.28,25.56,22.1,17.45,12.85,8.96,6.28,15.66
ALLSKY_SFC_SW_DWN,2007,6.87,9.21,13.4,21.76,21.99,25.81,27.41,23.26,17.8,10.46,7.53,6.17,16.0
ALLSKY_SFC_SW_DWN,2008,7.01,11.19,13.27,15.66,25.05,25.08,27.06,24.56,16.35,12.48,6.96,5.38,15.86
ALLSKY_SFC_SW_DWN,2009,5.29,10.18,12.59,17.65,24.47,24.64,27.35,23.22,17.45,10.86,7.04,4.28,15.45
ALLSKY_SFC_SW_DWN,2010,5.9,7.43,14.03,18.31,21.66,24.75,26.71,24.77,16.54,10.75,6.64,5.19,15.27
ALLSKY_SFC_SW_DWN,2011,6.53,10.35,14.5,20.05,22.49,27.32,26.09,24.62,18.44,12.96,8.83,5.48,16.5
ALLSKY_SFC_SW_DWN,2012,7.68,8.61,16.66,16.72,23.32,29.24,27.38,24.17,17.83,12.01,7.48,5.22,16.39
ALLSKY_SFC_SW_DWN,2013,6.25,8.0,11.7,19.91,21.07,25.98,26.83,22.34,17.81,12.65,6.83,6.9,15.56
ALLSKY_SFC_SW_DWN,2014,5.53,8.75,15.47,15.53,21.45,24.41,25.5,24.6,16.14,12.07,7.59,5.93,15.29
ALLSKY_SFC_SW_DWN,2015,6.56,10.29,13.4,19.65,23.98,26.42,27.49,23.22,17.6,10.8,8.27,7.69,16.31
ALLSKY_SFC_SW_DWN,2016,5.98,8.18,13.16,20.06,21.03,25.02,27.22,23.55,16.38,11.7,7.47,7.48,15.63
ALLSKY_SFC_SW_DWN,2017,6.4,9.93,16.6,19.9,23.31,27.68,27.47,24.11,16.95,13.79,7.06,5.85,16.63
ALLSKY_SFC_SW_DWN,2018,6.71,6.87,11.96,21.04,22.53,24.03,26.55,22.39,19.8,12.46,7.28,6.14,15.69
ALLSKY_SFC_SW_DWN,2019,6.37,10.93,16.38,18.08,19.84,26.65,25.66,24.57,17.53,14.23,6.26,6.14,16.08
ALLSKY_SFC_SW_DWN,2020,7.64,10.96,14.4,20.03,21.81,25.86,27.74,23.42,17.67,11.33,9.17,5.03,16.26
ALLSKY_SFC_SW_DWN,2021,5.78,10.45,14.93,17.45,23.78,26.93,26.95,23.32,17.57,11.79,6.58,5.81,15.98
ALLSKY_SFC_SW_DWN,2022,7.86,10.38,15.26,19.12,24.43,25.97,27.52,22.03,16.88,12.99,6.91,5.51,16.27
ALLSKY_SFC_SW_DWN,2023,6.54,11.57,14.9,19.06,20.07,23.41,27.55,22.53,17.6,12.79,6.81,5.64,15.73
