# Area: Austria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.52   Longitude 14.55 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1223.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,4.5,7.58,12.33,14.44,17.02,17.13,16.33,15.24,10.08,7.47,5.09,3.36,10.89
ALLSKY_SFC_SW_DWN,1985,5.06,7.26,9.47,12.65,17.4,17.75,19.63,15.39,12.92,8.4,5.23,3.38,11.23
ALLSKY_SFC_SW_DWN,1986,4.19,8.71,11.52,12.61,16.22,16.71,18.47,16.59,12.43,8.42,5.12,2.78,11.16
ALLSKY_SFC_SW_DWN,1987,4.48,7.25,11.52,12.49,13.5,17.95,18.28,13.27,11.96,7.88,4.19,3.37,10.53
ALLSKY_SFC_SW_DWN,1988,4.1,6.74,9.95,14.57,16.87,19.46,19.47,17.2,9.55,7.44,4.2,2.67,11.03
ALLSKY_SFC_SW_DWN,1989,4.98,6.36,10.15,10.87,15.2,15.39,17.39,15.06,11.26,8.3,5.33,3.95,10.38
ALLSKY_SFC_SW_DWN,1990,4.36,6.99,10.67,11.49,17.57,17.65,19.35,17.48,9.51,8.41,4.82,3.25,11.0
ALLSKY_SFC_SW_DWN,1991,4.95,8.24,10.33,12.33,14.84,18.61,17.57,15.29,12.53,7.8,4.72,3.69,10.92
ALLSKY_SFC_SW_DWN,1992,4.44,7.25,9.9,12.4,18.84,16.33,19.38,19.56,13.6,6.1,4.5,3.86,11.36
ALLSKY_SFC_SW_DWN,1993,4.56,8.35,11.02,13.93,18.21,17.52,17.45,16.58,11.65,7.25,4.66,3.14,11.21
ALLSKY_SFC_SW_DWN,1994,4.19,7.26,10.02,12.37,16.86,19.11,21.66,17.01,12.79,8.61,4.99,3.6,11.57
ALLSKY_SFC_SW_DWN,1995,4.4,6.26,9.43,10.7,18.77,15.23,20.2,14.43,10.86,9.51,4.99,3.57,10.74
ALLSKY_SFC_SW_DWN,1996,5.3,8.34,11.11,12.54,16.86,18.89,17.93,15.27,8.95,7.23,4.66,3.86,10.92
ALLSKY_SFC_SW_DWN,1997,5.01,7.45,11.19,14.98,19.29,19.01,15.86,16.95,15.08,7.98,4.89,3.23,11.76
ALLSKY_SFC_SW_DWN,1998,4.61,8.18,11.18,13.48,20.39,17.85,16.36,17.65,11.03,6.95,4.74,3.44,11.34
ALLSKY_SFC_SW_DWN,1999,4.44,7.19,10.73,14.46,17.45,18.36,19.67,15.37,12.48,7.17,4.27,3.22,11.26
ALLSKY_SFC_SW_DWN,2000,4.83,7.65,9.94,15.05,17.79,20.14,17.08,17.75,12.11,6.16,4.34,3.4,11.36
ALLSKY_SFC_SW_DWN,2001,4.11,7.14,9.76,14.36,19.61,18.0,17.94,17.77,9.62,9.5,5.06,3.55,11.4
ALLSKY_SFC_SW_DWN,2002,4.82,6.33,12.62,12.68,17.7,21.29,19.41,14.05,11.76,7.92,4.17,2.94,11.34
ALLSKY_SFC_SW_DWN,2003,4.5,8.67,12.08,14.71,19.18,20.86,19.25,18.87,14.07,8.16,4.96,3.65,12.43
ALLSKY_SFC_SW_DWN,2004,4.25,6.13,11.57,14.04,16.25,17.47,17.0,16.64,13.33,8.01,4.08,4.15,11.09
ALLSKY_SFC_SW_DWN,2005,4.49,7.9,12.45,15.26,19.58,19.06,17.55,13.65,12.01,9.38,4.54,3.06,11.59
ALLSKY_SFC_SW_DWN,2006,5.05,7.74,11.59,14.03,16.04,18.49,21.38,13.05,14.19,9.9,4.88,4.13,11.73
ALLSKY_SFC_SW_DWN,2007,3.97,7.51,10.44,18.9,18.73,19.71,20.2,16.13,11.5,7.64,4.34,3.78,11.92
ALLSKY_SFC_SW_DWN,2008,4.31,8.56,10.02,14.18,19.1,18.08,17.66,16.92,11.29,8.75,4.53,3.19,11.39
ALLSKY_SFC_SW_DWN,2009,4.59,6.59,9.03,16.42,17.85,16.17,20.0,17.58,12.37,8.05,5.11,3.34,11.45
ALLSKY_SFC_SW_DWN,2010,3.75,7.64,11.54,15.58,13.43,18.28,20.37,15.84,11.81,7.96,4.5,3.35,11.19
ALLSKY_SFC_SW_DWN,2011,4.63,7.85,11.7,16.0,20.23,17.6,16.2,18.4,13.87,9.12,6.63,3.35,12.15
ALLSKY_SFC_SW_DWN,2012,4.33,7.2,13.02,15.1,18.54,19.91,17.41,18.43,12.26,8.77,4.57,3.25,11.91
ALLSKY_SFC_SW_DWN,2013,3.63,5.94,10.44,14.06,15.68,18.93,22.08,17.66,11.24,8.68,3.81,4.11,11.39
ALLSKY_SFC_SW_DWN,2014,3.8,6.79,12.27,13.42,16.53,20.05,17.86,14.51,10.49,8.69,4.58,3.21,11.04
ALLSKY_SFC_SW_DWN,2015,3.79,7.57,10.58,15.65,15.1,19.11,20.62,19.04,10.59,7.73,5.87,4.61,11.71
ALLSKY_SFC_SW_DWN,2016,4.34,6.12,10.53,15.05,16.82,18.77,19.22,17.48,14.08,7.13,4.77,4.4,11.57
ALLSKY_SFC_SW_DWN,2017,4.99,7.42,11.96,13.12,19.84,21.13,20.4,18.55,10.0,8.74,4.44,3.46,12.04
ALLSKY_SFC_SW_DWN,2018,4.07,6.72,10.12,17.88,17.47,17.79,19.5,17.82,14.0,9.1,4.81,3.04,11.88
ALLSKY_SFC_SW_DWN,2019,4.14,8.96,11.56,14.4,13.98,23.41,19.1,16.15,12.74,9.49,4.11,3.51,11.8
ALLSKY_SFC_SW_DWN,2020,5.32,7.37,11.27,19.21,16.12,17.28,19.96,16.75,13.31,7.49,5.86,3.17,11.93
ALLSKY_SFC_SW_DWN,2021,4.26,8.92,11.72,14.16,15.92,23.24,20.05,15.16,14.51,9.17,5.24,3.48,12.15
ALLSKY_SFC_SW_DWN,2022,4.85,7.91,14.12,14.18,18.08,20.74,20.55,15.8,11.33,9.11,5.03,3.34,12.11
ALLSKY_SFC_SW_DWN,2023,3.88,8.0,10.58,12.0,15.81,19.27,19.53,16.34,15.61,9.42,5.12,3.37,11.59
