# Area: Bahrain
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.0667   Longitude 50.5577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,12.19,14.27,15.33,18.61,20.49,22.14,21.19,21.03,19.57,16.64,12.49,10.64,17.05
ALLSKY_SFC_SW_DWN,1985,12.52,15.63,15.34,20.65,21.31,23.99,21.82,23.13,20.28,18.01,14.29,10.61,18.13
ALLSKY_SFC_SW_DWN,1986,12.54,14.98,16.69,17.88,20.77,21.85,20.47,21.14,18.9,16.85,12.37,10.84,17.12
ALLSKY_SFC_SW_DWN,1987,12.37,13.96,14.56,19.13,19.27,21.28,21.21,21.02,18.87,15.72,14.2,11.21,16.91
ALLSKY_SFC_SW_DWN,1988,11.95,12.65,15.28,17.22,22.39,21.76,20.58,22.46,19.37,17.75,14.32,11.44,17.28
ALLSKY_SFC_SW_DWN,1989,12.37,14.27,16.51,19.76,23.8,23.62,22.28,22.93,20.1,17.99,13.29,11.25,18.2
ALLSKY_SFC_SW_DWN,1990,11.81,15.02,17.28,20.39,23.58,24.22,22.98,22.92,20.29,17.57,14.39,13.11,18.65
ALLSKY_SFC_SW_DWN,1991,10.06,13.28,16.42,20.15,23.15,23.12,22.56,22.17,19.41,16.34,14.43,10.78,17.67
ALLSKY_SFC_SW_DWN,1992,10.28,13.54,13.98,19.4,20.13,21.59,21.08,21.39,20.1,17.03,12.98,9.25,16.73
ALLSKY_SFC_SW_DWN,1993,10.7,13.57,16.04,18.52,22.07,24.99,22.58,23.16,19.87,17.09,13.98,12.61,17.95
ALLSKY_SFC_SW_DWN,1994,12.61,15.45,15.48,18.89,20.92,23.22,21.22,22.15,19.78,16.22,13.17,11.21,17.53
ALLSKY_SFC_SW_DWN,1995,13.15,13.45,16.1,19.44,23.72,25.26,22.27,23.04,20.45,17.48,14.4,8.08,18.09
ALLSKY_SFC_SW_DWN,1996,11.86,13.04,14.43,19.39,22.74,23.95,22.84,22.67,20.05,17.71,13.6,12.66,17.92
ALLSKY_SFC_SW_DWN,1997,12.57,15.13,15.29,20.19,22.44,24.14,22.95,23.54,21.02,15.67,10.59,10.02,17.8
ALLSKY_SFC_SW_DWN,1998,11.02,14.67,15.44,20.96,22.84,23.81,24.67,22.97,20.95,18.07,15.1,13.37,18.67
ALLSKY_SFC_SW_DWN,1999,12.62,13.7,19.72,22.76,25.15,26.14,24.29,23.59,21.24,18.0,14.66,13.54,19.65
ALLSKY_SFC_SW_DWN,2000,12.22,15.78,19.9,20.28,24.55,25.94,23.45,23.22,20.78,17.53,10.92,11.86,18.88
ALLSKY_SFC_SW_DWN,2001,13.96,15.63,19.06,22.92,24.78,26.2,24.75,23.55,20.74,17.34,14.38,11.54,19.59
ALLSKY_SFC_SW_DWN,2002,12.21,15.85,18.04,21.72,24.88,26.5,25.02,23.58,20.99,17.23,14.05,11.16,19.28
ALLSKY_SFC_SW_DWN,2003,12.62,14.0,17.72,20.69,22.88,25.98,23.88,22.88,20.76,17.49,13.39,11.41,18.66
ALLSKY_SFC_SW_DWN,2004,12.08,15.8,19.03,19.88,24.5,26.72,25.43,23.7,21.44,18.04,13.47,10.79,19.25
ALLSKY_SFC_SW_DWN,2005,12.93,14.69,17.31,21.63,23.31,25.69,24.44,23.26,21.03,17.76,13.11,12.3,18.98
ALLSKY_SFC_SW_DWN,2006,12.3,13.47,18.83,21.37,24.06,26.2,23.83,22.72,21.14,17.27,12.69,10.99,18.77
ALLSKY_SFC_SW_DWN,2007,12.35,15.41,18.37,18.89,24.12,25.34,24.56,23.73,21.84,18.19,15.08,12.08,19.18
ALLSKY_SFC_SW_DWN,2008,10.76,16.45,20.55,20.72,23.16,23.62,23.59,22.47,20.45,17.64,13.4,13.26,18.85
ALLSKY_SFC_SW_DWN,2009,13.13,14.39,17.05,20.2,23.67,23.81,22.31,22.61,21.43,17.65,13.65,10.96,18.42
ALLSKY_SFC_SW_DWN,2010,13.89,15.25,19.82,18.87,22.85,24.97,23.95,22.72,21.11,18.12,14.55,12.85,19.1
ALLSKY_SFC_SW_DWN,2011,11.57,14.93,17.71,17.94,23.34,24.31,23.77,23.26,21.53,17.84,13.62,13.43,18.63
ALLSKY_SFC_SW_DWN,2012,13.61,14.63,17.18,19.28,22.55,24.95,24.55,23.26,21.59,17.43,13.05,10.97,18.6
ALLSKY_SFC_SW_DWN,2013,12.64,16.32,18.51,19.58,23.54,24.55,24.55,22.77,21.32,18.23,13.11,12.31,18.97
ALLSKY_SFC_SW_DWN,2014,11.9,15.53,17.99,22.01,24.11,26.48,25.09,23.43,21.96,18.0,13.5,13.0,19.43
ALLSKY_SFC_SW_DWN,2015,13.56,15.38,16.88,21.03,22.87,25.62,23.7,23.55,20.66,17.2,12.69,11.28,18.72
ALLSKY_SFC_SW_DWN,2016,13.02,16.82,16.81,21.56,24.28,26.06,24.19,23.28,21.52,18.57,13.58,12.55,19.35
ALLSKY_SFC_SW_DWN,2017,12.82,13.28,14.43,21.35,23.31,25.7,23.97,22.71,21.01,17.89,13.19,12.41,18.53
ALLSKY_SFC_SW_DWN,2018,13.49,14.98,19.83,18.07,21.88,25.28,24.05,23.22,20.69,16.21,11.59,11.9,18.46
ALLSKY_SFC_SW_DWN,2019,12.17,14.21,17.48,19.48,22.68,25.44,24.43,22.94,21.03,17.05,13.25,11.39,18.48
ALLSKY_SFC_SW_DWN,2020,12.66,15.69,18.35,18.4,23.87,25.9,23.99,23.06,21.41,18.4,13.61,11.94,18.95
ALLSKY_SFC_SW_DWN,2021,13.77,15.33,18.78,22.26,24.89,25.35,24.03,23.36,21.36,17.67,14.06,11.33,19.37
ALLSKY_SFC_SW_DWN,2022,11.73,16.62,18.49,19.46,22.56,25.05,21.08,22.1,20.64,17.62,13.23,11.38,18.33
ALLSKY_SFC_SW_DWN,2023,10.2,14.9,18.63,20.31,22.28,25.54,23.98,22.45,20.61,17.5,12.55,11.95,18.42
